LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA10050,39,1421,642,231,1532,0.8,1185,2.3
LGA10130,36,1393,561,250,1465,0.8,1173,2.4
LGA10250,48,1733,601,340,1426,0.8,1156,2.3
LGA10300,41,950,624,150,1438,0.8,1174,2.5
LGA10470,37,1670,646,280,1632,0.8,1310,2.5
LGA10550,51,1343,538,250,1242,0.8,986,2.2
LGA10600,49,1400,515,280,1218,0.8,997,2.3
LGA10650,49,1083,524,180,1251,0.7,967,2.2
LGA10750,33,2150,672,380,1817,0.9,1711,3.2
LGA10800,43,1000,580,150,1360,0.7,1100,2.4
LGA10850,42,1500,620,220,1581,0.8,1227,2.5
LGA10900,44,1842,688,350,1866,0.8,1468,2.5
LGA10950,40,1083,634,160,1561,0.8,1155,2.4
LGA11100,35,2400,720,460,1921,1.1,1626,2.7
LGA11150,36,991,719,140,1562,0.8,1243,2.5
LGA11200,34,433,439,90,923,0.9,864,2.6
LGA11250,45,953,527,190,1279,0.7,965,2.2
LGA11300,33,2200,552,500,1725,1.1,1569,2.9
LGA11350,44,1733,596,400,1389,0.8,1149,2.4
LGA11400,43,1517,631,180,1618,0.8,1301,2.6
LGA11450,33,2220,821,460,2161,0.8,2047,3.1
LGA11500,34,1842,632,350,1597,0.9,1459,3
LGA11520,36,2500,882,565,2361,1,2061,2.6
LGA11570,35,2000,502,380,1437,1.1,1298,3
LGA11600,40,867,681,105,1538,0.8,1240,2.4
LGA11650,42,1750,600,350,1560,0.8,1258,2.5
LGA11700,39,575,460,100,1075,0.8,901,2.4
LGA11720,38,1517,540,280,1414,0.8,1177,2.6
LGA11730,49,1300,477,255,1133,0.8,910,2.3
LGA11750,36,1300,706,160,1923,0.7,1495,2.4
LGA11800,44,1603,566,305,1346,0.8,1107,2.4
LGA12000,44,1083,594,150,1418,0.8,1169,2.5
LGA12150,43,867,519,150,1218,0.7,976,2.4
LGA12350,47,1148,509,185,1225,0.7,959,2.3
LGA12380,32,2000,501,400,1436,1.1,1379,3.2
LGA12700,45,1662,578,245,1474,0.8,1226,2.5
LGA12730,45,1083,595,185,1399,0.7,1080,2.3
LGA12750,54,1400,512,255,1184,0.7,939,2.2
LGA12850,36,1800,439,350,1263,1.1,1222,3.3
LGA12870,49,1300,559,200,1299,0.7,1017,2.3
LGA12900,42,1148,571,180,1326,0.8,1069,2.4
LGA12930,37,2167,640,450,1817,1,1654,2.9
LGA12950,45,1083,537,160,1199,0.8,998,2.4
LGA13010,47,1083,478,200,1111,0.7,838,2.2
LGA13310,42,1517,625,260,1505,0.8,1196,2.4
LGA13340,44,1213,600,180,1439,0.8,1168,2.5
LGA13450,37,1495,674,220,1555,0.8,1331,2.7
LGA13510,47,1107,539,180,1280,0.7,964,2.3
LGA13550,40,1473,618,240,1586,0.8,1253,2.5
LGA13660,48,981,489,120,1178,0.8,910,2.3
LGA13800,38,2080,728,360,1916,0.8,1668,2.8
