LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA10050,9310,6263,6017,5910,6117,5941,4415,2628,1243,47832,11,7,8,11,10,6,0,16,3,76,172,309,248,172,179,184,134,87,53,1547,48,170,187,131,168,143,113,31,15,1015,0,7,16,5,19,18,17,0,0,81,0,3,5,9,17,15,0,0,0,47,4,12,21,9,9,10,15,4,0,82,4,8,0,0,4,7,7,0,0,23,0,0,0,0,0,0,0,0,0,3,3,12,9,8,10,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,235,519,491,336,402,391,276,130,70,2853,251,525,501,347,419,398,282,141,74,2930,9559,6789,6513,6254,6537,6340,4696,2770,1317,50760
LGA10130,5164,4813,3192,2931,3421,3254,2495,1441,601,27311,20,30,16,5,14,0,0,5,3,98,122,831,223,140,138,168,123,59,29,1826,4,21,14,6,12,17,21,7,0,100,12,77,37,21,26,22,35,0,0,227,7,16,11,0,3,3,11,4,0,47,0,0,0,3,3,0,5,0,0,9,0,0,0,3,3,0,7,4,0,20,0,0,0,3,3,0,0,0,0,9,0,10,4,7,0,0,3,3,0,30,0,0,0,0,0,0,0,0,0,0,141,957,288,179,185,212,201,77,30,2269,167,988,308,187,192,215,202,83,32,2374,5325,5797,3503,3115,3612,3471,2697,1524,637,29681
LGA10250,6730,3731,3328,4429,5473,6021,5110,3021,1690,39536,5,4,10,7,9,10,12,9,3,67,147,159,173,159,178,246,276,115,60,1506,7,15,21,7,11,74,91,33,5,266,18,52,51,36,53,78,66,4,3,348,4,0,3,0,0,14,24,7,0,57,0,3,3,3,0,6,12,0,0,26,0,0,3,0,3,9,24,9,0,41,0,0,0,3,0,0,4,0,0,8,0,0,3,3,0,13,5,0,0,32,0,0,0,0,0,0,0,0,0,0,176,225,249,214,250,437,486,170,67,2279,182,227,260,220,257,444,497,181,73,2345,6909,3962,3592,4646,5728,6467,5610,3203,1763,41881
LGA10300,473,241,223,256,274,359,198,115,34,2172,3,0,0,0,0,0,0,0,0,6,4,6,18,7,11,28,26,10,0,108,6,24,19,15,27,16,15,0,0,119,3,3,10,3,11,9,0,0,0,34,0,0,10,6,0,11,7,3,0,44,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,31,57,35,52,65,46,13,0,323,16,31,57,35,52,65,46,13,3,327,494,274,277,286,327,428,243,132,34,2494
LGA10470,7923,5686,4875,4658,4970,4638,3545,1877,851,39021,13,11,8,6,4,14,0,3,3,71,151,794,233,155,186,154,127,81,37,1919,0,9,6,5,4,15,3,3,3,48,9,15,9,7,5,16,12,0,0,68,0,0,0,3,0,0,3,0,0,10,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,5,8,0,0,15,0,3,0,0,0,0,0,0,0,10,0,15,8,3,4,4,9,0,0,43,0,0,0,0,0,0,0,0,0,0,156,834,258,182,204,203,167,86,38,2127,173,844,267,183,206,213,171,91,42,2198,8102,6531,5149,4840,5179,4845,3711,1968,896,41219
LGA10550,5084,2680,2247,2933,4291,5564,4516,2325,946,30597,17,19,9,10,11,10,8,3,0,70,111,147,166,131,133,256,168,69,29,1204,16,16,28,53,59,135,225,180,39,752,7,0,5,10,10,12,26,0,0,79,0,0,3,3,3,3,3,0,0,22,0,4,3,0,3,3,3,0,0,21,6,0,0,5,3,4,17,4,0,37,0,0,0,0,3,3,4,0,0,11,19,10,26,17,24,53,29,23,0,204,0,0,0,0,0,0,0,0,0,0,153,186,239,216,241,475,475,277,67,2331,167,201,241,227,246,491,482,283,67,2404,5254,2882,2495,3154,4538,6056,5001,2609,1014,33006
LGA10600,2146,1030,887,1248,1721,2099,1584,885,350,11951,3,0,4,0,4,0,5,5,0,27,41,55,51,36,50,92,106,46,22,496,0,8,9,0,7,18,59,24,0,116,3,9,10,11,3,27,16,9,0,83,0,0,0,0,0,3,17,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,46,74,68,46,61,141,205,76,26,737,48,74,72,51,64,142,206,79,26,762,2192,1103,955,1300,1787,2236,1794,967,375,12709
LGA10650,1410,703,695,818,883,1187,1187,652,291,7817,0,4,0,3,0,3,3,0,0,17,14,15,14,9,25,36,27,4,4,145,17,37,34,37,37,66,66,24,5,314,0,3,3,5,0,6,9,0,0,28,0,0,0,3,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,56,46,53,64,109,94,33,7,504,31,57,46,57,67,113,103,33,10,517,1444,763,745,871,948,1297,1284,686,297,8335
LGA10750,75489,44725,50562,50189,41061,32799,20794,9280,3398,328305,93,76,72,69,48,46,34,21,7,451,916,1073,1283,824,674,545,455,275,131,6166,11,10,37,37,72,32,18,6,0,219,17,27,49,68,42,42,34,6,0,295,9,6,14,10,17,9,7,3,0,77,7,6,22,12,10,11,10,0,0,80,0,0,4,3,5,8,8,0,0,32,0,3,0,0,0,0,3,0,0,9,3,9,18,10,7,3,3,0,0,51,0,0,0,0,3,0,0,0,0,3,962,1135,1430,967,837,637,534,291,135,6931,1056,1212,1502,1033,882,682,565,314,135,7382,76541,45937,52069,51224,41940,33484,21363,9591,3535,335683
LGA10800,1206,521,546,644,681,798,578,409,194,5576,0,3,0,3,3,4,0,0,0,15,12,42,40,37,39,46,26,24,8,273,3,0,15,0,3,7,22,5,0,57,3,3,7,7,9,11,0,0,0,49,10,3,3,3,3,3,7,3,0,31,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,28,48,77,48,56,75,67,29,8,438,28,51,77,50,60,77,68,32,8,454,1232,573,620,692,745,873,644,441,203,6027
