LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA10050,218,1322,922,17211,283,19963,0,7,3,160,4,177,248,12,27,90,3,382,95,24,15,41,0,178,363,105,76,305,11,855,1791,1312,851,15890,326,20164,257,9,46,14,5,332,45,11,13,120,8,197,454,213,145,3009,53,3882,125,46,19,134,3,319,77,16,9,40,3,144,615,29,25,10,5,677,358,348,220,6121,92,7137,245,116,45,717,13,1137,28,0,5,0,0,34,45,18,11,67,3,144,7,3,3,3,0,19,32,17,3,61,0,114,105,19,14,24,0,158,107,83,53,46,3,295,141,31,18,100,0,291,46,10,10,24,0,94,471,316,222,4612,75,5702,68,0,0,23,0,97,57,11,12,5,0,89,82,9,4,72,3,170,95,8,7,3,0,113,3,5,0,0,0,10,48,3,5,0,3,59,69,35,12,144,13,271,1934,239,173,522,33,2901,123,25,15,458,3276,3889,6989,2586,1734,35769,3993,51076
LGA10130,112,786,615,10666,190,12375,4,5,3,346,3,366,445,15,21,76,0,566,4,5,0,6,0,20,121,55,32,119,7,325,1085,730,541,9157,195,11701,149,3,19,3,3,178,52,23,7,62,0,136,204,75,63,1037,12,1384,37,7,3,46,0,95,37,10,0,13,0,55,196,4,4,11,0,219,247,173,132,3374,47,3975,62,40,28,234,4,368,15,0,0,0,0,22,13,11,8,44,0,70,0,3,0,0,0,3,6,6,4,19,0,40,49,12,19,15,3,96,63,29,31,30,0,158,40,10,10,40,0,91,30,4,0,28,0,71,336,196,149,2677,48,3411,10,0,0,3,0,16,50,7,7,3,0,67,33,3,3,28,0,70,58,0,3,0,0,60,3,0,4,0,0,13,58,4,0,0,0,61,50,21,15,95,0,182,1493,174,169,268,9,2113,35,5,4,266,1976,2288,4205,1386,1082,20370,2404,29449
LGA10250,146,1457,1081,13791,300,16767,3,7,3,240,8,256,152,24,25,88,4,300,37,8,6,12,0,70,311,85,58,125,3,586,2386,1379,995,13270,308,18330,104,0,40,12,0,157,95,28,16,140,0,276,321,113,86,1286,19,1834,49,19,8,96,0,180,53,16,7,21,0,97,148,22,7,31,0,212,501,364,251,4873,94,6092,288,148,51,714,16,1207,24,0,3,0,0,30,14,17,0,29,0,56,5,0,0,4,0,14,60,14,10,41,0,129,59,24,22,16,3,119,170,75,65,33,5,352,82,17,17,47,0,173,29,17,3,29,0,77,604,382,268,3720,94,5072,17,3,0,5,0,25,106,20,9,14,0,151,69,4,0,36,3,117,16,6,0,9,0,29,16,3,0,4,0,22,36,0,8,0,0,43,111,30,16,139,3,294,934,297,227,457,21,1933,39,23,15,331,2734,3139,5454,2684,1908,28331,3398,41790
LGA10300,8,28,20,875,21,947,0,0,0,37,0,37,7,0,0,3,0,9,0,0,0,0,0,0,3,0,0,8,0,8,29,31,30,656,4,752,3,0,0,0,0,4,0,0,0,3,0,3,0,3,0,69,3,79,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,3,0,6,7,7,13,265,7,303,94,17,10,138,7,269,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,4,0,7,0,6,3,4,0,0,0,4,4,0,0,0,0,4,0,0,0,3,0,4,0,0,0,3,0,3,8,4,5,157,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,62,8,8,20,0,95,3,0,0,25,225,251,220,70,63,1674,261,2287
LGA10470,149,1103,825,15510,278,17872,0,11,7,266,5,291,215,11,30,124,5,375,38,10,12,17,0,76,203,86,48,216,0,552,1441,996,798,13238,299,16769,137,6,53,17,8,218,49,9,14,141,0,218,230,104,71,1029,22,1456,38,17,8,83,5,147,40,8,3,17,0,70,232,14,10,3,0,251,340,270,184,5404,85,6285,144,120,41,446,3,756,19,0,6,0,0,26,64,26,6,43,9,148,9,3,3,5,0,14,53,14,20,91,0,183,65,28,11,15,0,120,108,66,37,56,0,267,78,22,11,64,0,179,27,10,12,19,0,68,436,256,211,3311,59,4264,22,6,4,15,0,44,63,17,17,10,0,103,45,5,0,23,0,76,46,3,3,12,0,66,4,0,0,0,0,9,55,0,3,0,0,65,68,39,12,115,3,232,908,198,142,369,8,1631,65,16,16,378,3429,3909,4354,2001,1536,29375,4036,41300
LGA10550,110,1089,816,11674,290,13982,0,7,0,119,6,132,106,9,26,50,4,198,34,8,3,6,0,55,347,104,59,137,8,648,2171,1067,764,10176,253,14430,105,0,28,6,8,147,58,17,4,72,9,171,407,98,99,1041,23,1667,50,10,5,29,0,91,55,13,7,22,0,94,55,3,0,12,0,70,361,232,138,3348,72,4152,152,72,35,285,7,543,17,0,0,3,0,19,11,0,0,24,0,30,5,3,0,3,0,11,61,23,6,38,0,129,47,10,3,13,0,80,74,33,21,21,3,156,84,19,9,61,3,176,44,10,3,25,0,76,491,281,185,2715,58,3729,6,0,3,3,0,14,56,10,8,9,0,83,34,3,0,26,6,71,6,0,0,4,0,10,5,0,0,0,0,6,27,0,0,0,0,30,98,26,12,94,0,223,717,162,126,358,22,1386,40,9,14,320,2239,2632,4723,1983,1417,22271,2856,33253
LGA10600,37,504,322,4350,105,5318,0,6,3,65,0,73,19,11,0,18,3,51,11,0,0,11,0,20,127,30,23,38,0,216,878,465,325,3810,106,5588,15,0,10,5,0,26,36,13,5,47,3,105,156,29,45,379,10,619,10,12,0,20,3,47,23,4,3,18,0,49,22,4,0,3,0,29,154,120,66,1380,24,1741,34,32,9,125,7,202,3,0,0,0,0,3,3,3,0,5,0,18,4,0,0,0,0,4,3,5,0,22,0,27,16,4,6,8,0,34,37,21,17,21,0,90,32,9,3,19,3,66,16,4,3,12,0,37,203,122,102,1101,18,1547,0,0,4,0,0,5,19,3,8,3,0,28,17,4,6,15,0,40,0,0,0,0,0,0,5,0,0,0,0,3,8,0,3,0,0,11,46,14,7,41,0,110,298,107,64,140,13,620,25,12,0,121,710,871,1758,914,610,8448,941,12668
LGA10650,22,203,149,3051,72,3497,0,0,0,5,0,8,35,3,4,9,0,53,0,0,0,0,0,4,54,5,14,25,4,112,264,183,130,2748,78,3409,30,0,6,0,3,44,13,4,0,19,0,33,53,17,9,232,5,311,3,3,0,5,0,15,3,3,0,3,0,13,24,0,0,3,0,26,68,32,32,949,17,1090,32,23,5,112,5,186,3,0,0,0,0,3,0,0,0,7,0,7,0,0,0,0,0,0,3,5,0,8,0,25,9,0,0,5,0,19,22,14,10,7,0,53,11,9,3,3,0,22,4,0,0,0,0,4,100,60,41,730,10,945,3,0,0,0,0,3,14,0,0,0,0,16,3,0,0,0,0,3,9,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,20,0,39,125,19,14,86,6,248,14,3,0,158,732,909,774,374,260,6158,893,8462
LGA10750,6227,9191,6172,53848,1234,76673,22,142,49,1161,27,1400,12759,222,417,396,92,13894,1913,225,138,450,28,2754,1328,386,249,664,25,2655,15640,6696,4536,41633,1202,69707,27911,486,1126,170,237,29931,745,92,63,330,13,1247,2763,663,423,3255,105,7206,1896,414,231,936,45,3511,863,136,53,193,9,1254,37211,292,208,136,224,38064,3043,1563,1095,13201,223,19114,3750,1172,512,3114,92,8644,1951,8,34,17,7,2012,3381,769,336,709,40,5241,318,57,22,56,3,456,4571,917,492,2396,79,8457,2767,325,250,138,76,3551,1392,444,284,209,37,2371,1817,205,164,431,19,2633,756,61,54,166,18,1055,3200,1379,1079,9125,174,14958,981,76,45,78,10,1197,1126,132,115,54,12,1434,3065,128,77,138,30,3437,3795,68,53,45,18,3971,2125,225,146,145,13,2660,1280,40,83,19,5,1421,310,106,65,393,9,884,64975,3356,2206,2490,718,73744,2770,154,158,1064,15759,19902,189424,17999,12419,97472,19651,336962
LGA10800,10,114,64,2426,62,2673,0,0,0,17,0,17,23,0,3,9,0,33,3,0,0,0,0,3,17,0,3,14,0,35,138,92,75,2025,54,2380,14,3,0,0,0,23,0,0,0,11,0,14,16,8,12,279,4,313,3,0,0,13,0,18,0,3,0,0,0,6,12,0,0,0,0,12,22,23,12,591,6,643,4,7,0,17,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,4,0,16,11,0,0,0,0,17,9,4,0,3,0,15,3,0,0,0,0,7,4,0,0,0,0,8,33,22,24,532,6,623,5,0,0,0,0,7,12,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,9,0,12,91,15,7,18,11,143,0,0,3,101,621,726,361,179,120,4549,745,5955
