LGA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
LGA10050,0,0,0,3,4,8,16,21,11,54,3,3,3,9,0,9,3,0,0,38,14,51,23,407,26,18,11,7,0,559,0,0,0,3,3,0,0,3,0,16,0,3,0,14,4,5,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,7,0,19,10,0,8,16,0,66,0,0,0,0,4,12,20,19,7,73,0,0,0,9,0,0,0,0,0,18,0,0,9,22,0,0,0,0,0,34,0,0,0,6,4,3,0,0,0,13,0,3,4,22,9,3,0,3,0,43,0,0,0,0,0,3,3,3,0,13,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,9,65,79,44,3,0,0,0,0,200,0,8,0,14,12,30,70,46,17,197,6,27,42,132,121,107,68,27,3,540,0,0,0,4,0,0,5,7,0,12,0,3,0,22,4,0,0,0,0,32
LGA10130,0,3,0,0,3,0,0,0,0,10,0,0,3,14,5,4,5,0,0,26,9,9,17,99,15,6,3,4,0,163,0,3,3,11,12,3,3,0,3,35,0,3,5,32,5,0,3,0,0,47,12,22,5,46,6,0,0,0,0,89,0,0,0,8,10,3,6,4,0,34,0,0,3,3,3,6,6,0,3,23,0,0,3,6,11,6,0,0,0,29,0,0,0,10,0,0,0,0,0,12,0,0,0,4,0,0,4,0,0,6,0,6,4,8,8,4,4,3,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,12,0,0,31,114,6,0,0,0,0,151,3,0,0,5,6,17,18,7,5,64,0,27,46,65,66,58,32,10,5,313,0,0,0,3,0,0,4,0,0,11,0,0,7,20,3,0,0,0,0,32
LGA10250,0,0,0,0,0,3,0,0,3,12,0,3,0,4,6,6,0,0,0,22,3,6,6,67,9,5,7,6,3,107,0,4,0,17,3,7,3,0,0,33,0,0,0,3,4,4,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,0,25,11,13,12,5,5,71,0,0,0,13,9,15,21,25,14,92,0,10,7,23,13,5,5,0,4,58,0,0,3,20,5,0,0,0,0,25,0,0,0,0,0,3,0,0,0,4,0,0,4,11,14,12,9,3,0,52,0,0,0,0,0,4,14,3,3,27,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,4,0,16,15,31,45,20,19,152,6,29,36,172,123,147,95,38,14,657,0,0,0,0,3,9,4,0,0,16,0,0,0,0,0,0,0,0,0,6
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,12,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,0,3,7,3,0,20,0,7,4,9,0,3,0,0,0,23,4,14,13,109,15,13,11,0,0,172,0,0,3,7,0,0,0,3,0,17,0,3,0,12,5,0,0,0,0,25,0,0,6,3,6,0,0,0,0,14,0,7,0,18,11,9,6,6,0,61,0,0,0,0,3,13,12,6,6,46,0,3,6,9,6,3,4,3,0,26,0,3,3,15,6,0,0,0,0,24,0,0,3,11,5,9,7,0,0,38,0,3,5,22,12,0,4,0,0,46,0,0,0,0,3,6,5,3,0,26,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,9,9,36,4,0,0,0,0,52,0,0,0,12,7,17,38,25,10,104,3,24,46,127,97,67,53,9,9,436,0,0,0,0,7,4,5,0,0,19,0,3,0,18,3,0,0,0,0,30
LGA10550,0,0,0,0,4,9,7,0,0,18,0,0,0,3,0,3,0,3,0,8,0,0,3,14,8,0,3,9,0,46,0,0,0,3,0,3,8,5,3,23,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,3,12,6,8,18,7,3,61,0,0,0,3,6,11,16,7,0,54,0,3,0,5,4,3,0,0,0,23,0,0,0,11,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,7,12,4,5,3,0,31,0,0,0,0,0,5,16,9,0,30,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,7,16,33,81,53,21,204,0,12,7,55,79,130,58,24,8,375,0,0,0,0,3,6,10,7,4,28,0,0,0,0,0,0,0,0,0,3
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,11,0,0,0,12,0,3,3,0,0,23,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,3,0,0,24,0,0,0,0,7,0,0,0,0,11,0,0,0,3,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,7,18,14,4,67,0,3,8,45,34,49,28,10,0,169,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,14,3,0,0,0,0,21,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,13,18,6,3,42,0,5,7,23,18,17,16,3,0,93,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
LGA10750,3,13,26,45,74,145,199,156,38,692,4,20,81,290,166,277,78,20,5,944,296,1514,2623,15605,2866,1665,790,329,81,25761,4,47,109,637,271,238,124,47,15,1483,5,81,156,708,255,202,98,38,10,1550,9,98,273,673,327,194,81,23,7,1684,5,56,16,180,90,84,117,48,4,613,3,11,22,73,151,240,388,291,109,1291,4,20,17,62,26,9,8,4,0,145,11,65,133,527,289,227,138,67,18,1478,8,18,69,541,412,419,267,85,21,1845,14,56,88,422,230,291,176,52,13,1341,3,4,8,79,155,573,898,420,128,2269,0,11,22,140,115,168,122,65,29,679,5,25,71,297,208,110,79,26,5,820,5,92,169,951,97,59,11,7,0,1388,0,9,15,36,36,89,161,108,44,492,147,1016,1642,3049,1081,727,291,69,20,8040,0,3,6,27,47,31,54,27,9,211,113,442,530,2036,562,285,104,34,4,4111
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,7,6,4,6,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
