LGA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,0,0,0,7,12,3,0,0,0,20,3,25,27,112,48,37,19,0,0,283,0,0,0,7,0,7,7,3,13,37,0,0,0,17,24,41,38,28,8,163,3,0,0,9,5,3,0,0,0,21,0,10,21,40,33,15,10,6,4,132,0,0,0,3,5,3,9,9,6,29,5,9,9,56,11,10,0,0,0,102,0,0,0,3,0,0,0,0,0,4,0,6,7,30,11,6,0,0,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,13,32,15,18,9,3,0,102,0,5,3,19,3,0,3,0,0,35,0,0,0,10,7,11,15,0,0,45,0,4,8,10,4,3,0,0,0,32,5,42,44,298,136,96,114,86,38,860,193,331,463,946,473,531,442,382,184,3949,3286,6328,6755,12697,6497,6372,4907,2913,1329,51076
LGA10130,0,3,3,18,11,4,0,0,0,48,0,11,23,85,12,13,0,0,0,154,0,0,0,3,0,3,0,3,0,10,0,5,10,8,14,17,25,9,4,97,0,9,0,5,0,4,0,3,0,24,0,9,21,22,22,12,8,3,0,89,0,0,0,0,0,0,0,0,0,0,0,9,8,31,5,9,0,4,0,63,0,0,5,34,0,0,0,0,0,43,0,3,3,16,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,17,18,34,21,29,23,4,0,148,0,8,5,33,4,0,0,0,0,50,0,9,0,7,9,3,6,0,4,32,0,0,7,10,6,3,0,0,0,24,29,73,75,245,60,48,37,21,3,594,93,185,471,523,341,309,247,184,69,2425,1669,3667,5352,6560,3657,3552,2747,1595,649,29449
LGA10250,0,0,3,14,27,19,3,0,0,68,0,8,7,40,15,20,13,3,0,110,0,0,0,3,0,3,3,0,4,20,0,6,8,20,27,27,43,26,8,172,3,0,0,7,5,3,0,0,0,25,0,11,13,49,45,33,43,22,6,232,0,0,0,0,0,0,5,0,0,11,0,0,0,5,3,5,6,0,3,27,0,0,0,6,0,0,0,0,0,4,0,6,12,25,15,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,10,7,34,32,28,25,9,0,146,0,3,0,14,8,0,0,0,0,30,0,0,0,6,4,12,15,10,3,53,0,3,0,5,10,3,8,0,0,33,3,17,14,113,64,66,68,42,18,404,121,272,246,582,466,522,437,323,233,3195,2072,4856,3953,8243,5759,6434,5503,3203,1755,41790
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,3,0,0,0,0,20,7,29,30,59,36,53,32,25,9,281,143,336,264,503,290,377,202,131,35,2287
LGA10470,0,0,0,11,15,6,0,0,0,29,8,15,18,63,24,16,4,3,0,155,0,0,0,0,0,5,3,6,0,19,3,4,10,15,28,39,39,27,4,162,0,0,0,7,5,5,3,3,0,22,0,4,16,36,13,9,11,0,0,103,0,0,0,0,4,3,3,4,0,14,0,7,6,18,17,3,5,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,7,27,9,3,0,0,0,49,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,7,10,22,7,7,6,0,0,72,3,3,8,33,12,0,0,0,0,65,0,0,0,0,11,3,3,3,0,21,0,0,4,4,5,6,3,0,0,21,4,10,32,78,51,46,44,26,13,297,120,254,533,637,397,428,390,263,174,3195,2546,5571,6125,10051,5238,4991,3862,2019,892,41300
LGA10550,0,0,0,4,11,5,4,0,0,18,4,7,3,38,22,29,5,3,4,120,0,0,0,5,4,4,3,6,3,25,0,0,0,8,14,39,64,33,6,159,3,0,0,4,3,7,0,0,0,16,0,3,3,19,6,20,18,10,6,85,0,0,0,0,0,5,0,9,0,16,0,0,0,0,0,0,3,0,0,11,0,0,0,3,0,0,0,0,0,3,3,3,9,29,8,8,0,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,8,4,28,12,28,39,7,3,131,0,0,0,13,3,0,0,0,0,20,0,0,0,3,7,12,11,5,0,38,0,0,0,0,0,3,6,0,0,11,3,11,7,59,56,66,85,60,15,359,75,235,219,499,472,568,449,293,133,2946,1468,3789,2982,5601,4648,6154,5060,2546,999,33253
LGA10600,0,0,0,3,3,3,0,0,0,14,0,0,0,3,9,6,0,0,0,20,0,0,0,0,0,0,4,0,0,5,0,0,0,8,10,14,20,13,6,65,0,0,0,3,3,0,0,0,0,7,0,0,0,13,9,9,4,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,8,12,13,17,3,0,50,0,0,0,3,0,0,0,0,0,3,0,0,0,7,5,7,6,0,3,26,0,0,0,0,3,5,0,0,0,7,3,7,3,29,25,30,25,20,3,152,26,117,67,173,154,188,148,91,40,1005,605,1594,1115,2276,1824,2240,1718,924,368,12668
LGA10650,0,0,0,0,0,0,0,0,0,0,3,5,3,11,8,10,0,3,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,7,14,3,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,6,0,12,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,3,0,0,0,0,0,4,3,7,0,12,8,7,9,4,3,55,45,85,88,182,106,150,154,104,36,948,471,972,756,1596,936,1304,1370,739,313,8462
LGA10750,0,0,16,50,42,23,4,4,0,143,130,998,2069,8231,4494,3757,1657,378,203,21917,0,10,15,181,100,225,155,95,150,932,0,19,18,95,168,203,211,128,50,894,16,74,76,128,82,97,49,15,8,541,10,113,221,616,357,262,138,62,11,1787,0,0,4,80,84,116,111,102,29,525,38,232,385,2182,843,668,372,140,45,4895,8,8,26,148,28,52,18,0,3,287,10,42,77,312,100,58,18,7,0,621,0,0,3,33,38,51,42,17,0,192,11,15,90,413,393,214,145,44,5,1335,24,146,170,259,102,74,33,7,0,816,3,7,41,374,216,239,72,19,12,990,0,5,0,22,21,30,28,25,3,124,0,13,80,127,62,29,5,0,0,324,154,878,1855,5059,2861,2290,1412,773,341,15616,1300,2280,2263,5329,2451,2122,1571,850,350,18522,26928,49739,46120,103650,42063,33702,21536,9674,3553,336962
LGA10800,5,6,7,7,0,0,0,0,0,25,0,3,0,9,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,3,3,6,0,8,5,8,0,3,0,29,29,79,65,142,96,112,98,85,69,769,351,876,599,1269,709,866,626,442,211,5955
