LGA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
LGA10050,0,0,5,9,6,3,5,4,6,0,0,0,0,0,3,48,0,3,0,0,3,5,23,36,0,9,9,7,5,11,0,116,0,3,8,27,3,0,0,0,0,0,0,0,0,0,3,48,0,0,0,9,0,0,0,0,0,0,3,0,4,0,0,22,0,0,3,3,9,12,9,4,0,0,0,0,0,0,0,41,0,98,68,24,14,7,6,5,0,0,0,0,3,3,13,248,0,17,24,7,3,3,0,0,0,0,0,0,0,0,3,54,0,0,0,4,10,8,3,0,0,0,3,3,0,0,3,38,0,4,0,6,7,9,42,271,29,38,38,42,34,20,14,559,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,16,0,0,0,0,4,4,3,3,0,5,0,4,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,11,10,4,10,4,11
LGA10130,0,0,3,16,6,7,14,5,0,0,0,0,3,0,0,54,0,0,0,3,3,10,32,38,14,7,15,35,62,39,25,277,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,11,6,0,0,3,0,0,0,3,0,33,0,12,14,8,15,13,18,5,0,0,3,0,0,0,3,103,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,3,5,6,0,4,0,0,0,3,0,0,26,0,0,3,0,3,3,18,53,3,3,12,22,18,12,8,163,0,3,0,0,4,0,8,3,0,0,0,3,6,4,0,35,0,0,0,0,4,7,3,3,10,5,7,0,6,3,3,47,0,0,0,0,0,0,3,7,3,5,22,30,11,0,0,89,0,0,8,0,7,3,7,0
LGA10250,0,0,4,16,14,9,19,7,0,3,3,0,3,4,6,91,0,4,3,0,7,5,15,13,0,0,0,0,6,0,5,62,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,11,6,0,10,4,0,3,0,0,3,0,0,5,44,0,46,22,13,11,7,11,8,0,3,3,0,0,0,3,141,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,22,3,5,4,5,0,5,13,41,0,3,12,6,0,0,0,107,0,3,4,0,0,5,4,5,3,3,3,0,0,0,3,33,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,26,7,5,12,17
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
LGA10470,0,3,3,7,8,3,13,11,4,0,3,0,0,0,0,58,0,4,0,0,4,11,20,15,7,14,7,4,7,3,12,121,0,0,7,9,0,0,3,0,0,0,0,0,0,0,3,21,0,0,3,3,0,3,6,0,0,0,0,0,0,0,3,19,0,0,0,3,4,12,12,3,0,0,0,0,0,0,12,49,3,39,19,7,10,4,3,4,0,3,0,0,0,0,8,99,0,0,6,5,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,5,4,3,0,0,0,3,0,3,4,23,0,4,3,4,3,9,24,70,8,9,15,13,16,4,3,172,0,3,3,0,0,0,4,5,0,0,0,0,0,3,0,17,0,0,0,0,0,0,8,0,3,3,3,0,4,0,4,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,14,0,4,5,9,3,6,13,6
LGA10550,0,0,6,12,10,8,15,9,4,0,0,0,3,0,0,54,3,0,3,0,0,7,3,8,0,0,0,0,0,3,0,37,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,16,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,16,0,61,62,29,28,23,17,11,0,0,3,0,4,0,6,238,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,4,4,0,0,5,11,0,0,0,0,0,0,3,46,0,5,5,4,0,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,8,10,12,6
LGA10600,0,0,0,5,0,0,7,3,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,12,10,22,15,6,3,0,0,0,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,6,0,0,0,0,0,3,3,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,6
LGA10650,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,11,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,6,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
LGA10750,0,6,8,28,32,39,62,41,7,6,8,7,15,22,15,294,0,20,60,34,147,947,1284,1131,144,179,140,186,147,95,151,4658,0,17,128,509,65,133,130,0,0,0,3,3,3,0,27,1025,3,34,68,312,105,476,366,226,32,58,92,69,51,17,44,1955,4,0,4,70,467,2212,2433,957,170,154,154,121,88,68,178,7080,0,343,170,127,74,53,83,37,7,8,8,9,4,9,32,952,0,40,237,245,45,36,28,14,4,12,9,5,3,0,23,692,0,0,11,36,170,371,185,51,14,8,23,11,18,15,32,944,4,8,23,270,336,1902,6919,9423,786,898,1124,1351,1207,829,684,25761,0,11,15,56,171,292,593,184,29,18,20,15,27,15,40,1483,0,0,0,34,88,267,453,242,124,110,99,39,34,21,37,1550,0,0,0,26,37,201,576,302,106,74,130,54,109,31,39,1684,0,5,39,163,35,108,58,79
LGA10800,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
