LGA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
LGA10050,0,0,5,3,4,3,50,48,3,0,0,0,0,3,3,132,0,0,0,0,4,12,14,18,13,16,3,6,12,3,3,102,0,0,0,0,4,3,20,19,3,3,0,4,6,0,0,63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,95,224,355,159,88,124,88,8,11,13,7,11,0,43,1240,0,4,0,12,6,16,20,17,5,8,3,3,7,8,3,102,0,0,0,0,6,3,7,8,3,0,0,3,3,3,0,35,0,0,0,0,3,3,5,14,3,0,0,3,4,0,0,32,0,65,82,133,88,56,78,279,137,86,82,68,61,11,23,1263,21,409,580,725,494,420,584,1000,255,240,174,198,184,109,173,5540
LGA10130,0,0,3,6,3,9,39,12,0,8,0,0,0,0,4,89,0,0,0,0,10,8,3,14,6,5,7,6,0,4,0,63,0,0,0,0,0,3,9,8,0,0,0,0,3,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,51,123,175,73,50,78,62,13,17,7,13,7,6,28,705,0,0,4,19,17,16,35,17,3,4,8,6,7,3,0,148,0,0,0,0,3,0,3,5,5,6,3,9,3,13,3,50,0,0,0,0,7,0,0,8,0,0,0,0,3,0,0,24,3,13,26,52,41,39,86,175,23,42,43,98,171,91,31,935,16,123,234,348,283,259,477,514,97,141,175,259,365,216,133,3631
LGA10250,0,3,10,25,38,25,53,49,3,6,3,0,11,0,3,232,0,0,3,3,0,7,0,3,0,0,0,0,4,0,3,27,0,0,0,0,0,3,20,18,3,3,4,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,21,133,320,413,147,124,198,146,19,21,23,21,14,4,63,1663,0,0,9,31,13,30,18,21,6,9,0,9,4,0,5,146,0,0,0,0,0,8,3,3,0,3,0,0,0,0,0,30,0,0,0,3,6,3,7,5,0,0,4,0,0,0,0,33,4,36,78,93,60,47,74,74,15,13,23,14,16,6,15,572,49,358,590,803,540,452,616,549,79,105,101,75,71,44,182,4609
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,7,7,0,0,0,36,0,15,24,8,9,13,22,13,3,5,4,18,4,0,8,144
LGA10470,0,0,10,0,8,10,25,33,3,7,0,10,3,0,0,103,0,3,0,0,0,7,12,12,3,0,6,0,0,0,0,47,0,0,0,0,0,7,9,12,3,3,3,3,4,3,0,49,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,109,190,273,129,83,58,53,16,12,16,0,6,11,52,1019,0,0,3,7,6,7,22,8,0,0,3,9,4,3,0,72,0,0,0,0,3,10,3,6,8,3,3,3,0,0,21,65,0,0,3,0,7,0,4,3,0,0,0,0,0,0,0,21,0,20,24,89,42,39,81,72,8,8,8,17,23,19,45,503,18,248,340,543,348,349,471,423,97,98,103,95,99,72,282,3565
LGA10550,0,0,10,9,29,23,12,3,0,0,0,0,0,8,3,85,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,3,5,3,13,3,0,6,0,0,3,6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,189,444,495,188,112,92,48,3,12,11,0,4,0,67,1677,0,3,3,30,23,18,20,17,5,0,0,4,0,0,8,131,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,11,0,47,72,113,60,45,40,19,9,10,0,6,0,0,19,449,26,445,754,854,525,350,306,213,38,42,54,20,35,24,168,3860
LGA10600,0,0,3,7,11,4,10,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,50,125,182,75,66,73,31,12,11,3,5,0,0,28,682,0,0,0,6,12,5,13,3,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,17,18,40,27,27,18,11,5,5,3,3,4,0,10,193,14,101,205,318,220,196,175,104,23,24,12,20,12,3,69,1495
LGA10650,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,61,70,16,9,3,0,0,6,0,0,0,0,11,219,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,11,17,3,3,3,11,0,6,0,9,0,0,3,69,3,77,105,126,52,35,65,57,12,31,3,16,22,15,40,651
LGA10750,0,0,6,68,166,348,570,329,36,39,48,47,41,37,48,1787,0,0,10,115,128,993,1397,1140,158,328,236,111,100,81,100,4895,0,0,0,5,43,96,188,123,23,28,30,20,19,14,27,621,0,0,5,95,26,26,21,5,0,0,0,0,0,0,13,192,0,0,0,341,204,277,285,94,17,11,21,23,17,3,35,1335,14,398,1132,2066,787,582,502,460,105,87,100,51,50,29,199,6579,0,3,7,58,42,67,180,164,29,44,39,39,47,70,30,816,0,0,0,13,370,284,99,76,7,21,13,17,16,8,50,990,0,0,3,0,10,14,159,72,15,15,10,7,10,11,3,324,10,271,470,2209,2035,4676,7137,4207,618,669,648,734,720,511,731,25648,56,2246,4069,8934,9538,25952,33547,25536,3698,4177,4216,4120,3846,2546,3820,136294
LGA10800,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,25,3,3,4,5,0,0,0,0,4,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,7,3,7,12,10,3,3,4,8,0,0,0,59,0,13,35,39,14,31,29,42,5,19,14,16,10,4,4,287
