LGA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
LGA10050,..,12,50,13,11,5,16,13,15,6,145,..,0,61,37,34,21,22,22,5,8,211,..,0,6,3,6,10,11,12,10,4,50,..,0,0,0,0,0,0,0,0,0,3,..,0,64,34,34,31,35,35,13,13,263,..,0,0,0,0,0,0,0,0,0,0,..,16,119,44,46,30,50,46,27,21,408,32,47,43,5,3,3,0,3,6,5,154,10,18,66,29,23,18,11,26,6,3,195,0,0,6,3,3,3,5,9,6,0,32,0,0,0,0,0,0,0,0,0,0,0,10,18,72,28,23,16,16,31,11,3,228,0,0,0,0,0,0,0,0,0,0,0,38,63,116,35,28,23,19,39,18,11,384,79,33,55,12,13,3,10,11,3,5,228,18,36,264,43,48,42,38,38,20,8,550,0,0,19,16,8,5,13,3,6,0,65,0,0,3,0,0,0,0,0,0,0,9,17,35
LGA10130,..,9,42,11,18,19,13,10,3,4,123,..,4,45,8,8,21,39,21,12,7,162,..,0,0,0,0,3,13,18,15,8,48,..,0,0,0,0,0,0,0,0,0,0,..,4,49,8,8,23,53,39,27,13,214,..,0,0,0,0,0,0,0,0,0,0,..,9,89,18,23,42,68,49,29,14,340,40,43,50,9,3,9,4,4,9,5,170,8,36,37,10,18,12,37,62,40,13,266,0,3,0,0,0,3,13,27,21,14,72,0,0,0,0,0,0,0,0,0,0,3,8,37,34,10,18,18,43,87,62,23,340,0,0,0,0,0,0,0,0,0,0,0,53,84,81,15,22,22,46,93,62,38,515,48,19,17,6,6,7,7,14,3,3,146,14,25,106,22,46,50,72,133,74,20,553,0,0,3,0,7,7,8,14,5,8,51,0,0,0,0,0,0,0,0,0,0,4,14,25
LGA10250,..,16,71,15,13,20,12,15,8,7,181,..,3,24,6,10,13,6,6,0,5,63,..,0,0,0,0,0,0,0,0,3,3,..,0,0,0,0,0,0,0,0,0,0,..,3,24,6,10,15,3,3,0,5,72,..,0,0,0,0,0,0,0,0,0,0,..,18,94,23,25,31,17,20,10,13,252,24,44,33,0,8,7,7,3,4,9,133,0,9,9,4,3,3,3,3,6,0,41,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,3,4,3,3,7,4,47,0,0,0,0,0,0,0,0,0,0,3,24,53,48,3,9,8,7,6,9,15,183,64,29,57,15,12,8,14,7,6,6,219,5,15,70,6,19,14,11,12,4,8,169,0,0,4,0,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,0,3,12,15
LGA10300,..,0,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,13,0,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
LGA10470,..,19,33,4,6,20,7,6,8,0,103,..,5,22,13,6,5,8,18,3,0,81,..,0,0,0,0,0,3,0,8,0,12,..,0,0,0,0,0,0,0,0,0,0,..,5,22,13,9,6,10,16,12,0,96,..,0,0,0,0,0,0,0,0,0,0,..,25,55,14,14,27,21,26,16,7,203,34,56,25,9,10,7,4,4,7,4,152,3,26,26,12,13,3,4,10,6,3,111,0,0,0,0,0,3,6,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,25,26,12,13,7,12,13,12,3,127,0,0,0,0,0,0,0,0,0,29,28,39,85,53,14,23,14,18,20,18,36,309,59,10,36,6,3,8,3,0,4,6,145,21,12,80,12,13,16,20,21,8,3,216,0,0,6,0,0,0,3,3,4,3,16,0,0,0,0,0,0,0,0,0,0,3,21,12
LGA10550,..,7,28,8,0,9,0,11,3,4,65,..,6,10,0,7,4,0,3,0,0,33,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,6,10,0,7,4,0,3,0,0,34,..,0,0,0,0,0,0,0,0,0,0,..,13,44,6,4,13,3,13,3,3,99,6,25,8,0,3,0,0,0,0,5,47,0,3,3,0,0,4,0,0,8,3,22,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,6,4,29,0,0,0,0,0,0,0,0,0,0,0,6,29,14,0,6,7,0,3,6,10,77,43,11,14,3,7,0,3,0,0,7,87,8,8,22,6,4,9,7,3,4,3,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,8
LGA10600,..,7,12,6,12,3,3,3,0,3,40,..,0,0,0,0,0,0,0,0,3,9,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,9,..,0,0,0,0,0,0,0,0,0,0,..,11,11,8,10,4,3,3,0,4,55,3,15,8,3,0,0,0,0,0,0,35,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,15,10,3,0,0,0,0,0,0,45,15,5,7,3,0,0,3,3,0,8,43,3,3,16,0,0,5,0,3,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA10650,..,4,3,0,7,0,3,0,4,0,18,..,0,3,0,3,0,4,0,0,4,16,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,3,0,4,3,0,4,21,..,0,0,0,0,0,0,0,0,0,0,..,4,10,0,12,0,9,3,4,4,38,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,19,3,3,8,0,8,3,0,3,0,3,30,0,3,16,0,3,0,3,5,6,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10750,..,296,938,173,255,265,197,190,65,140,2529,..,494,1944,446,505,510,460,359,197,149,5058,..,8,15,18,21,60,115,170,194,69,664,..,7,13,5,3,3,3,7,3,3,46,..,514,1968,465,527,574,579,535,389,222,5772,..,0,3,0,0,3,3,7,6,9,37,..,811,2910,644,787,837,781,723,466,375,8334,795,1207,657,81,97,90,115,110,121,135,3408,1234,2395,2247,351,431,495,676,732,459,232,9257,7,17,27,16,28,31,39,68,75,33,340,3,20,21,3,3,4,9,3,6,7,79,1245,2435,2296,371,471,531,716,800,544,274,9673,4,3,3,0,0,0,0,3,0,37,52,2039,3643,2954,451,564,628,835,912,663,444,13133,2371,609,635,128,137,139,114,135,85,145,4492,3798,3178,7071,921,1104,1150,1189,1030,573,356,20377,27,88,296,92,130,141,118,115,67,46,1120,30,32,42,6,9,11,10,14,3,6,157,3853,3294
LGA10800,..,8,7,0,0,4,3,0,0,0,24,..,0,3,0,7,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,7,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,8,5,0,9,9,4,0,0,0,33,0,4,5,0,0,0,0,5,0,0,12,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,4,3,0,0,21,3,4,0,0,3,0,0,0,0,0,16,3,0,4,0,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
