LGA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
LGA10050,0,14,..,3,0,3,0,3,..,3,0,3,0,3,..,5,3,9,0,9,..,7,3,10,0,10,..,16,0,16,0,16,..,0,0,0,0,0,..,22,4,24,0,24,..,60,0,60,0,60,..,5,0,5,0,5,..,70,0,70,0,71,..,7,0,8,0,8,..,148,0,149,0,149,..,36,7,39,0,39,..,14,0,14,0,14,..,40,3,50,0,48,..,0,0,0,0,0,..,17,3,21,3,23,..,257,61,319,5,318,..,1443,347,1790,19,1808,..,64,4,69,1690,1764,22839,1505,354,1860,1713,26411,44120,..,..,..,..,44120,..,51,0,48,0,51,..,66,10,73,0,76,..,31,3,34,0,35,..,45,15,61,3,65,..,104,50,157,0,157,..,0,0,3,0,3,..,155,69,226,3,228,..,36,5,39,0,39,..,69,0,69,0,75,..,49,0,54,0,54,..,128,10,140,4,137
LGA10130,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,16,5,18,0,18,..,5,0,9,0,9,..,13,0,13,0,13,..,0,0,0,0,0,..,7,0,5,0,5,..,26,0,26,0,29,..,16,0,16,0,16,..,42,3,47,0,47,..,13,0,13,0,13,..,90,4,98,3,101,..,30,3,37,0,37,..,8,0,8,0,8,..,18,3,20,0,20,..,0,0,0,0,0,..,20,10,34,0,34,..,174,19,191,11,200,..,1015,165,1177,17,1192,..,39,0,39,1074,1116,12911,1050,170,1218,1092,15220,24937,..,..,..,..,24937,..,16,0,16,0,16,..,230,71,305,4,307,..,19,0,15,0,15,..,56,12,64,0,69,..,209,100,307,3,312,..,23,10,37,0,37,..,288,123,417,3,420,..,3,0,3,0,3,..,27,0,27,0,27,..,62,4,66,3,70,..,105,3,108,0,108
LGA10250,0,11,..,0,0,0,0,0,..,8,0,8,0,8,..,8,3,13,0,13,..,7,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,18,0,13,0,13,..,12,0,13,0,10,..,21,0,21,0,21,..,10,0,10,0,10,..,51,0,53,0,53,..,41,3,44,3,48,..,5,0,5,0,5,..,37,5,39,0,39,..,5,0,5,0,5,..,18,3,24,0,24,..,121,15,134,10,146,..,754,60,813,15,832,..,43,0,48,1512,1561,19268,796,61,857,1526,21658,37214,..,..,..,..,37214,..,50,0,54,0,54,..,14,7,15,0,15,..,12,0,12,0,9,..,34,13,43,0,43,..,57,20,72,0,76,..,7,0,7,0,7,..,94,28,123,0,129,..,16,0,13,0,13,..,73,0,72,3,76,..,98,5,101,0,103,..,136,0,141,0,143
LGA10300,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,17,0,17,..,70,9,83,0,80,..,4,0,4,110,117,915,72,9,83,113,1115,1902,..,..,..,..,1902,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,3,0,3,..,4,3,11,0,11,..,0,0,0,0,0,..,6,3,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA10470,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,18,0,18,..,8,0,8,0,8,..,10,0,13,0,13,..,4,0,4,0,4,..,9,0,11,0,11,..,19,0,19,0,19,..,6,0,6,0,6,..,40,0,36,0,40,..,5,0,5,0,5,..,68,0,69,0,73,..,25,0,24,0,28,..,16,0,18,0,18,..,23,12,35,0,35,..,0,0,0,0,0,..,18,4,24,0,24,..,131,24,156,0,156,..,733,99,833,10,839,..,41,0,41,1413,1455,18308,774,99,876,1424,20605,35906,..,..,..,..,35906,..,33,0,33,0,33,..,88,13,101,0,101,..,25,4,29,0,32,..,52,24,72,0,72,..,84,19,100,3,108,..,11,3,16,0,16,..,142,49,197,3,200,..,17,3,20,0,20,..,38,0,38,0,38,..,44,3,46,4,49,..,58,3,62,0,62
LGA10550,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,17,0,17,0,16,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,26,0,26,0,26,..,3,0,7,0,7,..,31,0,31,3,36,..,7,0,7,0,7,..,69,0,73,3,74,..,16,0,16,0,16,..,0,0,0,0,0,..,34,5,39,4,40,..,0,0,0,0,0,..,8,0,8,0,8,..,87,5,94,3,93,..,511,37,548,12,560,..,54,0,49,1215,1271,15172,563,41,598,1228,17001,29765,..,..,..,..,29765,..,20,0,20,0,20,..,9,3,6,0,6,..,3,0,8,0,8,..,19,10,29,0,29,..,21,5,33,0,33,..,4,0,4,0,4,..,46,22,70,0,70,..,13,0,13,0,13,..,69,0,67,0,69,..,60,3,62,3,63,..,156,3,160,0,160
LGA10600,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,13,0,13,0,13,..,22,3,20,0,20,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,37,9,43,0,44,..,213,12,222,4,223,..,16,0,16,404,418,5904,223,12,238,408,6548,11446,..,..,..,..,11446,..,6,0,6,0,6,..,4,0,4,0,4,..,19,0,19,0,19,..,3,0,3,0,3,..,7,0,8,0,8,..,0,0,0,0,0,..,9,0,14,0,14,..,0,0,0,0,0,..,41,0,45,0,45,..,20,0,25,3,26,..,67,0,67,3,70
LGA10650,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,10,3,9,0,9,..,8,0,7,0,7,..,20,0,26,0,26,..,9,0,9,0,9,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,32,3,30,0,30,..,117,12,127,3,135,..,8,0,7,412,415,3690,127,9,139,413,4236,7377,..,..,..,..,7377,..,3,0,3,0,3,..,8,0,8,0,8,..,8,0,8,0,8,..,18,3,20,0,20,..,5,6,15,0,19,..,0,0,0,0,0,..,22,6,31,0,33,..,0,0,0,0,0,..,9,0,9,3,8,..,8,0,8,0,8,..,15,0,15,0,19
LGA10750,10,943,..,121,27,144,0,147,..,1096,120,1209,14,1226,..,737,222,957,10,961,..,490,124,610,3,614,..,314,50,359,12,371,..,1767,151,1914,43,1958,..,386,87,471,3,479,..,3422,101,3530,34,3555,..,744,113,858,0,857,..,7147,270,7421,74,7497,..,309,12,324,3,329,..,11627,503,12128,107,12238,..,1327,264,1592,9,1600,..,2022,274,2292,13,2308,..,278,73,349,4,355,..,893,320,1216,12,1228,..,480,184,659,6,666,..,8116,1883,10000,214,10213,..,60176,9716,69897,739,70635,..,554,122,674,7771,8448,90305,60731,9842,70571,8514,169390,180926,..,..,..,..,180926,..,324,4,329,3,335,..,8609,1544,10152,68,10216,..,35,5,39,3,40,..,2389,1103,3490,20,3512,..,3244,1556,4800,28,4831,..,240,86,319,0,319,..,5867,2740,8611,51,8663,..,1309,223,1527,11,1537,..,223,5,223,4,233,..,731,33,766,13,772,..,541,31,568,14,583
LGA10800,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,8,0,8,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,62,12,73,3,76,..,3,0,3,359,360,2550,64,12,76,360,2988,5108,..,..,..,..,5108,..,3,0,3,0,3,..,8,0,8,0,8,..,3,0,3,0,3,..,18,9,21,0,21,..,3,0,4,0,4,..,0,0,0,0,0,..,18,4,25,0,25,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0
