LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,213,299,515,3876,4774,8647,0,0,0,243,291,533,49,64,116,6130,6945,13079,11,19,38,147,164,312,70,113,178,22,24,49,449,619,1073,6,7,17,47,54,104,230,294,523,833,989,1825,60,79,140,99,103,204,844,1298,2139,492,580,1073,16,15,32,13636,16442,30077,429,406,835,134,107,242,12,11,27,9,8,19,131,117,244,63,72,135,201,196,404,7506,6559,14068,78,68,146,18,35,48,7604,6659,14264,2434,2292,4723,24662,26411,51076
LGA10130,129,182,313,3067,3658,6726,0,0,0,141,165,309,66,68,141,2792,3153,5947,24,35,55,43,40,82,36,43,77,21,33,53,29,40,70,0,3,3,28,38,67,97,141,244,621,711,1330,74,90,165,83,99,185,375,536,912,286,288,575,21,13,33,7816,9142,16955,131,155,283,257,210,463,14,3,17,7,6,19,27,16,41,58,62,118,88,85,181,4224,3850,8074,50,40,85,19,24,46,4294,3914,8204,1504,1534,3041,14227,15220,29449
LGA10250,199,309,503,3599,4364,7966,0,0,0,236,270,507,0,3,3,4302,4866,9168,15,11,26,52,54,105,106,132,238,29,31,59,52,62,114,5,0,5,58,74,131,224,297,519,793,980,1775,34,60,90,108,114,220,787,1016,1809,415,498,920,27,37,63,10843,12864,23709,54,42,95,23,26,48,26,23,49,3,4,6,22,21,44,59,100,156,82,118,204,6660,5960,12618,78,63,135,42,73,114,6775,6093,12877,2122,2182,4304,20127,21658,41790
LGA10300,7,10,16,175,171,341,0,0,0,3,3,4,0,0,0,416,395,810,0,3,5,0,0,0,0,3,3,0,0,0,8,7,15,0,0,0,0,4,5,9,7,11,72,80,156,0,0,0,0,0,0,30,38,68,28,35,58,0,0,0,735,745,1486,6,8,10,4,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,268,212,471,0,0,0,0,0,0,264,208,476,154,137,289,1177,1115,2287
LGA10470,128,177,307,3626,4263,7893,0,0,0,252,279,524,92,81,166,6116,6723,12833,16,26,43,75,66,147,66,62,126,30,29,61,40,45,79,8,7,14,76,75,148,123,143,260,827,894,1723,53,58,115,29,46,69,688,829,1512,294,334,631,14,10,15,12406,13955,26367,103,93,202,104,77,183,6,9,14,6,10,18,36,28,59,48,49,95,87,92,182,4994,4250,9250,54,44,96,22,32,53,5077,4322,9394,2786,1872,4661,20695,20605,41300
LGA10550,119,226,342,3398,3878,7277,0,0,0,174,185,361,0,3,3,2893,3060,5949,4,15,16,51,55,98,76,140,212,33,24,58,43,66,111,3,0,3,38,37,82,38,44,82,445,507,950,31,43,80,46,61,111,535,717,1245,287,357,649,14,18,35,8111,9214,17322,30,23,55,14,15,26,9,17,27,4,9,14,0,0,0,48,79,129,56,87,144,6064,5608,11672,67,53,120,31,60,88,6161,5719,11880,1752,1702,3452,16252,17001,33253
LGA10600,86,129,210,1114,1273,2392,0,0,0,32,32,65,0,0,0,860,1002,1859,5,0,7,5,7,10,13,14,26,0,0,0,9,13,18,0,0,0,16,16,36,60,87,143,167,177,345,12,6,21,13,20,28,289,344,636,109,159,268,9,21,28,2712,3182,5897,18,8,25,8,4,16,14,15,31,7,5,11,3,4,11,27,52,72,31,58,97,2541,2449,4992,29,28,65,21,32,55,2593,2517,5108,659,624,1283,6123,6548,12668
LGA10650,12,11,19,768,861,1626,0,0,0,15,11,23,0,0,0,1095,1138,2239,0,0,0,10,9,20,11,12,21,44,60,101,7,24,36,0,0,0,9,7,17,24,28,52,277,275,547,4,7,12,0,0,0,288,344,628,71,57,130,5,3,8,2630,2837,5464,15,6,23,10,6,13,0,0,3,3,0,3,3,4,4,8,13,23,17,17,32,1051,871,1916,13,8,21,6,11,20,1076,888,1964,472,473,944,4224,4236,8462
LGA10750,2628,3101,5731,16843,19018,35864,90,84,171,2188,2306,4499,44,62,106,47152,51121,98278,454,487,946,2951,3071,6025,541,652,1186,1130,1219,2344,215,246,458,1831,1822,3648,1558,1564,3124,3535,4030,7563,2772,3216,5987,222,279,501,852,975,1827,2979,3292,6278,5117,5565,10681,186,194,375,90666,99200,189864,14739,14043,28781,11519,11121,22645,79,71,151,11,16,25,6144,5234,11380,624,732,1358,6783,5982,12767,27253,23313,50568,298,211,503,113,144,254,27662,23663,51330,13490,12212,25702,167574,169390,336962
LGA10800,12,11,21,713,768,1484,0,0,0,15,19,33,0,0,0,748,797,1545,0,4,3,3,9,8,16,17,34,3,3,3,39,49,86,0,0,3,16,19,32,7,12,22,209,191,406,13,11,28,0,0,6,198,192,391,97,115,214,0,0,0,2081,2220,4303,9,3,16,3,0,4,0,0,0,0,0,0,0,0,3,0,7,7,0,9,6,479,344,824,3,0,5,3,4,6,483,355,839,379,391,770,2971,2988,5955
