LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,437,427,864,1235,1147,2383,539,542,1076,338,352,688,2109,2043,4150,946,937,1892,362,353,714,282,356,636,1593,1652,3242,76,85,164,60,120,179,206,134,334,192,330,522,0,0,0,541,667,1209,225,524,750,106,197,307,50,75,127,181,348,526,0,3,3,572,1143,1712,38,60,96,93,159,252,3,4,8,133,223,357,1902,2004,3902,7283,8145,15435
LGA10130,263,223,493,826,823,1648,190,195,389,156,163,321,1175,1181,2353,579,518,1097,170,181,357,340,379,718,1088,1082,2175,47,38,91,34,42,80,82,61,144,105,140,245,4,0,7,275,290,563,776,1014,1790,309,361,670,80,103,185,158,310,464,8,6,17,1336,1795,3134,11,16,26,34,53,89,0,0,0,50,67,121,1176,1267,2442,5364,5914,11275
LGA10250,349,346,697,972,782,1752,489,435,923,232,237,462,1685,1452,3138,736,703,1443,469,487,961,128,154,284,1337,1348,2688,43,45,88,26,80,112,113,73,187,120,252,374,10,4,13,309,459,772,105,169,266,76,141,213,34,44,74,141,296,433,3,3,5,348,651,1004,18,21,45,42,100,141,0,0,3,61,119,186,1574,1737,3309,5676,6118,11793
LGA10300,23,18,37,68,76,148,37,34,73,3,0,3,108,107,221,52,45,98,23,10,29,3,0,3,73,62,134,0,0,0,0,0,0,5,0,5,0,9,14,0,0,0,8,14,18,0,7,6,0,0,0,3,0,3,3,7,9,0,0,0,10,18,27,0,0,3,3,3,8,0,0,0,5,5,9,147,128,273,369,348,712
LGA10470,402,368,771,1174,1046,2219,609,622,1236,111,112,223,1896,1776,3676,840,699,1542,398,493,893,281,213,496,1519,1406,2924,44,76,116,33,76,106,151,110,255,144,268,409,4,9,12,375,525,905,441,679,1127,125,131,253,63,94,151,189,349,538,0,0,4,820,1254,2070,29,32,59,50,100,153,0,3,3,75,132,211,2398,1655,4052,7487,7121,14604
LGA10550,249,227,481,922,815,1739,169,150,325,148,170,324,1245,1141,2385,613,629,1240,239,235,474,76,91,168,932,959,1888,21,32,52,12,24,35,103,66,163,67,141,210,0,5,4,201,267,467,36,61,103,21,75,90,11,25,33,66,184,249,0,0,0,128,345,476,15,12,28,24,77,97,0,3,3,42,85,129,1448,1538,2982,4237,4559,8796
LGA10600,111,110,226,311,337,646,76,91,171,108,77,188,497,505,1002,311,313,619,29,35,64,71,69,140,408,416,827,12,16,31,6,29,37,32,10,44,33,73,106,0,0,0,90,125,218,20,36,57,21,40,57,7,11,22,30,107,136,0,0,0,80,197,275,0,6,6,14,30,45,0,0,5,12,40,55,482,535,1017,1687,1926,3617
LGA10650,75,80,153,221,208,427,64,81,143,25,20,50,313,310,619,148,153,304,39,24,66,23,37,58,210,221,427,3,4,5,0,7,14,18,11,36,32,32,64,0,0,0,50,63,113,10,20,34,9,7,14,3,3,11,6,47,53,0,0,0,25,80,108,0,0,8,6,12,20,0,0,3,11,16,28,453,472,925,1134,1236,2373
LGA10750,3350,3047,6398,11817,10846,22668,3520,3499,7021,1820,1638,3455,17163,15987,33145,7212,7031,14243,3759,3533,7295,1420,1452,2871,12390,12022,24414,654,619,1276,494,898,1388,1012,563,1578,899,1601,2504,36,43,87,3101,3729,6826,4036,4461,8502,1204,1498,2704,649,728,1379,1201,1698,2894,44,46,94,7136,8433,15566,645,706,1347,617,1077,1698,22,28,45,1282,1808,3090,10627,9927,20552,55043,54952,109991
LGA10800,52,49,102,211,241,455,66,46,111,3,3,3,277,293,573,146,151,296,12,17,33,4,11,17,168,174,346,7,8,11,3,6,11,16,19,34,13,22,33,0,0,0,35,53,86,6,13,28,0,6,6,3,3,6,11,19,27,0,0,0,24,50,71,0,5,5,4,11,16,3,0,3,4,16,19,365,376,742,925,1012,1940
