LGA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
LGA10050,290,871,1745,1592,1066,1050,651,266,86,7614,125,204,329,316,411,311,187,73,17,1971,166,370,683,642,1090,1019,649,302,72,4990,33,61,119,122,216,240,367,178,58,1401,12,28,37,55,97,145,213,212,126,930,0,3,16,22,24,18,23,14,5,134,102,156,260,227,260,259,241,204,119,1828,728,1689,3190,2973,3169,3046,2328,1249,490,18862,389,1227,2259,2017,1397,1102,596,252,108,9352,105,142,246,292,428,391,251,113,35,1999,110,219,426,525,1018,1144,863,443,162,4908,25,45,81,93,162,251,369,232,123,1386,8,15,39,44,66,138,208,248,192,959,3,3,10,36,31,16,20,23,8,154,96,143,237,224,225,275,265,347,207,2014,732,1798,3299,3230,3333,3327,2573,1651,839,20776,675,2101,4004,3608,2457,2154,1247,521,190,16963,226,341,577,610,839,707,434,184,52,3968,279,589,1112,1165,2111,2160,1513,744,238,9899,61,108,200,214,382,490,735,412,182,2784
LGA10130,380,997,1074,878,749,730,507,212,69,5598,50,65,93,70,99,66,55,31,12,538,86,138,282,296,586,519,305,160,28,2398,29,21,64,73,108,112,163,82,29,686,8,9,28,29,61,103,165,115,46,569,0,4,6,0,3,6,8,7,0,38,98,137,144,116,165,166,144,92,42,1106,650,1368,1691,1465,1769,1713,1344,706,220,10936,481,1072,1275,1134,954,830,502,254,83,6584,36,49,90,90,118,79,59,29,15,558,60,107,179,228,544,572,417,203,94,2410,19,27,50,50,57,119,155,113,56,666,3,10,25,14,24,86,111,129,112,508,0,0,8,3,3,4,4,12,3,40,97,151,142,123,183,143,146,144,59,1200,699,1420,1761,1635,1889,1835,1398,891,428,11955,859,2069,2351,2013,1709,1564,1010,468,151,12180,82,110,181,160,215,145,113,66,31,1094,146,242,464,518,1126,1095,725,363,127,4806,50,48,115,126,168,235,317,197,83,1352
LGA10250,209,448,990,1242,1128,1210,995,402,138,6769,50,90,147,172,188,153,124,62,13,1012,106,147,382,514,951,1068,785,386,134,4472,19,25,55,75,142,172,345,184,93,1126,8,11,24,29,49,117,198,181,136,752,3,0,0,6,11,10,6,6,3,43,81,59,128,171,230,300,242,212,131,1549,481,780,1732,2210,2705,3035,2699,1432,655,15722,193,540,1232,1664,1434,1301,768,350,146,7622,40,55,141,147,198,205,129,82,18,1024,72,118,265,380,1031,1308,1105,540,234,5056,6,17,64,69,121,223,350,273,198,1320,4,3,13,14,33,87,178,212,231,793,0,4,6,3,8,10,9,3,4,45,61,48,124,170,228,271,264,299,265,1734,381,783,1845,2455,3054,3398,2804,1768,1104,17596,407,984,2227,2905,2559,2515,1759,756,280,14389,92,143,285,328,391,365,246,145,38,2033,181,269,649,896,1978,2368,1895,923,368,9527,30,40,118,136,268,398,697,463,296,2451
LGA10300,5,33,37,53,22,34,12,8,0,208,5,14,10,24,17,16,5,0,0,92,3,17,28,39,66,58,24,7,0,236,4,3,11,15,19,27,16,3,6,102,3,3,3,5,10,24,18,22,8,99,0,0,0,0,0,0,3,3,0,7,8,10,12,20,21,20,28,11,0,131,33,81,99,147,156,194,119,59,12,880,11,40,81,64,37,42,13,10,6,297,0,4,13,21,25,31,3,0,0,100,3,3,19,19,46,57,24,10,4,179,0,0,4,5,7,20,10,13,0,68,3,0,0,0,5,10,25,23,3,73,0,0,0,0,0,0,0,0,3,6,3,13,15,19,11,28,15,14,5,119,23,56,136,128,132,186,86,76,22,849,20,70,113,116,61,78,27,15,6,503,5,16,22,40,43,52,9,3,0,192,8,18,43,54,109,118,50,13,3,414,3,4,13,21,30,50,30,15,4,167
LGA10470,283,915,1360,1157,842,856,558,193,72,6246,96,116,192,187,143,103,77,38,8,949,131,228,607,622,1067,916,549,237,59,4418,29,28,83,81,156,203,295,134,30,1039,8,8,27,30,60,129,191,142,65,665,0,0,5,5,3,9,11,9,3,45,127,303,500,359,294,245,238,124,59,2260,678,1604,2763,2447,2571,2470,1917,882,293,15626,395,1086,1641,1574,1204,895,541,220,95,7658,56,84,141,157,157,99,92,38,19,847,84,162,391,440,901,1007,698,355,133,4183,28,47,68,72,150,178,229,152,95,1018,3,10,16,20,54,107,148,160,111,636,0,0,3,8,12,9,11,5,0,51,135,150,141,153,191,217,223,200,144,1547,700,1544,2399,2426,2662,2517,1946,1135,600,15936,681,2001,2999,2736,2046,1753,1103,415,168,13902,148,196,332,339,298,206,167,78,22,1795,216,398,1000,1062,1973,1927,1241,590,193,8606,59,74,151,160,307,381,528,279,124,2055
LGA10550,134,306,516,675,683,1076,908,356,105,4754,89,80,137,143,218,262,155,68,22,1170,94,150,348,416,863,989,666,276,57,3858,28,24,60,64,133,223,335,150,25,1057,3,3,29,40,78,145,229,172,71,771,0,0,3,0,3,6,5,10,3,29,61,56,99,114,217,277,267,207,88,1391,405,619,1192,1453,2199,2986,2561,1246,373,13030,143,363,793,980,1005,1231,755,309,116,5690,63,59,109,126,272,278,215,83,33,1235,95,93,223,362,791,1030,788,318,96,3790,14,22,46,40,95,236,279,162,69,966,5,3,12,27,41,114,175,182,126,686,0,0,0,4,8,0,9,5,4,24,57,36,106,122,227,281,275,239,182,1541,371,567,1287,1659,2445,3168,2504,1298,621,13927,270,664,1310,1654,1686,2310,1664,662,217,10445,146,139,241,267,489,542,366,157,52,2404,190,239,570,774,1656,2014,1452,595,154,7647,41,46,106,106,236,464,618,311,96,2020
LGA10600,43,103,240,291,292,410,313,114,23,1833,32,28,35,46,43,73,46,22,9,338,44,48,120,198,332,378,227,97,19,1452,17,6,22,32,51,86,124,86,23,455,0,3,6,18,17,41,59,61,31,245,0,0,0,3,0,0,0,0,0,10,24,21,31,49,83,81,88,67,24,467,161,201,459,630,825,1081,862,443,135,4798,50,124,320,456,488,471,288,105,37,2341,14,15,41,41,57,70,45,18,3,310,20,27,75,121,323,418,243,136,49,1415,7,4,9,17,44,83,126,72,43,408,3,0,6,3,21,39,49,68,54,237,0,0,0,0,0,0,5,0,0,13,11,14,34,54,75,84,95,75,39,486,108,188,487,696,1002,1161,857,477,229,5208,96,230,563,743,782,885,604,221,63,4171,44,44,82,88,102,147,94,45,12,643,60,72,196,321,655,792,467,236,73,2868,18,12,30,50,97,171,248,156,70,859
LGA10650,38,65,160,144,114,154,132,66,22,888,16,38,53,66,69,72,77,30,5,425,26,40,86,129,150,199,191,68,18,916,3,9,21,18,47,93,117,68,19,400,0,0,12,3,12,51,86,85,42,292,0,0,0,0,0,3,3,0,0,12,29,29,48,39,47,73,104,58,25,442,112,185,373,399,447,645,713,381,133,3375,40,91,252,234,169,171,105,66,27,1154,7,10,34,63,100,104,81,35,8,453,7,24,39,79,123,223,215,94,28,838,0,4,12,17,34,61,85,48,13,275,0,0,0,6,5,34,81,55,48,233,0,0,0,0,0,0,3,0,0,9,20,19,34,45,54,74,91,63,58,459,85,152,377,447,490,664,662,360,182,3416,75,153,409,380,284,327,236,132,47,2047,29,48,83,128,172,182,159,69,16,878,33,67,125,211,280,421,406,165,47,1748,5,18,26,40,82,152,198,120,32,677
LGA10750,3157,8292,17605,17266,10400,7533,3785,1125,267,69430,618,696,1271,1301,961,649,312,121,25,5961,936,1566,3535,4255,5997,4424,2446,937,210,24314,212,247,629,742,1145,1124,1166,472,131,5868,51,109,301,406,703,1197,1450,917,315,5456,7,46,120,156,172,235,213,165,60,1173,608,771,1771,1650,1443,1212,999,590,241,9285,5584,11727,25246,25775,20823,16386,10375,4321,1249,121497,3248,8496,20685,18246,10847,7129,3049,941,311,72957,428,528,1106,1182,1001,604,313,126,41,5324,673,1138,2798,3532,5989,5006,3139,1291,372,23925,151,181,490,643,1076,1495,1345,679,266,6330,30,66,239,364,735,1443,1731,1212,735,6550,6,28,131,228,272,355,332,334,134,1823,523,581,1465,1344,1233,1217,1217,756,424,8758,5061,11014,26916,25527,21160,17243,11122,5336,2294,125670,6403,16788,38291,35512,21246,14667,6837,2065,583,142391,1047,1227,2373,2476,1966,1258,627,243,70,11285,1605,2702,6332,7788,11986,9427,5584,2226,582,48237,364,434,1123,1378,2220,2621,2509,1151,397,12201
LGA10800,27,55,121,114,79,83,39,21,10,551,10,19,21,19,20,16,15,17,3,139,16,48,101,132,171,195,109,56,6,839,6,12,12,13,37,45,65,34,15,237,0,3,0,8,14,44,50,41,14,174,0,0,0,0,3,3,3,0,0,6,19,17,35,44,43,71,47,31,24,333,78,143,297,341,358,452,332,204,76,2278,34,79,171,185,106,84,54,23,14,752,11,9,21,24,18,19,11,10,6,133,8,21,53,78,155,183,117,80,16,712,5,5,9,10,15,41,48,37,20,189,0,0,0,5,7,32,28,33,30,131,0,0,0,0,0,0,0,0,0,0,20,13,30,36,44,51,48,57,43,353,76,121,292,340,355,405,300,242,135,2265,63,127,293,308,185,162,95,45,24,1300,20,22,40,46,31,36,28,29,12,269,27,67,161,210,326,383,228,139,23,1559,10,15,21,28,53,87,113,67,33,422
