LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,23,43,74,94,165,287,427,461,315,1891,3,3,28,54,55,37,50,40,16,287,194,296,502,456,485,535,504,550,324,3840,1459,3483,6490,6200,6494,6369,4901,2906,1330,39638
LGA10130,8,23,51,45,86,191,278,245,151,1078,0,4,13,6,9,13,14,14,3,72,195,290,283,236,346,311,294,238,105,2306,1349,2791,3459,3100,3656,3549,2750,1591,643,22890
LGA10250,15,19,36,47,88,208,382,392,368,1544,4,4,9,11,11,21,14,11,6,88,139,104,252,338,459,569,506,515,401,3287,866,1568,3578,4663,5759,6433,5497,3201,1757,33315
LGA10300,3,3,3,8,15,38,42,46,11,180,0,0,0,0,0,0,3,3,3,15,13,16,26,32,36,47,39,30,11,248,55,132,233,271,290,377,202,131,35,1728
LGA10470,10,19,45,52,110,239,342,309,176,1304,0,0,11,12,14,20,24,13,3,98,260,455,638,512,488,463,465,323,203,3806,1376,3148,5169,4871,5232,4989,3864,2016,892,31563
LGA10550,7,3,46,69,117,253,401,353,196,1454,3,0,3,5,12,6,12,12,3,56,113,94,210,238,446,556,545,453,271,2931,777,1185,2478,3113,4649,6154,5060,2547,999,26959
LGA10600,3,3,16,16,36,78,107,131,85,483,0,0,0,3,3,5,8,3,0,25,39,32,68,98,157,171,190,137,65,957,268,396,949,1319,1824,2240,1715,924,363,10006
LGA10650,0,0,15,12,16,83,167,136,92,523,0,0,0,4,0,3,7,3,0,25,49,43,81,81,101,145,194,117,81,901,193,336,747,843,936,1304,1370,739,313,6787
LGA10750,80,169,543,770,1434,2640,3181,2129,1057,12005,17,72,258,387,443,589,539,496,193,2998,1128,1357,3238,2990,2679,2425,2212,1346,662,18047,10643,22739,52161,51307,41982,33626,21498,9658,3546,247169
LGA10800,0,3,5,13,24,74,76,73,45,301,0,0,0,0,3,3,3,0,0,7,36,29,68,78,91,115,95,91,75,683,158,267,588,680,709,866,628,442,211,4549
LGA10850,4,0,8,8,29,57,90,81,45,320,0,0,0,0,0,0,0,3,0,8,31,30,52,66,101,95,93,65,22,558,181,324,707,861,1029,1009,759,427,165,5471
