LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,15,237,847,780,712,629,232,67,27,3551,0,81,573,534,539,427,132,39,10,2332,0,21,397,450,489,364,73,15,9,1811,0,4,195,293,339,252,46,10,4,1146,0,5,189,390,422,283,58,13,5,1363,3,7,56,157,190,161,64,20,11,673,312,358,559,495,514,547,525,501,338,4161,3248,3508,6498,6205,6497,6372,4907,2913,1329,41468
LGA10130,5,95,375,333,366,331,163,72,19,1756,0,31,220,200,271,196,83,37,12,1051,0,13,155,182,252,202,66,20,11,898,0,8,99,144,175,133,44,5,8,613,0,3,75,197,294,227,69,16,3,888,6,5,21,77,113,113,37,20,8,395,292,328,309,256,354,324,293,225,104,2488,2560,2793,3464,3100,3657,3552,2747,1595,649,24115
LGA10250,5,71,402,531,608,575,318,106,46,2663,0,29,276,332,381,348,130,43,15,1541,0,5,182,309,349,296,113,33,18,1312,0,0,99,239,272,244,73,19,6,966,0,4,105,272,318,273,105,35,12,1114,4,3,42,148,225,171,82,27,15,719,265,120,283,370,460,552,516,468,529,3562,2384,1571,3581,4669,5759,6434,5503,3203,1755,34860
LGA10300,0,11,22,27,33,39,12,0,3,150,0,8,14,28,13,14,0,0,0,82,0,0,11,8,12,9,6,0,0,46,0,0,4,10,10,3,0,0,0,23,0,0,3,18,12,12,0,0,0,52,0,0,3,3,3,11,0,0,0,28,29,22,31,43,33,55,36,35,13,286,135,132,233,276,290,377,202,131,35,1801
LGA10470,9,179,620,509,576,459,201,66,25,2645,6,86,427,392,432,361,110,35,5,1843,0,34,298,369,420,339,67,25,7,1565,0,20,169,358,301,241,45,13,3,1150,0,6,222,374,428,276,54,12,3,1372,3,3,57,107,141,132,42,16,5,499,385,492,672,532,526,476,436,311,201,4027,2980,3148,5171,4878,5238,4991,3862,2019,892,33181
LGA10550,9,69,296,334,498,504,257,70,35,2072,0,29,154,227,296,322,121,29,20,1199,0,14,104,158,257,227,69,23,10,851,0,7,73,114,174,148,42,12,6,582,0,5,54,125,184,155,55,12,9,602,0,3,25,35,79,101,40,12,10,307,254,105,218,250,435,524,470,388,243,2890,1792,1189,2482,3120,4648,6154,5060,2546,999,27994
LGA10600,4,12,90,131,174,180,81,17,11,701,0,14,53,93,102,100,37,10,3,404,0,5,38,59,85,73,30,4,0,303,0,0,16,61,72,76,18,3,0,246,0,0,13,59,88,50,26,8,7,254,0,0,8,17,39,24,13,3,3,110,112,33,66,97,143,173,169,120,54,976,719,396,953,1324,1824,2240,1718,924,368,10465
LGA10650,0,31,70,95,87,113,60,19,7,477,0,4,57,53,67,72,17,9,0,272,0,5,56,47,44,45,12,4,0,208,0,0,14,34,45,34,3,3,0,139,0,0,18,43,27,31,19,4,4,150,0,0,9,17,21,16,12,9,3,88,87,48,87,91,118,149,172,107,60,907,421,331,747,843,936,1304,1370,739,313,7018
LGA10750,87,1783,7426,6270,5244,3448,847,138,51,25290,28,742,4878,4701,3649,2228,425,44,13,16708,5,236,3492,4083,2960,1714,319,27,9,12848,7,81,1995,3058,2105,1215,178,18,9,8654,5,54,2192,4497,2827,1374,209,14,3,11173,22,39,481,1361,960,466,114,32,8,3481,1875,1684,3640,3354,2763,2281,1962,1148,646,19355,23289,22830,52249,51402,42063,33702,21536,9674,3553,260306
LGA10800,0,24,71,65,62,64,23,18,4,338,0,10,37,52,41,45,19,6,0,210,0,9,39,37,36,42,10,3,0,183,0,4,16,31,18,21,11,0,4,108,0,0,33,48,32,33,3,3,0,154,0,0,11,23,20,24,9,10,0,107,58,29,80,82,94,122,85,92,84,728,333,267,588,680,709,866,626,442,211,4725
LGA10850,0,32,92,97,105,76,54,17,0,475,3,6,51,64,62,60,12,6,0,264,0,3,51,68,64,63,13,0,0,269,0,3,33,52,59,37,5,3,0,194,0,3,45,69,77,42,13,0,0,244,0,0,19,28,32,14,3,4,0,101,63,42,47,81,98,89,80,60,18,573,457,324,707,861,1029,1014,759,426,165,5751
LGA10900,22,273,906,1041,1089,1075,560,119,53,5126,3,114,661,878,883,816,346,66,4,3781,0,41,546,822,957,842,214,35,6,3462,0,16,353,736,879,649,139,13,7,2790,0,15,356,1015,1221,995,199,34,11,3840,0,8,78,398,509,424,101,32,16,1570,334,196,397,550,620,708,730,557,436,4525,4769,3631,6985,9687,10982,11758,9280,4107,1630,62830
LGA10950,8,15,30,27,48,26,15,3,0,177,0,7,29,7,29,16,5,3,0,108,0,12,24,23,33,16,5,0,0,106,0,5,17,11,14,15,0,3,0,68,0,0,27,22,22,4,5,5,0,84,0,0,3,15,15,13,0,3,3,57,35,20,49,42,52,37,38,31,18,319,167,155,317,296,394,280,284,187,65,2140
LGA11100,15,323,1141,801,616,427,148,27,15,3512,3,160,897,632,461,305,73,17,3,2546,0,70,676,582,426,222,49,12,4,2037,3,24,464,510,318,147,34,8,3,1509,0,27,641,761,552,224,41,6,0,2250,9,6,156,408,279,113,17,9,0,992,233,302,747,555,435,382,312,279,175,3418,2651,3793,8770,7156,5846,4430,3269,2052,765,38732
LGA11150,0,11,45,29,43,22,12,0,0,157,0,4,37,20,17,13,4,0,0,97,0,3,30,15,19,15,6,0,0,89,0,0,22,20,14,8,0,0,0,66,0,3,20,19,16,9,5,0,0,67,0,0,5,3,5,3,8,0,0,26,34,41,67,66,96,79,51,39,15,493,121,159,369,294,401,309,209,110,40,2016
LGA11200,0,9,15,10,9,15,3,0,0,65,0,3,13,11,6,8,0,3,0,43,0,0,13,9,10,7,3,0,0,40,0,0,3,4,4,4,3,0,0,24,0,0,3,10,6,9,4,0,0,29,0,0,0,0,3,0,0,0,0,6,22,38,45,21,43,33,4,0,0,214,95,123,231,155,270,216,110,45,21,1274
LGA11250,3,81,218,181,208,193,60,25,5,975,0,43,155,111,165,147,20,3,3,657,0,22,134,103,151,99,23,0,0,542,0,18,105,113,118,105,12,3,0,477,0,4,125,143,179,133,16,7,3,605,7,6,17,42,44,41,7,10,4,182,110,110,228,193,231,258,283,248,223,1873,949,962,2114,1861,2356,2663,2049,1219,593,14767
