LGA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA10050,648,278,1329,8920,11183,5089,3577,8731,3970,41468
LGA10130,281,117,649,5229,6568,2838,2088,4978,2415,24115
LGA10250,669,458,1755,6848,9710,4820,3556,6464,3455,34860
LGA10300,17,7,35,310,405,182,198,424,277,1801
LGA10470,356,213,892,6860,8909,4097,3222,6032,4066,33181
LGA10550,406,214,999,4835,7599,4263,3382,4852,3064,27994
LGA10600,176,68,368,1780,2972,1675,1331,1690,1021,10465
LGA10650,162,76,313,1217,1601,873,768,1574,981,7018
LGA10750,2027,490,3553,55652,61499,26541,24100,73434,19077,260306
LGA10800,52,84,211,861,1068,558,568,921,754,4725
LGA10850,76,30,165,1137,1482,806,662,1047,619,5751
LGA10900,796,210,1630,13921,19407,9129,6593,9893,3892,62830
LGA10950,27,19,65,358,517,229,213,505,327,2140
LGA11100,298,186,765,9421,8989,3385,2484,11032,3417,38732
LGA11150,16,10,40,291,403,184,158,495,487,2016
LGA11200,11,3,21,219,231,131,116,395,183,1274
LGA11250,292,123,593,2330,3588,1713,1567,3911,1662,14767
LGA11300,524,113,976,7422,6656,2790,2145,10849,2155,32004
LGA11350,295,166,687,5604,7221,3452,2312,3820,3861,26265
LGA11400,158,48,306,2001,2754,1437,1269,1976,1057,10499
LGA11450,456,240,980,14479,16351,7146,5560,12189,3785,59521
LGA11500,696,473,1666,26058,29489,12966,11770,33045,9819,123148
LGA11520,1076,227,2020,18754,18878,7427,5223,18193,5250,73728
LGA11570,3934,945,7487,56442,56502,25644,24326,90256,22093,275266
LGA11600,38,10,60,406,543,228,237,495,266,2185
LGA11650,4363,2462,10278,56414,70415,33906,27056,57006,22510,267307
LGA11700,9,8,23,209,257,127,152,429,304,1485
LGA11720,521,219,1052,7842,10762,5429,5131,9954,5062,44189
LGA11730,801,282,1618,6916,10474,5882,5561,8697,4833,42364
LGA11750,40,17,78,627,849,422,400,779,546,3623
LGA11800,762,610,2070,11585,16085,7931,6131,11856,6001,59595
LGA12000,32,47,120,575,802,469,410,667,508,3431
LGA12150,57,34,105,492,659,329,319,710,611,3124
LGA12350,203,76,433,1788,2389,1354,1251,2293,1223,10296
LGA12380,1755,551,3282,33827,33504,14956,14768,60914,13745,171707
LGA12700,59,46,179,1320,1939,1038,991,1225,801,7315
LGA12730,160,60,295,1332,1825,872,717,1559,964,7276
