LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA10050,16,80,0,94,1365,156,1611,90,78,0,165,1365,168,1695,959,90,35,1088,1836,274,3194,1502,70,39,1618,1119,237,2972,869,105,24,998,1915,253,3169,153,286,5,438,2350,259,3045,26,263,0,287,1797,240,2328,0,40,0,45,1018,187,1251,0,0,0,4,375,105,490,3615,1017,114,4743,13143,1877,19759,26,145,3,172,1330,132,1635,185,153,9,348,1313,150,1810,1394,204,87,1684,1367,243,3299,1872,134,110,2119,893,222,3228,799,310,40,1153,1966,220,3329,73,655,9,739,2345,248,3327,21,466,4,488,1826,258,2573,3,62,0,64,1276,317,1659,0,10,0,11,683,151,841,4379,2142,263,6778,12987,1941,21704,36,224,3,268,2692,289,3248,278,231,13,517,2672,317,3508,2353,291,127,2772,3203,521,6498,3378,210,150,3736,2012,455,6205,1667,415,62,2151,3879,471,6497,225,938,14,1179,4693,502,6372,41,733,4,782,3622,499,4907,7,100,3,110,2290,506,2913,3,7,0,13
LGA10130,12,33,0,45,1063,149,1254,44,55,0,93,1135,142,1369,466,50,8,531,1019,146,1700,710,26,26,758,596,115,1465,482,55,14,553,1061,163,1772,100,138,3,241,1317,157,1713,18,110,0,128,1090,125,1344,6,27,0,30,582,92,705,0,0,0,3,177,39,220,1831,491,51,2380,8041,1122,11545,11,112,0,127,1045,126,1302,97,100,4,200,1074,151,1422,697,70,23,788,833,142,1761,937,64,41,1047,465,122,1635,439,147,19,604,1119,166,1889,57,304,8,368,1327,145,1840,10,179,0,191,1071,143,1400,3,43,0,51,707,136,893,0,4,0,4,357,65,426,2248,1021,101,3370,7996,1202,12567,24,150,0,171,2107,277,2560,142,154,4,293,2213,294,2793,1163,118,35,1317,1854,289,3464,1648,85,69,1801,1061,235,3100,918,200,36,1151,2176,330,3657,157,448,7,609,2639,303,3552,25,286,0,315,2160,269,2747,6,67,3,75,1292,226,1595,3,3,0,10
LGA10250,3,51,0,58,1052,140,1245,28,31,3,62,656,64,780,546,64,14,625,970,136,1732,1153,50,39,1238,811,167,2207,825,100,17,945,1546,212,2701,196,236,0,435,2337,268,3036,28,298,0,329,2146,230,2699,4,43,3,55,1176,202,1437,0,0,0,8,494,154,655,2777,878,84,3735,11193,1568,16498,15,92,0,100,920,114,1133,91,49,3,143,595,50,788,839,85,41,969,767,114,1853,1476,67,90,1637,654,169,2456,847,209,35,1088,1761,209,3060,86,621,3,717,2413,267,3398,8,467,3,478,2070,256,2805,8,58,0,63,1417,287,1773,0,7,0,13,804,288,1104,3371,1655,171,5197,11406,1752,18363,15,141,0,164,1967,257,2384,120,81,3,200,1254,114,1571,1384,147,63,1588,1737,252,3581,2628,114,122,2866,1464,337,4669,1666,313,49,2031,3310,421,5759,278,857,11,1150,4751,536,6434,38,762,3,804,4213,480,5503,9,103,3,112,2600,489,3203,3,15,0,16
LGA10300,0,3,0,3,55,18,74,7,0,0,8,62,11,81,34,3,0,39,47,11,99,75,8,0,77,50,22,147,34,4,0,35,101,22,156,10,12,0,26,141,31,194,0,8,0,8,86,21,119,0,5,0,5,34,16,59,0,0,0,0,9,0,12,154,41,3,195,577,150,922,0,6,0,6,39,12,56,9,3,0,11,30,12,56,62,10,3,77,46,15,136,70,11,3,86,30,13,130,18,19,3,38,84,16,132,5,39,0,40,121,22,186,0,16,0,13,59,15,86,0,7,0,5,54,19,76,0,0,0,0,19,4,22,176,99,12,279,478,126,879,0,9,0,7,91,31,135,11,8,0,19,95,24,132,98,9,5,113,92,26,233,143,16,5,164,75,34,276,55,18,4,74,180,30,290,15,50,0,67,264,53,377,0,21,0,24,145,34,202,0,6,0,13,83,34,131,0,0,0,0
LGA10470,6,77,0,84,1250,181,1515,73,79,0,151,1138,312,1604,797,95,23,913,1343,509,2765,1197,62,42,1308,782,361,2450,701,113,23,839,1435,300,2572,131,279,0,410,1815,251,2477,22,236,0,263,1427,224,1917,4,41,0,51,706,125,882,8,0,0,12,227,61,293,2940,981,99,4022,10124,2333,16480,21,124,3,148,1132,180,1460,172,127,11,315,1079,149,1544,1133,131,74,1334,918,142,2399,1535,88,70,1699,593,139,2430,667,285,13,963,1519,178,2665,66,604,7,678,1632,211,2517,10,360,3,379,1378,198,1951,5,67,0,71,879,192,1137,3,6,0,8,457,133,600,3614,1791,185,5596,9586,1529,16703,25,202,3,230,2377,364,2980,246,199,20,465,2217,467,3148,1925,222,101,2251,2269,654,5171,2737,156,112,3006,1375,497,4878,1367,395,43,1804,2955,482,5238,194,881,3,1084,3449,462,4991,33,594,3,636,2801,420,3862,12,107,0,117,1585,316,2019,14,9,0,21
LGA10550,12,37,0,44,730,134,915,49,22,0,68,494,63,622,410,37,11,455,634,100,1194,749,43,37,837,506,116,1459,583,86,16,690,1302,206,2201,148,219,4,369,2377,242,2988,17,209,0,226,2089,245,2561,3,34,0,38,1013,188,1243,7,3,0,5,300,64,373,1969,698,70,2735,9450,1366,13549,15,72,0,85,667,124,879,98,49,4,148,379,37,569,625,74,42,743,445,99,1287,976,79,51,1107,443,116,1660,563,192,27,777,1469,201,2450,56,463,3,521,2410,244,3174,5,324,0,331,1910,254,2504,3,41,0,45,1037,211,1298,0,3,0,3,486,134,621,2345,1293,128,3767,9244,1426,14437,24,106,0,130,1402,263,1792,150,68,6,216,870,96,1189,1031,113,53,1198,1075,203,2482,1725,121,88,1942,945,232,3120,1149,284,40,1467,2771,409,4648,201,678,11,890,4785,485,6154,22,531,0,555,4004,497,5060,7,81,0,84,2053,404,2546,7,9,0,15
LGA10600,3,16,0,14,309,69,387,13,14,0,21,161,15,201,171,35,8,214,221,30,465,319,16,23,361,217,50,627,235,42,12,289,463,74,825,66,91,3,160,837,86,1081,8,67,0,74,707,77,864,0,13,0,19,366,57,443,0,0,0,0,113,23,135,822,290,37,1153,3396,488,5030,3,37,0,39,244,49,335,32,23,3,56,116,20,188,269,20,23,312,148,34,488,439,32,31,502,154,42,696,270,79,22,375,570,61,1002,27,189,0,215,873,83,1161,3,116,0,119,655,85,857,3,21,0,21,372,85,477,0,0,0,0,194,36,233,1043,511,76,1631,3321,483,5433,8,51,0,58,554,116,719,44,34,3,73,280,34,396,436,54,26,520,371,59,953,756,50,58,860,373,94,1324,511,123,32,661,1030,134,1824,91,278,3,369,1704,165,2240,9,182,0,196,1359,159,1718,5,37,0,39,736,140,924,0,0,0,0
LGA10650,4,7,0,7,158,50,223,5,10,0,16,139,22,185,121,17,3,146,185,45,373,221,9,3,236,121,41,399,97,17,0,114,282,50,447,19,49,0,64,513,72,645,0,41,4,44,573,97,713,0,13,0,10,301,66,381,0,0,0,4,105,26,133,469,152,11,635,2377,469,3483,0,19,0,19,144,39,198,27,12,0,35,97,21,155,177,15,18,213,122,40,377,264,11,8,287,113,47,447,96,43,4,147,287,60,490,6,122,0,132,463,67,664,0,71,0,71,515,79,662,3,20,0,20,277,69,360,0,0,0,0,141,40,182,584,318,31,932,2152,444,3532,4,28,0,27,309,88,421,39,20,0,56,233,43,331,301,33,17,356,311,84,747,484,26,12,524,237,89,843,194,55,7,262,570,103,936,26,169,0,195,977,135,1304,3,111,7,113,1085,177,1370,3,28,0,32,575,130,739,0,0,0,4
LGA10750,63,532,4,605,10499,965,12066,448,453,17,923,9966,888,11776,6969,613,151,7729,15654,1894,25280,13082,402,219,13699,10362,1748,25814,5662,535,91,6290,13110,1459,20854,993,1437,39,2473,12862,1083,16412,181,1467,20,1665,7862,855,10388,33,290,3,322,3520,490,4330,14,7,0,15,1054,179,1248,27448,5729,548,33721,84889,9559,128170,156,870,10,1040,9370,817,11229,1141,826,39,2005,8414,641,11060,12085,1079,424,13584,11854,1527,26964,15345,782,523,16648,7566,1377,25591,5001,1653,195,6848,13188,1172,21208,583,3596,63,4242,11961,1081,17289,156,2248,30,2427,7721,999,11152,32,319,14,359,4332,655,5348,9,20,0,29,1996,278,2303,34503,11389,1287,47181,76410,8546,132134,223,1398,18,1636,19869,1786,23289,1590,1277,59,2921,18378,1536,22830,19048,1696,573,21314,27513,3423,52249,28419,1189,739,30351,17928,3124,51402,10666,2188,283,13136,26297,2633,42063,1585,5026,104,6716,24821,2169,33702,342,3707,47,4100,15583,1857,21536,59,607,15,687,7855,1136,9674,20,25,0,49
LGA10800,0,12,0,12,123,29,167,12,4,3,15,113,13,143,94,12,3,108,149,41,297,181,7,6,193,112,33,341,83,13,3,95,222,44,358,21,42,0,57,328,73,452,5,30,0,32,253,44,331,0,4,0,6,162,34,204,0,0,0,0,49,29,76,392,129,13,532,1497,337,2366,5,23,0,29,114,30,169,10,16,0,27,80,17,121,149,16,13,185,78,29,292,196,12,7,223,80,38,340,70,40,0,108,198,45,355,12,84,0,99,264,50,405,0,46,0,47,210,44,300,0,9,0,9,183,52,242,3,0,0,3,83,45,135,457,247,23,723,1284,353,2363,5,34,0,41,236,59,333,24,18,3,46,192,33,267,249,27,18,290,225,70,588,376,24,15,413,195,73,680,154,52,4,207,413,89,709,32,123,0,157,588,119,866,3,74,0,80,462,84,626,0,17,0,14,343,87,442,0,0,0,3
