LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA10050,..,42,999,1565,1612,1739,1378,676,189,8208,..,272,626,312,289,222,82,18,3,1824,..,14,30,104,138,85,20,11,12,423,4538,..,..,..,..,..,..,..,..,4538,..,938,..,..,..,..,..,..,..,938,..,859,280,129,96,42,3,0,0,1416,..,115,57,20,26,37,21,17,12,308,..,88,63,25,21,14,0,0,0,216,..,355,271,78,75,73,59,24,3,939,..,152,400,383,506,475,379,227,113,2626,99,145,126,90,89,49,53,38,13,691,4635,2982,2859,2707,2860,2726,2009,1013,340,22120,..,109,1264,1707,1699,1727,1233,505,80,8318,..,401,589,344,299,176,70,13,0,1903,..,99,326,550,481,182,82,74,48,1850,4322,..,..,..,..,..,..,..,..,4322,..,1007,..,..,..,..,..,..,..,1007,..,559,181,40,57,27,6,0,0,867,..,115,36,22,30,59,56,43,25,396,..,75,26,6,11,4,4,0,0,126
LGA10130,..,28,474,722,925,913,779,402,88,4319,..,154,308,169,186,137,60,13,0,1025,..,3,20,49,73,50,17,16,11,233,2406,..,..,..,..,..,..,..,..,2406,..,523,..,..,..,..,..,..,..,523,..,413,188,82,64,33,3,0,0,785,..,91,40,15,17,28,27,4,3,225,..,54,51,12,16,5,3,0,0,152,..,315,148,47,31,36,29,12,0,624,..,79,165,157,215,253,228,124,54,1272,57,123,83,55,43,58,24,28,3,468,2469,1782,1470,1312,1574,1505,1163,597,165,12032,..,54,605,819,967,944,686,283,37,4392,..,219,298,196,181,107,31,8,0,1045,..,55,181,252,241,126,60,57,32,1002,2391,..,..,..,..,..,..,..,..,2391,..,520,..,..,..,..,..,..,..,520,..,280,81,35,28,14,5,0,0,441,..,67,32,4,22,43,23,21,16,233,..,57,41,9,11,0,0,0,0,123
LGA10250,..,12,479,1047,1415,1688,1681,870,275,7467,..,99,356,358,290,243,140,36,11,1537,..,3,22,74,118,85,41,20,21,380,3376,..,..,..,..,..,..,..,..,3376,..,829,..,..,..,..,..,..,..,829,..,613,293,149,122,70,9,0,0,1260,..,87,37,26,41,44,42,24,9,310,..,56,64,41,36,22,15,3,0,236,..,74,150,72,96,90,65,20,12,584,..,40,103,182,283,426,365,245,155,1797,68,64,82,59,58,57,53,27,9,475,3441,1883,1582,2011,2465,2728,2415,1242,489,18255,..,42,663,1219,1519,1783,1482,672,138,7527,..,159,406,361,320,219,98,34,3,1593,..,46,161,400,452,190,85,94,75,1507,3012,..,..,..,..,..,..,..,..,3012,..,827,..,..,..,..,..,..,..,827,..,390,158,55,53,49,14,0,0,716,..,49,29,10,31,63,63,73,53,372,..,62,45,20,10,14,9,0,0,156
LGA10300,..,0,36,70,78,105,74,22,7,380,..,15,18,20,21,20,4,0,0,91,..,3,0,0,7,0,0,0,0,13,230,..,..,..,..,..,..,..,..,230,..,36,..,..,..,..,..,..,..,36,..,53,16,11,4,4,0,0,0,83,..,9,3,3,0,0,0,0,0,18,..,3,0,0,6,0,0,0,0,10,..,0,5,3,0,0,0,3,0,20,..,9,7,13,23,30,21,18,3,113,4,11,0,3,3,9,4,0,0,36,233,136,86,131,138,165,101,39,7,1041,..,7,55,69,80,104,49,18,0,373,..,8,23,19,18,22,0,0,0,90,..,5,13,18,11,11,4,4,3,68,206,..,..,..,..,..,..,..,..,206,..,32,..,..,..,..,..,..,..,32,..,23,6,0,3,5,0,0,0,38,..,5,0,3,0,3,3,4,0,23,..,4,0,0,0,0,0,0,0,7
LGA10470,..,31,741,1165,1334,1416,1115,510,116,6441,..,186,497,274,247,158,82,12,7,1462,..,5,35,70,103,71,20,20,6,323,3910,..,..,..,..,..,..,..,..,3910,..,836,..,..,..,..,..,..,..,836,..,673,318,126,91,32,6,0,0,1243,..,101,62,16,29,29,21,25,10,286,..,75,70,24,23,16,11,3,0,217,..,301,186,74,50,55,43,10,3,718,..,74,248,231,302,349,323,152,85,1765,69,136,112,74,57,39,39,22,3,551,3980,2421,2259,2050,2240,2169,1662,754,230,17764,..,66,932,1312,1444,1381,978,374,53,6553,..,294,471,286,258,140,52,11,0,1520,..,108,295,419,334,149,74,60,40,1489,3621,..,..,..,..,..,..,..,..,3621,..,845,..,..,..,..,..,..,..,845,..,438,141,51,41,25,5,0,0,695,..,78,18,12,22,54,61,53,29,332,..,57,22,12,6,5,3,0,0,109
LGA10550,..,14,296,666,1006,1515,1454,735,160,5842,..,122,280,263,296,316,164,40,7,1494,..,7,19,48,75,62,23,21,4,264,2472,..,..,..,..,..,..,..,..,2472,..,517,..,..,..,..,..,..,..,517,..,462,177,78,80,27,0,0,0,829,..,44,34,12,27,33,17,21,13,202,..,28,33,19,23,10,9,0,0,123,..,51,45,24,48,71,48,30,5,315,..,49,126,159,310,508,427,198,109,1884,50,76,66,43,64,74,92,31,6,493,2519,1363,1068,1313,1928,2624,2238,1069,305,14430,..,31,429,796,1171,1610,1283,499,83,5901,..,181,304,282,323,299,138,25,0,1555,..,40,161,264,283,129,55,52,43,1025,2331,..,..,..,..,..,..,..,..,2331,..,520,..,..,..,..,..,..,..,520,..,301,91,39,39,35,5,0,0,516,..,35,7,16,27,29,48,39,29,235,..,29,14,11,6,6,3,0,4,73
LGA10600,..,3,122,249,401,518,464,250,50,2052,..,33,107,122,118,140,69,21,3,603,..,0,12,35,37,35,10,15,8,143,1005,..,..,..,..,..,..,..,..,1005,..,247,..,..,..,..,..,..,..,247,..,172,87,57,32,26,3,0,0,376,..,24,11,12,6,10,8,6,7,87,..,10,19,7,14,17,5,3,0,77,..,9,28,19,27,52,34,7,0,175,..,13,24,57,101,169,155,82,31,629,20,28,22,23,19,24,19,8,4,163,1023,541,421,574,752,980,761,396,100,5556,..,12,167,302,456,523,411,179,17,2071,..,39,117,133,138,135,50,16,3,636,..,20,59,135,154,63,32,26,19,520,1026,..,..,..,..,..,..,..,..,1026,..,241,..,..,..,..,..,..,..,241,..,108,42,14,19,15,5,0,0,203,..,10,0,5,12,20,13,23,22,103,..,11,12,11,10,8,0,3,0,50
LGA10650,..,3,121,217,218,321,380,196,49,1501,..,31,60,45,47,49,30,8,0,271,..,3,5,17,21,18,0,0,4,60,658,..,..,..,..,..,..,..,..,658,..,116,..,..,..,..,..,..,..,116,..,126,37,25,21,11,0,0,0,219,..,15,3,3,3,14,7,3,6,45,..,12,7,0,5,6,0,0,0,25,..,20,17,8,7,14,20,4,0,88,..,19,46,47,69,125,138,74,34,541,11,15,11,13,12,8,17,11,6,100,668,352,317,360,399,554,591,296,95,3632,..,10,147,246,251,353,328,153,18,1508,..,41,65,46,46,47,19,5,0,273,..,16,43,61,58,20,7,11,5,220,639,..,..,..,..,..,..,..,..,639,..,128,..,..,..,..,..,..,..,128,..,63,17,18,8,3,0,0,0,113,..,11,0,0,3,10,10,9,7,42,..,4,7,3,0,0,0,0,0,16
LGA10750,..,341,10183,17256,13488,10997,7150,2718,515,62643,..,659,2332,1691,1324,676,252,50,8,6990,..,52,218,500,771,567,332,170,82,2684,37436,..,..,..,..,..,..,..,..,37436,..,10197,..,..,..,..,..,..,..,10197,..,7773,5970,1856,928,326,40,3,0,16892,..,1532,1391,462,482,520,380,230,82,5075,..,662,905,442,315,184,87,32,9,2633,..,702,1056,481,514,433,250,58,17,3520,..,240,980,1159,1445,1550,1091,609,222,7308,422,516,628,431,301,202,148,70,26,2745,37859,22682,23668,24273,19570,15459,9720,3936,960,158125,..,907,14241,17165,13120,10103,5627,1631,241,63032,..,953,2488,1659,1249,597,157,29,5,7137,..,697,2200,3203,3331,1943,1019,611,285,13286,35312,..,..,..,..,..,..,..,..,35312,..,10302,..,..,..,..,..,..,..,10302,..,5776,3890,867,459,214,57,3,0,11267,..,1153,807,275,504,1126,1109,782,350,6099,..,511,502,188,148,111,41,20,10,1539
LGA10800,..,3,87,195,193,241,193,106,37,1046,..,21,53,27,27,24,13,3,0,169,..,0,5,15,22,7,7,5,4,63,546,..,..,..,..,..,..,..,..,546,..,74,..,..,..,..,..,..,..,74,..,90,32,17,20,14,0,0,0,175,..,23,4,3,4,3,4,4,3,43,..,7,8,0,0,3,0,0,0,22,..,10,4,3,3,6,3,5,0,34,..,26,42,32,56,81,58,50,12,353,4,13,12,4,10,3,8,3,0,66,550,261,253,303,323,384,282,171,59,2587,..,12,123,196,214,233,159,98,15,1046,..,42,52,35,24,15,4,4,0,178,..,5,36,46,33,12,7,4,11,170,564,..,..,..,..,..,..,..,..,564,..,82,..,..,..,..,..,..,..,82,..,54,12,3,3,7,0,0,0,76,..,9,3,0,3,6,4,4,3,33,..,4,0,0,3,0,0,0,0,18
