LGA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
LGA10050,1434,24,4,0,0,0,0,171,1635,1390,170,61,18,0,0,4,165,1810,899,321,217,54,17,7,3,141,1657,490,341,445,174,48,15,8,122,1644,292,228,532,279,115,26,24,105,1593,198,199,587,355,123,41,32,103,1638,259,168,600,385,128,38,18,106,1697,189,184,576,384,136,48,22,98,1634,190,155,565,480,171,44,17,127,1739,158,148,504,417,160,53,28,127,1585,120,115,480,380,154,49,33,90,1418,115,87,323,301,138,56,32,106,1154,59,48,199,233,154,54,62,120,924,48,47,128,160,114,57,74,106,734,52,62,170,160,127,57,65,138,841,5884,2306,5385,3778,1575,543,423,1820,21704
LGA10130,1133,10,3,0,0,0,0,152,1302,1115,76,38,17,0,0,0,170,1422,489,152,121,55,14,5,0,92,931,268,162,188,100,25,7,10,66,830,137,124,210,139,55,19,25,48,759,119,95,269,197,75,32,26,64,876,103,104,286,197,85,26,23,76,894,115,86,313,233,101,39,20,86,991,123,99,325,234,105,35,16,90,1018,106,70,255,211,90,28,16,50,819,68,61,252,192,86,19,18,63,752,68,55,175,160,77,38,19,63,650,42,30,114,132,80,35,44,49,526,28,19,54,87,60,36,37,44,362,21,43,77,92,64,25,47,51,426,3935,1195,2668,2060,919,344,289,1160,12567
LGA10250,983,8,3,0,0,0,0,136,1133,605,67,38,4,3,0,0,67,788,431,165,98,45,9,0,0,56,809,320,226,269,119,31,6,3,64,1040,193,196,383,170,44,7,4,73,1074,181,194,525,271,86,25,19,80,1381,216,174,562,299,125,32,16,104,1526,207,185,536,347,112,27,17,110,1534,210,174,583,408,156,41,12,116,1705,184,157,579,436,163,27,19,126,1692,158,134,560,392,172,31,19,108,1574,104,97,396,305,148,42,37,102,1227,83,45,259,267,159,54,22,118,1000,52,49,161,185,117,37,61,98,768,83,74,225,218,152,52,64,236,1104,4009,1957,5172,3464,1472,394,284,1600,18363
LGA10300,45,3,0,0,0,0,0,12,56,31,3,4,3,0,0,0,12,56,31,12,11,7,0,0,0,7,64,12,12,12,15,6,3,0,7,65,3,8,15,15,11,0,0,9,56,8,0,16,23,9,3,5,7,71,3,8,18,15,8,5,0,0,56,0,7,21,27,8,3,0,7,77,4,9,25,25,6,5,7,8,92,10,3,28,19,17,0,0,7,93,4,3,14,15,13,3,4,3,60,0,0,11,7,3,0,0,4,29,0,0,3,9,15,5,3,8,47,0,3,0,7,4,4,7,4,31,7,0,0,5,0,4,3,4,22,159,73,176,202,100,30,32,103,879
LGA10470,1221,17,0,0,0,0,0,217,1460,1119,137,77,19,0,4,0,180,1544,597,249,198,68,24,6,9,77,1235,305,228,326,153,64,13,11,66,1166,174,143,405,240,87,22,20,70,1146,141,156,455,292,108,38,30,69,1286,147,139,477,310,120,34,33,90,1351,165,150,424,284,131,41,29,88,1317,164,140,411,332,139,42,26,101,1356,106,101,411,274,126,34,19,93,1167,101,92,380,270,126,33,20,96,1117,80,59,240,222,100,40,23,62,832,61,47,145,135,91,44,33,65,612,49,30,103,119,83,33,36,77,529,40,40,128,101,79,37,44,124,600,4477,1723,4176,2834,1279,420,324,1473,16703
LGA10550,717,16,0,0,0,0,0,147,879,404,83,32,10,0,0,0,53,569,262,118,97,31,15,0,4,43,569,156,145,214,91,38,16,5,60,718,107,104,264,141,56,23,10,54,755,108,115,335,174,75,23,13,59,900,151,142,383,217,101,27,16,85,1128,202,158,435,254,110,38,14,114,1319,269,192,509,332,152,33,18,115,1613,222,178,521,334,122,36,23,126,1560,169,128,530,313,143,37,23,108,1441,106,81,352,255,112,39,29,88,1062,51,36,193,209,117,37,34,90,771,33,33,113,124,87,44,31,64,528,39,55,108,131,100,35,36,112,621,2991,1584,4078,2606,1208,391,260,1316,14437
LGA10600,274,3,0,0,0,0,0,53,335,135,25,9,3,0,0,0,13,188,91,43,53,14,3,0,0,15,236,64,42,80,32,18,0,3,14,258,46,46,106,59,13,3,5,18,299,41,53,152,72,35,10,5,25,396,52,53,173,94,47,13,9,37,479,93,52,157,114,43,10,15,30,521,101,70,174,131,74,17,6,40,604,87,68,174,123,55,8,9,32,560,79,48,161,93,38,16,8,32,477,40,33,105,85,45,23,8,40,373,12,26,69,62,65,10,8,20,280,15,17,48,48,30,18,9,24,201,13,15,45,58,40,17,17,23,233,1156,606,1512,983,507,148,100,422,5433
LGA10650,158,0,0,0,0,0,0,42,198,97,20,10,3,0,0,0,22,155,93,40,21,16,4,0,0,19,189,31,36,65,26,5,3,0,16,180,26,21,64,52,23,8,6,17,214,25,28,64,62,17,8,0,24,224,22,21,79,55,17,7,4,24,235,23,24,70,65,32,7,0,31,258,21,21,97,89,51,14,5,27,323,31,19,96,96,38,20,6,36,341,21,27,116,84,51,9,8,27,354,16,18,81,80,59,13,11,34,306,12,13,56,57,40,17,13,21,219,7,14,12,29,40,13,14,14,144,8,16,22,39,29,20,16,32,182,604,305,842,762,401,140,91,390,3532
LGA10750,9684,149,25,8,0,0,3,1362,11229,8571,992,393,100,20,5,3,979,11060,6744,2518,1473,524,172,49,29,884,12403,3736,3795,4056,1389,472,158,103,843,14560,1818,2498,5101,2114,745,268,237,715,13506,1343,1664,4585,2351,931,324,275,605,12091,1159,1506,4095,2134,913,365,265,576,11012,1078,1242,3746,2129,890,289,255,561,10196,915,1155,3174,2081,907,315,239,539,9310,661,827,2740,1902,820,327,218,479,7974,473,603,2234,1633,824,268,221,459,6723,286,353,1312,1050,615,236,204,371,4426,162,250,768,720,450,231,268,261,3101,114,168,484,467,319,202,266,217,2240,160,226,440,379,300,210,333,258,2303,36901,17950,34641,18976,8390,3243,2919,9104,132134
LGA10800,132,3,0,0,0,0,0,28,169,89,7,7,0,0,0,0,12,121,55,20,27,13,10,0,0,9,136,22,23,41,32,11,8,0,18,156,22,15,33,45,21,6,0,15,167,16,14,46,44,21,4,7,17,176,12,15,42,48,18,10,9,23,175,17,8,42,53,24,15,3,24,175,11,13,57,66,35,8,5,29,227,18,16,48,38,39,6,6,14,184,15,6,59,39,18,15,8,23,183,10,4,28,29,20,8,3,17,118,8,3,18,44,33,6,11,18,143,4,7,11,18,22,12,4,21,102,14,3,12,17,15,7,21,45,135,453,164,461,485,287,111,74,317,2363
