LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA10050,272,234,102,76,81,43,23,822,113,120,78,36,67,21,3,430,113,101,61,48,54,9,3,380,1930,1762,1025,676,871,238,65,6563,7,3,9,8,3,0,0,28,2439,2216,1266,836,1076,300,86,8227,20,20,9,17,14,10,3,88,47,37,39,30,16,3,3,172,17,17,23,8,13,0,6,88,454,636,393,257,322,65,18,2151,17,23,18,15,6,0,0,76,553,733,484,331,370,81,32,2577,2985,2952,1752,1164,1441,378,123,10806
LGA10130,172,155,76,47,67,20,0,529,65,81,46,16,41,5,4,248,73,58,39,23,32,6,4,240,892,954,583,383,464,95,15,3389,5,7,10,3,3,0,0,26,1208,1249,749,474,601,133,27,4434,12,16,10,16,11,6,0,68,18,15,19,19,18,3,3,97,9,13,10,6,14,4,0,58,251,316,210,141,176,28,10,1138,17,19,3,4,3,0,0,50,303,376,256,186,221,44,17,1401,1520,1627,1000,655,826,178,36,5843
LGA10250,88,110,76,50,56,9,5,397,121,155,80,59,69,9,7,504,208,152,63,46,52,12,9,544,1209,1337,724,513,751,181,42,4759,6,12,5,4,3,0,0,33,1635,1776,943,665,937,217,65,6232,3,10,12,16,11,4,0,56,30,54,39,30,30,13,6,204,18,31,17,17,20,8,4,117,200,380,247,211,256,60,12,1376,9,16,8,9,11,0,0,55,256,493,324,284,336,92,23,1809,1898,2264,1273,952,1269,308,79,8046
LGA10300,0,3,3,3,0,0,0,17,8,0,0,0,0,0,0,8,10,13,3,0,0,0,0,22,95,127,66,35,48,6,3,372,0,0,0,0,0,0,0,0,114,139,71,40,49,4,3,421,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,22,18,12,9,6,0,0,71,0,0,0,0,0,0,0,3,22,18,21,15,11,0,0,82,136,159,88,52,62,4,3,502
LGA10470,95,108,61,47,70,25,7,408,89,87,64,37,45,12,6,344,96,110,56,50,55,16,6,391,1570,1705,984,613,806,163,58,5894,11,9,5,3,0,0,0,26,1855,2021,1179,747,974,217,73,7064,8,10,10,9,13,3,0,54,19,36,11,18,29,8,4,116,13,17,19,14,17,4,0,84,435,518,329,214,263,69,15,1838,28,22,11,3,6,0,0,67,498,605,379,257,323,79,17,2161,2346,2627,1555,1003,1302,297,92,9222
LGA10550,32,41,32,21,32,7,0,164,58,83,47,45,49,4,0,279,96,86,42,29,33,6,0,297,909,1089,652,421,526,74,15,3690,8,10,9,3,4,0,0,33,1109,1314,776,514,648,87,14,4466,5,7,12,4,6,3,0,38,7,22,18,26,24,0,0,97,13,11,17,14,15,7,0,70,196,343,205,157,184,36,7,1120,14,10,6,4,7,0,0,40,230,397,262,207,235,41,7,1372,1335,1710,1039,718,887,130,23,5838
LGA10600,17,24,16,10,22,3,0,97,47,61,36,13,23,4,0,185,44,37,26,7,18,4,0,147,338,417,212,161,210,39,3,1380,3,5,3,3,0,0,0,13,447,547,292,198,279,44,9,1819,0,3,5,5,14,0,0,27,5,25,22,14,25,3,3,91,3,12,12,5,11,0,0,45,96,145,113,65,82,8,6,511,7,8,3,4,3,0,0,25,114,190,146,89,132,16,10,695,565,734,438,284,414,65,18,2519
LGA10650,16,22,8,4,4,0,0,56,15,10,11,3,4,0,0,40,18,8,12,4,3,0,0,44,297,330,177,111,144,18,7,1084,0,0,0,0,0,0,0,3,345,373,202,117,160,20,7,1230,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,22,0,0,0,0,4,0,0,8,54,74,56,31,48,4,0,266,3,3,0,5,3,0,0,16,70,88,58,31,50,4,0,310,418,466,264,151,214,30,9,1540
LGA10750,11415,11435,5791,3614,5350,3519,1766,42894,1726,1527,813,453,590,231,90,5428,1536,1338,584,366,483,205,101,4617,6700,6170,3323,2101,2656,892,336,22181,131,148,60,43,35,14,8,448,21511,20619,10581,6579,9117,4860,2307,75571,730,1133,746,571,886,533,340,4938,480,571,308,227,298,88,37,2008,213,280,163,140,190,82,30,1098,2248,2525,1558,1011,1192,335,121,8985,175,187,118,61,72,13,8,645,3854,4706,2897,2013,2640,1047,528,17674,25366,25329,13474,8586,11753,5909,2832,93246
LGA10800,14,13,13,3,0,0,0,43,12,4,3,3,0,0,0,24,3,7,0,5,9,0,0,19,249,318,165,82,94,10,3,912,0,3,5,0,0,0,0,9,278,346,183,89,104,14,3,1009,0,0,3,0,0,0,0,6,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,44,79,51,20,28,7,0,226,0,0,0,6,0,0,0,8,48,81,58,30,30,7,0,252,323,428,237,121,136,17,0,1263
LGA10850,0,8,4,4,0,0,0,17,6,24,9,3,8,0,0,53,18,21,10,5,5,0,0,52,328,346,205,144,174,33,5,1244,0,7,3,5,0,0,0,10,358,400,230,154,191,36,5,1377,4,0,0,0,0,0,0,3,5,5,4,0,5,0,0,16,3,0,3,0,0,0,0,4,54,89,49,41,54,3,0,283,0,3,0,0,4,0,0,9,62,95,54,44,57,5,0,320,423,496,290,197,253,41,5,1701
LGA10900,163,251,150,106,152,56,44,918,400,511,285,187,263,85,42,1770,329,408,223,131,200,86,31,1406,2601,2718,1607,997,1342,491,222,9971,14,22,4,3,9,0,0,54,3501,3909,2266,1425,1963,721,338,14115,12,36,43,26,56,9,5,187,55,107,77,60,94,26,21,439,34,62,73,41,56,14,12,295,365,555,377,254,371,108,49,2079,16,21,9,3,11,0,0,59,479,777,580,389,582,154,88,3061,3984,4688,2848,1812,2546,875,433,17182
LGA10950,4,8,3,0,0,0,0,17,0,4,0,0,0,0,0,8,7,6,5,0,0,0,0,12,113,103,70,29,49,8,0,375,5,3,3,0,0,0,0,8,126,116,79,29,53,10,0,421,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,19,7,8,4,0,100,3,3,0,0,0,0,0,7,39,35,19,7,7,4,0,111,169,153,99,38,63,9,0,536
LGA11100,1118,926,478,251,403,293,171,3640,239,256,126,70,95,41,16,839,263,208,101,64,85,28,13,762,809,744,422,231,256,118,56,2635,17,15,3,8,3,0,0,51,2456,2141,1128,629,840,480,260,7936,67,98,73,55,87,72,39,495,33,56,38,47,39,6,10,233,29,29,23,26,26,13,9,154,129,160,112,65,97,31,19,607,7,10,11,3,8,3,0,39,265,354,255,198,262,128,70,1525,2717,2498,1384,823,1105,608,326,9458
LGA11150,4,0,0,0,0,0,0,5,8,7,0,0,0,0,0,11,8,3,0,0,0,0,0,8,118,116,51,25,31,0,0,334,0,0,0,0,0,0,0,0,129,123,55,25,29,0,0,364,0,0,3,0,0,0,0,7,0,4,3,3,0,0,0,7,0,0,0,0,0,0,0,0,34,44,31,17,12,0,0,139,7,6,3,0,0,0,0,15,44,58,37,21,11,0,0,166,172,180,98,40,41,0,0,530
LGA11200,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,3,48,65,37,14,13,3,0,180,0,0,0,0,0,0,0,0,54,68,37,13,13,5,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,32,15,14,3,0,174,3,4,0,0,0,0,0,7,56,64,27,15,14,3,0,185,108,131,73,29,29,5,0,372
LGA11250,26,28,8,3,4,3,0,68,11,11,4,6,4,0,0,44,29,25,14,5,9,0,0,77,488,549,307,196,230,36,7,1807,3,3,3,3,3,0,0,12,558,619,333,213,255,38,7,2016,0,0,0,0,0,0,0,3,12,14,5,4,0,0,0,36,0,0,0,0,0,0,0,11,279,283,178,138,163,20,3,1055,20,16,4,8,4,0,0,52,312,316,189,148,171,23,0,1163,866,934,521,358,425,62,7,3170
LGA11300,823,650,319,232,386,342,170,2919,123,151,89,46,84,55,21,575,122,124,78,35,61,27,23,466,309,395,252,153,174,125,73,1474,7,0,0,4,0,0,0,13,1385,1316,736,469,702,550,289,5456,82,88,69,80,115,113,53,606,10,24,16,16,14,6,4,89,11,22,14,13,15,7,4,93,37,47,37,20,40,22,15,230,5,4,0,0,0,0,0,22,156,190,145,135,190,148,79,1042,1542,1511,883,602,890,705,364,6495
LGA11350,131,151,77,52,71,12,0,490,174,189,114,63,56,8,0,601,158,173,94,39,51,8,4,532,670,741,440,249,352,73,26,2552,16,16,4,3,6,4,0,50,1149,1264,729,414,534,105,32,4230,12,39,26,18,33,7,0,140,45,77,62,26,55,16,0,288,20,33,29,27,34,11,0,160,119,198,153,121,164,35,5,807,17,10,10,6,3,0,0,46,215,365,285,203,292,74,7,1445,1368,1628,1016,623,827,175,42,5671
LGA11400,12,16,14,4,9,0,0,68,15,31,23,15,17,3,0,96,25,49,12,12,13,4,0,121,604,729,428,272,366,59,12,2474,0,5,0,0,0,0,0,6,663,828,485,309,401,65,14,2767,0,0,0,4,0,0,0,6,7,6,6,4,3,0,0,17,3,3,11,0,4,0,0,24,90,123,95,54,59,8,0,427,5,4,3,0,0,0,0,14,105,136,108,60,64,15,0,487,771,959,590,363,466,82,18,3255
LGA11450,757,753,410,286,391,240,116,2955,523,498,295,193,221,73,33,1841,437,413,196,125,139,38,22,1364,3835,3438,1878,1171,1339,501,209,12366,28,20,12,11,9,6,0,90,5583,5126,2782,1788,2099,857,382,18619,48,73,46,31,73,37,25,331,66,90,77,64,68,34,19,412,41,50,39,22,47,12,9,221,433,651,424,269,339,113,41,2270,20,20,9,9,7,3,0,61,609,885,588,401,533,196,95,3298,6189,6010,3372,2193,2624,1052,474,21918
LGA11500,3660,3703,1896,1304,1771,1129,601,14060,776,692,427,236,307,111,55,2607,664,575,299,194,257,87,51,2132,3411,3079,1678,1025,1267,472,248,11184,45,78,45,43,17,8,3,238,8558,8123,4345,2797,3618,1810,958,30217,308,430,325,263,354,211,128,2015,271,331,200,146,186,49,24,1215,154,182,125,99,99,38,22,709,1470,1736,977,603,737,154,79,5757,130,120,56,34,21,7,0,375,2326,2804,1678,1142,1396,459,263,10073,10885,10928,6024,3939,5016,2273,1222,40286
LGA11520,1859,1133,517,317,432,347,188,4789,557,454,268,131,164,109,55,1737,558,479,207,131,164,79,44,1658,1816,1911,1011,586,751,475,237,6784,22,6,9,3,3,0,0,49,4811,3975,2013,1173,1510,1011,523,15018,101,160,105,102,144,123,84,819,33,84,62,42,51,36,23,338,30,65,40,29,36,33,19,256,126,235,147,90,161,81,34,873,5,17,10,3,4,0,0,40,296,565,364,262,402,268,166,2322,5105,4541,2380,1435,1913,1282,690,17339
