LGA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA10050,4485,363,223,43,4,3,29,5160
LGA10130,2343,172,107,30,4,7,27,2680
LGA10250,3579,275,161,36,5,3,31,4083
LGA10300,210,9,11,0,0,0,4,236
LGA10470,3662,322,239,36,5,8,31,4308
LGA10550,2409,249,155,35,6,5,41,2892
LGA10600,992,98,62,12,3,0,4,1171
LGA10650,630,40,36,6,0,0,10,722
LGA10750,43800,2408,1615,974,81,43,198,49127
LGA10800,491,27,27,3,0,0,6,558
LGA10850,685,66,36,13,0,0,9,805
LGA10900,7947,688,377,77,11,0,49,9148
LGA10950,220,19,19,0,0,0,3,269
LGA11100,5137,257,157,77,0,4,24,5657
LGA11150,188,12,6,9,0,0,7,216
LGA11200,84,4,3,4,0,0,11,114
LGA11250,1211,122,108,12,8,0,14,1484
LGA11300,3734,150,60,60,3,3,11,4024
LGA11350,2532,185,104,24,0,0,22,2862
LGA11400,1385,97,83,11,0,0,14,1593
LGA11450,10231,773,551,117,17,16,51,11745
LGA11500,17600,1252,909,424,48,25,137,20390
LGA11520,10062,443,141,58,4,0,30,10740
LGA11570,42382,1855,1086,777,62,24,148,46332
LGA11600,263,12,7,3,0,0,3,281
LGA11650,30757,2925,1875,389,66,36,263,36311
LGA11700,118,14,4,0,0,0,4,141
LGA11720,4790,506,366,98,18,13,79,5869
LGA11730,3595,325,272,87,9,5,46,4348
LGA11750,379,33,42,4,0,0,3,460
LGA11800,6050,575,343,103,8,6,57,7141
LGA12000,387,31,21,3,0,0,11,449
LGA12150,243,15,15,7,0,3,9,291
LGA12350,987,92,52,18,3,0,16,1163
LGA12380,26695,1027,577,492,33,27,86,28943
LGA12700,864,52,59,18,5,0,13,1007
LGA12730,694,50,34,9,0,0,7,797
LGA12750,2330,257,147,34,8,3,26,2807
LGA12850,23732,1119,656,622,52,26,113,26313
