LGA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA10050,1534,7329,6990,2035,884,18771,728,19495
LGA10130,766,3817,3527,1163,615,9886,391,10276
LGA10250,898,6052,6167,1695,782,15589,629,16220
LGA10300,66,220,290,122,72,767,38,807
LGA10470,917,4734,5223,1924,1076,13874,539,14411
LGA10550,577,4872,4986,1540,613,12590,632,13222
LGA10600,222,1905,1823,542,250,4747,226,4970
LGA10650,150,1196,1123,395,203,3069,188,3265
LGA10750,7098,32797,38390,12844,6308,97437,3669,101107
LGA10800,100,687,760,336,181,2065,115,2185
LGA10850,93,746,978,428,257,2502,154,2656
LGA10900,1846,10651,10423,3235,1730,27882,752,28630
LGA10950,78,303,331,128,74,919,55,967
LGA11100,2505,7001,4690,1119,450,15772,651,16421
LGA11150,100,307,245,72,47,765,68,831
LGA11200,126,189,106,49,37,508,41,553
LGA11250,690,2936,2260,630,255,6770,416,7184
LGA11300,2487,4848,2928,802,426,11488,468,11957
LGA11350,411,4114,4407,1281,614,10833,540,11368
LGA11400,163,1134,1797,826,564,4479,211,4686
LGA11450,554,5370,10860,4087,2602,23481,604,24084
LGA11500,3808,17761,17309,6018,3336,48233,1749,49981
LGA11520,3246,13847,10566,2454,1135,31250,855,32102
LGA11570,12183,40067,33847,11358,6050,103513,4256,107772
LGA11600,41,277,341,165,104,924,56,986
LGA11650,8388,44315,42414,13703,7415,116232,4810,121048
LGA11700,97,218,119,52,64,551,53,605
LGA11720,1002,6329,7133,2584,1463,18518,853,19368
LGA11730,1131,7488,6889,2194,1022,18724,881,19605
LGA11750,108,530,614,214,91,1558,85,1640
LGA11800,1643,10188,9812,2862,1395,25910,1134,27042
LGA12000,48,436,511,251,156,1408,82,1491
LGA12150,131,461,414,177,98,1282,85,1370
LGA12350,307,1672,1715,548,349,4597,222,4823
