LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA10050,15634,39601,2907,4658,416,675,3324,5334,293,447,52,82,29,35,3,4,376,570,24,39,41,66,0,0,25,60,96,169,68,136,19495,45803,2489,..,21984,45803
LGA10130,8689,22010,771,1404,144,240,910,1637,486,805,46,89,0,3,0,3,540,901,17,30,19,32,3,11,11,22,51,96,84,185,10276,24824,1588,..,11862,24824
LGA10250,11223,29084,2129,3930,1486,2824,3612,6757,579,1033,158,264,55,91,7,16,798,1399,165,252,285,423,3,3,27,55,483,732,105,225,16220,38194,1549,..,17770,38194
LGA10300,734,1907,15,23,3,3,22,24,34,52,0,0,0,0,0,0,34,52,14,20,0,0,0,0,7,10,19,32,3,7,807,2024,248,..,1059,2024
LGA10470,12166,32367,1137,1974,327,583,1460,2559,581,910,11,10,3,13,0,0,590,931,19,38,3,9,6,7,21,36,41,90,155,218,14411,36159,2029,..,16443,36159
LGA10550,10934,25770,834,1296,499,845,1336,2140,526,802,21,41,0,4,0,6,553,850,62,98,122,180,40,67,46,83,270,430,131,262,13222,29451,3048,..,16270,29451
LGA10600,4466,10684,184,339,53,112,233,449,125,175,11,14,0,0,0,0,136,192,53,86,26,42,3,3,3,12,90,139,47,114,4970,11567,669,..,5636,11567
LGA10650,2904,6728,107,139,0,0,107,139,118,164,3,4,0,0,0,0,126,170,30,45,50,82,0,4,40,81,120,211,6,24,3265,7265,643,..,3911,7265
LGA10750,78774,257809,6231,18356,10055,32142,16286,50499,1563,3226,687,1503,2951,7729,45,104,5247,12567,30,58,195,299,67,163,161,488,452,999,346,905,101107,322782,5099,..,106205,322782
LGA10800,2066,4970,9,12,0,0,9,12,56,67,0,0,0,0,0,0,56,67,3,5,0,0,0,0,10,24,13,26,36,82,2185,5159,453,..,2636,5159
