LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10050,250,14,0,0,0,262,141,19,4,0,0,167,121,17,0,0,0,141,283,43,0,0,0,332,467,59,3,0,3,529,1398,81,3,0,0,1481,1315,44,3,0,3,1363,1113,16,0,0,0,1129,304,8,0,0,0,315,218,6,0,3,0,220,100,0,0,0,0,107,229,10,0,0,0,246,5935,325,20,7,12,6289
LGA10130,166,0,0,0,0,167,78,0,0,0,0,77,75,0,0,0,0,74,137,7,0,3,0,145,198,6,3,0,0,215,583,16,4,0,3,602,521,14,0,0,0,535,393,4,0,0,4,398,135,0,0,0,0,136,122,3,0,0,0,123,83,0,0,0,0,80,106,0,0,0,0,112,2588,53,16,3,13,2669
LGA10250,210,49,8,0,0,264,98,22,4,0,0,125,69,19,0,0,0,90,117,24,7,3,0,151,186,37,11,0,0,237,485,124,24,5,0,641,587,115,22,0,4,729,850,103,7,0,4,967,382,44,10,0,3,431,270,26,4,0,0,305,158,15,3,0,0,173,152,21,3,0,3,177,3557,594,104,11,24,4293
LGA10300,18,0,0,0,0,13,14,0,0,0,0,14,15,0,0,0,0,19,26,0,0,0,0,26,29,0,0,0,0,29,47,0,0,0,0,50,17,0,0,0,0,17,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,14,0,0,0,0,14,191,0,0,0,0,198
LGA10470,185,13,0,0,0,200,85,6,0,0,0,90,81,3,3,0,0,88,169,14,3,0,0,183,250,19,5,3,0,272,806,41,11,3,0,859,961,41,4,0,0,1012,1084,22,4,0,3,1113,459,5,3,0,0,465,260,0,0,0,0,264,125,3,0,0,0,129,169,5,7,0,0,177,4632,165,38,4,7,4854
LGA10550,223,12,0,0,8,243,115,19,0,0,0,136,92,9,4,0,0,111,209,12,6,0,0,229,290,17,3,3,5,322,682,37,17,9,8,749,657,18,9,6,5,688,561,9,0,3,9,578,185,0,0,0,0,192,128,4,0,0,0,142,63,0,0,0,3,69,167,8,3,0,0,172,3363,142,58,28,38,3631
LGA10600,89,0,0,0,0,92,52,3,3,0,0,58,33,0,0,0,0,39,76,0,0,0,0,76,86,0,0,0,0,93,245,3,3,0,0,250,254,5,0,0,0,260,207,4,0,0,8,223,67,3,0,0,0,73,61,0,0,0,0,61,21,0,0,0,0,21,68,0,0,0,0,70,1262,29,5,0,9,1311
LGA10650,75,0,0,0,0,75,42,0,0,4,0,46,38,0,0,0,0,42,81,0,3,0,0,82,86,3,0,0,0,94,177,0,0,0,0,180,117,0,0,0,0,117,95,0,0,0,0,100,16,0,0,0,0,15,21,0,0,0,0,25,28,0,0,0,0,29,53,0,0,0,0,57,831,9,3,8,4,857
LGA10750,1322,245,39,0,5,1611,483,83,14,0,0,579,407,67,11,0,0,483,723,119,23,0,0,870,1031,186,34,3,5,1254,3366,625,158,4,10,4163,4613,1030,236,15,8,5897,8524,1876,222,17,19,10657,5581,1162,74,4,23,6841,5072,876,30,9,10,6004,1981,363,24,3,3,2372,1404,249,29,3,3,1684,34500,6868,897,64,83,42411
LGA10800,48,0,0,0,0,54,36,0,0,0,0,36,39,0,0,0,0,39,50,0,0,0,0,50,80,0,0,0,0,83,112,0,0,3,0,114,52,0,0,0,0,53,51,0,0,0,0,55,16,0,0,0,0,16,10,0,0,0,0,10,16,0,0,0,3,14,41,0,0,0,0,39,554,0,0,3,10,565
