LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA10050,65,40,36,5,4,0,146,25,6,10,3,4,0,47,55,28,17,8,7,0,122,36,27,14,7,8,0,93,81,56,36,28,18,0,221,126,136,64,29,33,7,387,137,202,68,37,25,5,480,189,290,86,58,40,3,677,157,281,71,28,24,0,572,168,300,89,22,18,7,605,90,211,43,16,9,0,372,138,258,73,11,12,0,495,39,101,25,3,6,0,169,18,34,18,3,0,0,72,58,113,32,4,5,0,214,54,108,39,4,3,0,203,11,29,8,0,0,0,52,7,20,7,0,0,0,41,59,90,29,11,7,0,200,1516,2331,769,296,234,32,5171
LGA10130,47,22,18,3,3,0,95,13,8,5,5,0,0,31,20,21,7,3,4,0,58,23,9,4,3,3,0,50,43,28,24,16,9,0,123,52,60,24,10,13,0,164,75,98,36,16,12,3,238,74,109,31,22,19,0,260,76,101,29,13,13,5,235,44,130,41,14,13,0,235,33,66,17,11,3,0,124,55,87,27,4,9,3,178,11,32,9,3,0,0,59,8,15,7,0,0,0,30,26,49,22,3,3,0,97,30,70,15,5,4,0,121,10,16,6,3,0,0,36,10,25,6,3,0,0,44,28,35,15,7,7,0,96,670,980,337,151,120,16,2271
LGA10250,61,32,23,4,11,7,132,28,7,12,4,0,0,56,54,19,16,0,9,0,100,31,10,18,0,5,0,65,32,25,24,9,14,0,111,68,48,48,17,13,3,189,71,72,52,15,18,3,234,90,80,56,30,23,0,287,85,94,33,30,17,0,262,85,140,59,28,17,0,335,62,123,42,19,17,0,261,133,203,56,17,22,3,438,32,107,23,15,5,0,178,21,65,10,0,7,0,97,82,159,43,16,9,0,302,80,157,33,12,7,0,286,27,50,17,3,0,0,95,11,30,14,3,0,0,68,54,48,27,4,14,0,146,1108,1477,586,234,219,20,3645
LGA10300,7,3,0,0,0,0,10,0,0,0,0,0,0,0,3,4,4,3,0,0,13,5,6,3,0,5,0,16,7,9,0,0,0,0,19,9,12,3,0,0,0,27,10,11,3,0,0,0,23,3,8,3,0,0,0,18,0,6,0,0,0,0,7,0,11,0,0,0,0,12,3,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,3,3,7,0,0,0,0,12,51,76,24,10,7,3,176
LGA10470,66,28,24,3,4,0,125,12,3,7,0,3,0,27,31,14,22,7,4,3,77,21,18,16,4,6,0,57,52,28,35,13,5,0,138,64,71,39,19,24,0,219,96,106,50,30,25,3,309,107,150,63,31,31,3,396,108,205,45,22,19,3,405,120,237,60,42,22,0,480,85,179,46,14,11,3,338,119,258,71,27,18,0,495,35,111,19,7,0,0,182,26,71,9,3,4,0,121,66,191,58,13,8,0,331,55,148,44,5,5,0,257,22,43,15,0,3,0,80,11,19,4,0,0,0,36,31,65,23,6,5,0,142,1123,1939,653,262,211,25,4211
LGA10550,71,14,8,4,5,3,100,34,10,7,4,12,0,64,52,19,7,5,8,0,100,41,21,18,3,10,0,83,74,48,20,14,10,0,168,102,68,50,12,24,3,251,95,106,39,18,17,0,278,107,130,41,20,18,0,326,94,135,36,8,14,0,298,85,141,40,25,14,0,301,60,89,29,10,4,0,193,78,114,29,5,8,0,235,33,47,6,0,4,0,93,16,20,9,0,0,0,53,37,63,20,3,3,0,123,45,61,18,3,3,0,129,15,15,3,0,0,0,32,7,7,7,0,0,0,27,57,38,23,3,7,0,136,1101,1141,425,150,160,7,2993
LGA10600,15,5,4,0,8,0,35,7,3,0,0,0,0,12,12,9,8,7,9,0,41,9,3,0,3,3,0,22,22,12,7,6,7,0,59,28,20,4,11,6,0,78,25,27,14,7,12,0,81,35,46,21,15,10,0,131,20,51,12,10,6,0,107,35,56,15,9,6,0,114,15,28,9,7,4,3,68,25,50,19,6,4,0,104,5,15,0,6,3,0,28,3,15,5,0,0,0,19,15,23,13,0,0,0,46,15,23,14,3,4,0,53,4,0,0,0,0,0,3,10,3,0,0,0,0,17,24,14,8,7,8,0,57,328,402,147,93,94,6,1080
LGA10650,20,18,11,3,0,0,48,4,0,0,0,0,0,4,17,3,4,0,0,0,29,17,6,4,3,0,0,30,33,13,9,4,8,0,68,18,28,8,5,3,3,72,31,29,11,4,5,0,76,21,35,6,4,4,0,72,18,28,8,3,0,0,50,15,27,12,6,0,0,54,9,24,3,3,0,0,41,12,18,8,0,3,0,46,3,7,0,0,0,0,13,0,3,0,0,0,0,4,5,0,0,0,0,0,10,4,12,3,0,0,0,24,3,6,3,0,0,0,10,4,8,0,0,3,0,10,20,13,7,0,0,0,41,251,278,96,40,35,4,702
LGA10750,311,435,276,61,95,25,1205,74,75,77,9,19,5,259,125,155,152,27,54,12,508,89,123,123,20,56,6,415,179,226,212,41,96,11,771,267,356,290,72,142,19,1141,332,591,415,89,171,14,1608,381,912,492,152,195,21,2144,436,1125,505,144,177,23,2416,553,1564,625,177,193,22,3124,480,1371,461,136,139,16,2604,970,2780,1024,248,280,49,5355,483,1497,424,89,90,13,2605,456,1391,349,83,70,5,2354,931,2578,795,154,133,34,4623,1250,3515,1129,149,146,36,6221,325,856,332,34,45,8,1594,176,475,179,17,31,0,873,322,741,369,77,125,25,1659,8131,20744,8226,1784,2258,340,41488
LGA10800,12,14,5,0,0,0,33,0,0,0,0,0,0,7,15,3,0,7,9,0,27,15,14,3,0,0,0,33,14,9,9,3,0,0,42,16,30,4,7,3,0,56,20,20,3,0,3,0,50,9,20,12,3,4,0,46,4,17,3,3,0,0,29,6,13,0,0,0,0,20,4,10,0,0,0,0,8,9,21,3,0,0,0,35,0,3,5,0,0,0,9,0,4,0,0,0,0,7,0,3,0,0,0,0,4,4,7,3,0,0,0,14,3,3,3,0,0,0,9,0,0,0,0,0,0,7,13,15,4,0,0,0,31,146,206,57,30,21,0,465
