LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA10050,15,28,61,3,6,32,153,18,34,16,23,9,0,96,303,284,99,26,14,3,725,885,134,160,35,19,7,1242,484,61,148,11,17,6,725,986,79,210,10,26,0,1306,1057,23,174,4,18,5,1286,621,0,74,3,6,4,709,88,0,23,0,0,0,112,12,0,3,0,0,0,12,7,0,4,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,6,75,42,37,12,19,7,189,4546,695,1002,133,135,64,6575
LGA10130,6,22,66,10,61,65,228,9,27,10,9,8,0,61,72,132,60,7,12,3,285,196,140,104,43,16,5,504,236,52,81,20,9,4,402,448,54,104,11,9,3,634,598,35,117,10,8,3,774,488,6,82,0,5,4,580,84,7,14,0,3,0,105,12,0,6,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,10,25,20,26,6,20,4,100,2179,495,673,115,147,94,3704
LGA10250,0,12,50,7,9,64,144,0,13,3,12,0,0,33,22,251,40,48,19,3,387,27,86,47,21,32,3,219,52,48,74,11,29,0,208,182,44,109,6,47,4,392,620,40,223,9,9,6,904,907,17,257,8,16,4,1206,492,5,108,0,3,3,604,174,0,33,0,6,0,217,57,0,12,0,3,0,68,13,0,7,0,3,0,23,3,0,0,0,0,0,3,5,0,3,0,0,0,13,34,30,33,14,9,3,122,2587,559,1005,129,184,91,4547
LGA10300,0,4,18,7,20,8,55,0,0,0,3,5,0,5,7,12,8,5,6,0,38,18,8,23,3,8,0,58,6,3,21,0,5,0,37,7,0,13,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,0,19,48,28,96,13,56,7,239
LGA10470,10,20,63,13,21,50,176,0,27,6,7,3,0,49,48,178,57,15,13,8,320,206,109,90,6,7,4,429,177,61,112,3,8,3,367,533,43,143,5,7,6,731,900,54,213,21,20,4,1209,741,12,101,17,5,3,884,79,0,7,0,0,0,96,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,44,30,33,17,10,5,138,2759,537,836,107,94,84,4420
LGA10550,6,8,85,0,34,70,204,0,19,5,6,8,0,40,19,107,90,35,17,4,272,136,63,115,9,18,4,348,158,28,123,13,15,3,335,331,29,137,10,12,7,523,473,34,166,3,16,0,692,337,7,71,0,8,4,428,28,0,12,0,0,0,36,8,0,4,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,7,20,13,40,4,12,4,95,1515,311,853,81,138,103,2999
LGA10600,0,3,43,3,9,33,88,0,4,4,0,3,0,12,6,48,25,4,17,0,96,33,12,51,4,9,3,110,23,3,44,4,3,0,83,88,5,79,3,7,0,184,169,7,101,3,10,6,295,163,3,81,0,5,0,257,32,0,14,0,0,0,47,8,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,5,13,4,3,0,39,535,86,464,26,68,43,1222
LGA10650,0,0,30,3,33,26,96,14,3,9,7,14,0,45,35,9,58,9,19,4,127,102,5,76,0,12,0,194,55,3,39,3,5,0,106,72,0,28,0,4,0,113,42,0,10,0,0,0,60,12,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,13,0,16,3,37,334,17,278,27,106,32,795
LGA10750,31,360,267,28,27,181,893,3,293,6,26,0,7,333,25,2160,75,55,32,9,2350,77,1449,133,69,35,16,1781,139,636,154,47,15,14,1004,361,683,281,47,84,9,1476,2573,1013,749,56,87,27,4506,8678,516,1482,59,197,46,10975,4199,64,590,14,67,18,4951,1922,4,196,0,9,4,2144,724,8,65,3,3,5,815,103,6,8,6,3,0,127,24,3,3,3,0,0,35,33,3,10,0,0,0,50,308,447,223,56,50,44,1117,19197,7650,4258,461,618,378,32561
LGA10800,0,0,55,8,31,39,136,0,0,7,0,8,0,15,10,7,31,0,11,0,66,35,10,39,0,7,0,94,15,0,23,0,5,0,42,42,3,20,0,16,0,75,15,0,7,0,9,0,27,5,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,7,3,23,122,28,181,15,98,44,492
