LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA10050,12898,2196,244,63,48,15447,2374,989,107,30,18,3509,366,139,30,3,4,539,15634,3324,376,96,68,19495
LGA10130,6978,651,355,41,69,8102,1501,222,157,9,7,1898,204,34,24,3,8,270,8689,910,540,51,84,10276
LGA10250,9511,2577,608,260,64,13019,1436,879,175,188,17,2701,276,150,17,35,22,495,11223,3612,798,483,105,16220
LGA10300,512,6,14,5,3,542,200,9,13,5,0,227,30,4,0,0,0,32,734,22,34,19,3,807
LGA10470,9996,969,355,35,59,11413,1899,442,213,12,41,2601,268,49,21,0,51,394,12166,1460,590,41,155,14411
LGA10550,8831,895,352,163,102,10346,1790,379,180,87,17,2452,313,56,23,21,7,424,10934,1336,553,270,131,13222
LGA10600,3615,154,72,42,34,3921,737,65,56,39,5,911,106,13,8,9,5,140,4466,233,136,90,47,4970
LGA10650,2202,52,64,72,4,2387,602,46,53,40,3,746,103,5,11,9,4,129,2904,107,126,120,6,3265
LGA10750,67361,13983,3896,276,230,85734,9235,1880,1130,115,43,12404,2180,428,229,58,66,2966,78774,16286,5247,452,346,101107
LGA10800,1459,4,20,10,25,1519,520,3,29,4,3,561,88,0,3,0,7,104,2066,9,56,13,36,2185
LGA10850,1927,18,26,22,4,2000,497,11,25,5,0,544,82,0,3,3,26,113,2507,34,58,27,29,2656
LGA10900,23621,964,376,39,69,25085,2404,395,177,4,20,2997,453,39,33,5,20,547,26482,1404,582,53,109,28630
LGA10950,597,23,20,6,7,646,260,9,6,3,0,278,28,0,0,3,0,41,883,33,28,14,9,967
LGA11100,4459,1755,7093,101,49,13454,869,347,1193,10,16,2442,155,69,287,8,12,520,5483,2175,8571,118,76,16421
LGA11150,468,12,16,17,13,519,239,5,14,6,0,264,38,0,3,3,3,47,746,16,34,25,14,831
LGA11200,282,0,16,3,0,304,190,3,22,0,0,215,28,0,3,3,0,39,503,5,36,8,4,553
