LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA10050,4562,4831,1880,130,11394,3664,575,15634,431,241,272,23,967,1780,159,2907,69,26,37,3,132,245,34,416,504,262,309,27,1098,2031,196,3324,28,24,21,8,80,196,23,293,11,11,0,0,18,38,0,52,7,0,0,0,4,16,0,29,0,0,0,0,0,0,0,3,44,34,22,8,106,249,26,376,4,3,3,0,7,18,0,24,9,4,0,0,19,27,0,41,0,0,0,0,0,0,0,0,3,3,9,0,17,5,0,25,20,7,7,0,45,46,4,96,18,9,7,0,26,31,3,68,5143,5142,2222,163,12674,6020,801,19495
LGA10130,2548,2505,1080,99,6231,2096,361,8689,124,94,71,8,296,408,61,771,18,8,12,6,44,88,12,144,141,99,84,12,338,496,73,910,69,35,33,9,141,314,36,486,8,3,0,0,16,29,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,40,33,11,156,342,37,540,4,0,7,0,11,4,0,17,3,5,0,0,5,8,0,19,3,0,0,0,3,0,0,3,4,0,0,0,5,5,0,11,15,4,3,0,28,22,0,51,24,19,7,0,48,37,0,84,2807,2669,1207,121,6803,2983,482,10276
LGA10250,3928,3490,1185,98,8704,2182,342,11223,469,246,285,11,1021,1036,67,2129,362,209,193,8,766,633,78,1486,831,460,478,23,1788,1675,148,3612,114,51,95,11,269,280,26,579,44,6,24,0,68,73,11,158,24,0,0,0,23,25,5,55,0,0,0,0,3,7,0,7,179,58,121,10,366,385,46,798,26,4,10,4,44,124,0,165,73,8,20,0,105,172,7,285,0,0,0,0,0,3,0,3,4,5,3,0,15,7,3,27,102,16,33,8,158,312,16,483,18,29,8,0,54,43,4,105,5057,4052,1822,139,11067,4594,555,16220
LGA10300,226,228,70,9,542,177,16,734,0,0,0,0,3,12,0,15,3,0,0,0,3,0,0,3,3,0,0,0,5,12,0,22,6,4,3,0,11,24,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,11,24,0,34,3,0,0,0,6,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,5,0,0,0,6,6,0,19,3,0,0,0,5,0,0,3,241,234,82,9,563,224,16,807
LGA10470,3433,4100,1493,105,9133,2607,424,12166,195,92,144,13,452,600,81,1137,36,22,59,4,125,174,25,327,234,115,202,19,573,775,111,1460,75,41,40,10,168,360,52,581,0,0,0,0,4,4,0,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,78,42,40,10,176,363,52,590,3,3,5,0,11,6,0,19,0,0,0,0,4,0,0,3,3,0,0,0,3,3,0,6,6,3,0,0,11,8,0,21,11,9,9,0,26,17,0,41,13,11,6,0,29,124,3,155,3777,4269,1749,132,9934,3884,592,14411
LGA10550,4093,2728,1072,67,7962,2727,250,10934,193,38,56,4,295,505,30,834,149,38,59,3,244,242,14,499,346,74,117,13,546,744,45,1336,90,30,47,3,170,333,19,526,11,3,0,0,10,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,30,47,3,186,348,20,553,12,5,0,0,16,43,0,62,34,6,9,0,43,72,5,122,6,6,5,0,14,22,3,40,17,4,4,0,28,19,0,46,64,24,12,0,101,161,6,270,51,15,10,0,84,40,4,131,4661,2871,1257,81,8873,4018,323,13222
LGA10600,1449,1085,592,27,3155,1159,151,4466,34,26,22,0,77,96,10,184,15,13,7,0,30,20,0,53,48,39,24,0,110,111,10,233,13,5,13,3,41,87,0,125,3,0,0,0,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,13,3,41,93,0,136,10,3,0,0,13,38,0,53,8,0,5,0,12,18,0,26,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,20,3,4,0,29,57,4,90,13,9,8,0,28,11,3,47,1552,1146,640,27,3370,1440,163,4970
LGA10650,1016,701,260,18,1988,850,69,2904,20,0,3,0,29,76,6,107,0,0,0,0,0,0,0,0,20,0,3,0,29,76,6,107,19,3,10,0,29,80,6,118,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,10,0,29,84,6,126,6,0,0,0,8,20,4,30,9,3,7,0,18,26,3,50,0,0,0,0,0,0,0,0,16,13,0,0,29,15,0,40,33,11,8,0,54,58,6,120,0,4,0,0,4,3,0,6,1087,717,279,16,2103,1075,84,3265
LGA10750,15109,38402,11764,1127,66400,10579,1796,78774,1172,2802,805,70,4844,1251,137,6231,1588,4971,1622,145,8326,1512,221,10055,2760,7770,2428,218,13176,2759,354,16286,218,341,151,21,726,803,33,1563,129,163,87,18,399,249,33,687,747,1059,314,63,2184,646,117,2951,8,9,3,0,23,26,3,45,1109,1575,554,100,3336,1726,186,5247,10,3,4,0,18,14,0,30,38,10,28,0,71,122,3,195,6,13,11,0,35,33,0,67,31,64,26,5,124,31,6,161,78,94,65,5,248,194,14,452,57,124,41,3,218,102,21,346,19122,47955,14840,1458,83375,15362,2369,101107
LGA10800,667,550,218,20,1449,587,25,2066,4,0,0,0,4,6,0,9,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,9,0,3,3,0,5,54,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,54,0,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,7,4,0,10,7,0,3,0,10,7,0,13,12,9,3,0,20,16,0,36,686,559,225,20,1486,664,25,2185
