LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA10050,69,0,0,0,72,10,0,83,1646,167,36,11,1864,18,5,22,1885,112,5,2005,2952,304,42,21,3321,45,8,51,3375,94,3,3463,275,45,42,0,360,0,0,0,363,4,0,365,40,3,0,15,63,0,0,0,63,3,0,59,4907,520,123,56,5599,63,13,80,5678,209,7,5894,32,10,0,0,41,7,0,7,47,3,0,53,92,16,0,0,112,5,4,9,121,6,0,127,119,26,0,0,150,12,4,14,163,8,0,173,5030,543,122,57,5753,72,22,91,5844,215,7,6072,1133,197,27,23,1381,63,12,75,1456,288,8,1753,0,0,0,4,3,0,0,0,3,0,29,39,6163,748,146,84,7140,137,32,167,7309,509,46,7856
LGA10130,23,0,0,0,23,3,0,27,954,138,10,6,1105,20,7,26,1129,73,0,1205,1297,182,15,10,1504,12,0,10,1517,57,0,1576,91,19,26,0,134,3,0,3,139,9,0,143,22,0,0,6,27,0,0,0,27,4,0,38,2366,336,52,26,2774,38,8,40,2818,141,0,2962,9,7,0,0,17,13,0,13,30,5,0,39,27,6,0,14,44,7,0,7,52,7,0,52,36,14,0,14,57,16,0,16,79,16,0,91,2398,344,52,41,2837,57,8,61,2899,154,0,3056,668,125,10,25,822,28,9,36,861,272,0,1136,12,0,0,0,12,0,0,0,12,0,9,23,3074,473,66,60,3668,84,17,100,3767,424,12,4213
LGA10250,48,5,0,5,52,7,0,58,1229,215,22,18,1482,24,8,36,1515,60,0,1571,2002,416,38,12,2470,31,8,43,2511,102,4,2619,136,23,24,3,181,0,0,0,179,11,0,192,20,4,0,36,56,0,0,0,61,3,0,61,3379,658,78,76,4188,57,21,76,4268,178,3,4443,23,8,0,0,36,5,0,5,34,3,0,38,54,28,3,0,87,11,4,8,99,0,0,101,83,35,3,0,121,12,4,12,132,5,0,139,3462,691,81,76,4313,69,22,90,4403,181,3,4584,826,184,31,28,1071,54,3,58,1130,167,6,1302,6,0,0,0,8,0,0,0,8,0,16,20,4294,879,117,97,5394,118,29,143,5539,350,28,5914
LGA10300,3,0,0,0,3,0,0,3,79,6,0,5,86,0,0,0,92,0,0,92,139,10,0,0,153,0,0,0,153,0,0,157,19,0,0,0,19,0,0,0,19,0,0,19,0,0,0,0,4,0,0,0,4,0,0,4,238,16,0,4,266,0,0,0,262,0,0,264,3,0,0,0,3,3,0,3,6,0,0,6,5,0,0,0,5,0,0,0,5,0,0,3,7,0,0,0,7,3,0,3,8,0,0,10,245,16,0,4,267,4,0,4,275,7,0,274,94,12,0,0,104,3,0,3,114,6,0,114,5,3,0,0,11,0,0,0,11,0,0,8,346,29,0,7,381,11,0,11,390,10,0,405
LGA10470,57,0,0,0,58,4,0,66,1785,161,29,15,1989,22,4,30,2022,106,3,2126,2235,217,40,18,2515,17,5,22,2535,66,0,2607,242,13,37,3,291,3,0,3,296,12,0,306,38,8,4,24,65,3,0,3,68,0,0,71,4307,396,104,60,4864,48,10,55,4920,188,3,5113,36,0,0,0,33,8,0,8,43,3,0,42,72,6,0,0,83,3,3,7,86,9,0,94,101,5,0,0,113,12,3,9,126,9,0,137,4408,400,105,65,4982,59,13,68,5050,199,3,5247,935,137,27,30,1125,63,11,67,1192,241,10,1440,0,0,0,3,7,0,0,0,7,0,13,14,5344,537,132,91,6106,118,21,139,6241,438,20,6702
LGA10550,10,0,0,0,10,3,0,15,814,181,16,4,1014,12,3,20,1033,61,0,1091,1308,302,41,12,1663,22,5,30,1690,93,0,1780,109,20,32,0,152,0,0,0,152,4,0,159,19,0,3,20,42,0,0,0,42,0,4,42,2247,496,87,36,2870,36,12,45,2915,158,6,3075,18,9,0,0,18,6,3,8,35,5,0,38,37,7,3,4,54,8,0,8,53,0,0,53,55,10,3,4,75,11,3,15,91,5,0,95,2300,508,88,43,2944,47,16,59,3001,162,6,3170,605,142,27,6,782,26,12,34,816,186,3,1009,11,0,0,0,17,0,0,0,17,0,14,32,2911,654,120,53,3739,70,28,98,3834,353,26,4210
LGA10600,0,0,0,0,0,3,0,9,276,69,7,4,357,0,0,0,357,33,0,384,440,185,9,9,643,10,0,12,655,52,3,712,34,3,8,0,40,3,4,3,47,0,0,50,14,0,0,7,20,0,0,0,20,0,0,20,762,265,17,16,1056,12,3,14,1077,88,3,1168,8,3,0,0,14,4,0,7,22,0,0,22,22,4,0,0,29,0,0,0,25,0,0,25,33,6,0,0,38,4,3,6,48,0,0,48,791,270,17,16,1101,16,7,25,1124,88,3,1213,240,94,9,3,355,21,4,24,378,94,4,485,6,0,0,0,6,0,0,0,6,0,5,7,1038,367,29,20,1455,44,7,54,1508,184,17,1702
LGA10650,7,0,0,0,7,0,0,7,255,13,11,0,280,0,0,0,279,23,3,307,469,33,13,0,520,7,0,7,523,18,3,540,36,4,9,0,48,0,0,0,48,0,0,48,5,0,0,0,5,0,0,0,5,6,0,12,761,54,29,3,851,7,0,9,862,46,3,911,3,0,0,0,7,5,0,5,10,3,0,15,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,5,0,5,15,3,0,21,772,54,35,8,863,10,0,11,880,46,3,930,176,18,3,11,200,6,0,6,209,33,0,246,0,0,0,0,0,0,0,0,0,3,0,3,951,68,33,10,1068,21,0,20,1086,86,4,1177
LGA10750,1780,52,19,67,1850,341,12,2204,19650,1758,172,188,21774,474,102,576,22353,1051,27,23430,16117,2059,205,194,18577,281,77,359,18938,634,13,19589,1613,187,209,30,2042,28,3,35,2075,57,6,2133,368,57,10,333,768,22,3,29,795,61,38,896,37756,4063,594,751,43160,810,191,998,44163,1803,79,46043,858,170,18,26,1071,145,13,159,1232,108,4,1338,1264,207,3,26,1497,116,40,152,1649,107,3,1757,2122,381,21,48,2570,259,52,314,2886,211,3,3095,39876,4442,619,796,45736,1070,240,1311,47044,2012,90,49143,15610,2767,276,513,19169,689,167,854,20025,3673,89,23780,114,20,0,102,232,0,4,9,242,38,243,517,55601,7233,890,1414,65134,1761,415,2170,67306,5719,418,73441
LGA10800,3,0,0,0,3,0,0,3,208,28,0,0,237,0,0,0,237,0,3,242,354,39,7,4,409,0,0,0,408,16,0,422,27,0,4,4,32,0,0,0,32,7,0,36,8,0,0,21,31,0,0,0,31,0,0,31,593,71,10,33,709,0,0,0,709,20,3,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,8,593,70,10,33,710,0,0,0,712,22,3,735,143,24,0,3,171,10,10,24,189,27,0,218,0,0,0,3,3,0,0,0,3,0,0,3,735,95,11,40,884,16,6,23,906,53,3,959
