LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA10050,122,206,116,80,108,29,6,666,10,20,8,3,3,0,0,52,4,3,3,5,4,0,0,24,189,355,270,199,260,59,25,1356,14,38,19,16,21,4,0,118,25,45,20,10,9,0,0,105,34,88,38,31,29,4,0,225,223,442,309,227,286,60,25,1578,316,287,168,94,78,14,15,980,7,3,7,6,0,0,0,23,553,733,484,331,370,81,32,2577
LGA10130,49,96,64,56,78,4,0,351,9,0,4,3,11,3,0,24,4,0,3,0,0,0,0,9,93,160,148,122,170,31,6,738,10,16,17,13,11,3,0,59,16,25,13,0,4,0,0,56,23,47,28,9,14,3,0,123,118,204,168,134,188,36,11,862,183,169,76,45,39,5,3,521,5,9,3,3,0,0,0,18,303,376,256,186,221,44,17,1401
LGA10250,78,179,112,85,113,25,3,602,10,6,3,5,7,0,0,34,3,0,3,0,7,4,0,16,115,296,208,201,263,71,14,1155,3,14,8,11,10,3,0,47,12,27,15,18,9,4,0,80,11,33,22,26,18,9,0,127,127,332,225,230,283,78,14,1278,136,156,100,53,50,17,11,517,0,6,3,0,0,0,0,9,256,493,324,284,336,92,23,1809
LGA10300,3,4,8,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,9,6,0,0,46,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,4,4,8,16,8,11,0,0,54,13,8,6,0,4,0,0,32,0,0,0,0,0,0,0,0,22,18,21,15,11,0,0,82
LGA10470,107,173,112,74,86,23,9,572,16,12,4,0,3,0,0,39,0,3,3,3,6,0,0,16,179,337,236,165,224,67,17,1219,12,34,9,11,5,3,0,71,16,41,21,13,18,0,0,103,24,71,33,22,21,3,0,176,211,406,263,183,241,72,17,1392,278,196,114,66,78,12,0,751,9,3,4,0,0,0,0,19,498,605,379,257,323,79,17,2161
LGA10550,44,157,98,76,79,11,0,464,3,6,3,0,5,0,0,19,5,0,0,0,0,0,0,10,76,227,154,139,166,22,6,789,5,9,5,6,12,7,0,38,11,26,9,7,3,0,0,52,20,30,11,14,13,7,0,91,94,264,170,148,180,29,6,884,133,133,93,59,52,13,0,486,0,3,0,0,3,0,0,7,230,397,262,207,235,41,7,1372
LGA10600,23,62,44,32,47,7,3,226,0,4,0,0,3,0,0,8,0,3,4,0,3,0,0,10,36,95,83,58,90,15,5,381,6,9,3,4,6,0,0,19,7,15,10,3,4,0,0,34,9,17,20,7,9,0,0,58,46,111,99,61,102,15,5,446,69,70,40,20,29,3,3,244,3,3,3,3,0,0,0,12,114,190,146,89,132,16,10,695
LGA10650,20,24,15,12,10,0,0,82,0,0,4,0,0,0,0,7,0,0,3,0,0,0,0,3,29,35,37,20,32,0,0,165,3,3,0,0,0,0,0,5,5,7,0,3,0,0,0,15,7,5,0,3,0,0,0,23,34,46,44,23,36,3,0,184,36,46,15,7,17,3,0,119,0,0,3,0,0,0,0,3,70,88,58,31,50,4,0,310
LGA10750,517,908,625,389,560,207,85,3291,82,63,30,22,34,16,10,254,24,45,37,21,33,10,3,177,1121,2046,1449,1028,1648,717,345,8353,85,180,94,85,109,36,16,612,147,251,133,95,104,26,16,770,233,429,233,187,212,61,32,1383,1347,2471,1680,1212,1863,780,379,9735,2434,2165,1181,770,765,257,146,7720,69,66,30,24,18,11,3,220,3854,4706,2897,2013,2640,1047,528,17674
LGA10800,11,17,8,6,5,0,0,54,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,6,13,45,34,16,26,6,0,139,3,3,3,0,0,0,0,10,0,3,3,0,0,0,0,9,3,5,5,0,0,0,0,12,17,46,36,20,23,6,0,151,33,33,18,7,11,0,0,96,0,4,0,0,0,0,0,4,48,81,58,30,30,7,0,252
