LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA10050,278,223,192,82,25,3,1047,8,149,168,198,205,98,9,0,843,248,1250,1176,803,686,387,116,33,4703,181,700,637,721,680,402,173,43,3530,1042,1761,1543,1492,1309,729,346,116,8334,140,152,100,116,82,36,10,4,644,75,97,132,167,196,141,58,22,888,1260,2007,1771,1772,1583,912,416,143,9869,20,27,35,57,55,55,40,12,309,600,540,486,523,617,616,602,286,4254,2326,4904,4552,4302,4027,2545,1375,520,24558
LGA10130,375,363,350,237,86,26,1741,7,83,99,136,157,66,17,3,571,254,810,649,565,511,330,129,43,3285,92,242,286,388,351,241,103,30,1729,540,711,559,660,540,301,140,29,3482,118,39,38,44,52,20,14,5,327,62,48,54,113,99,81,34,11,507,721,796,651,821,690,400,185,44,4317,18,35,10,20,31,44,16,16,187,578,303,246,385,349,356,275,136,2631,1671,2568,2328,2677,2442,1663,821,297,14466
LGA10250,201,248,263,173,49,10,1071,10,61,145,164,224,104,32,3,741,103,722,1066,980,958,592,232,83,4734,86,354,551,678,766,563,251,81,3324,435,943,1101,1271,1287,835,372,135,6380,79,54,47,73,86,65,13,8,430,55,63,106,186,214,214,80,22,938,571,1062,1258,1533,1585,1117,471,167,7753,10,21,29,48,72,92,41,22,332,353,295,382,506,607,605,579,481,3804,1139,2639,3623,4155,4470,3241,1652,850,21764
LGA10300,3,4,3,0,0,0,21,0,4,3,3,4,0,0,0,13,6,29,24,12,13,6,0,3,94,5,19,17,13,17,4,0,0,80,30,58,44,42,53,23,9,3,250,4,6,3,3,4,0,0,0,26,3,0,8,7,4,0,0,0,19,39,61,50,52,59,25,10,3,300,0,0,0,0,3,0,3,0,11,42,32,35,41,58,40,30,9,288,97,146,136,130,167,72,46,15,807
LGA10470,195,185,220,133,36,10,951,13,95,121,157,143,106,18,3,645,224,917,841,704,590,326,114,35,3759,138,388,492,573,551,339,127,57,2672,746,1393,1213,1242,997,604,237,73,6508,123,107,95,84,71,29,13,3,526,69,84,119,166,177,145,54,17,818,941,1586,1431,1493,1239,779,299,87,7856,19,30,27,44,48,49,20,18,250,839,665,539,539,527,526,393,229,4259,2171,3845,3644,3691,3331,2262,1011,435,20390
LGA10550,85,138,181,150,34,9,651,7,41,79,104,217,105,30,9,598,59,298,490,586,728,544,183,63,2947,43,181,299,469,663,466,162,51,2331,372,750,799,1116,1279,777,324,78,5493,72,68,71,72,89,48,12,5,437,36,57,88,122,201,157,60,17,730,477,876,966,1310,1567,981,392,100,6669,10,16,19,34,59,54,29,10,238,375,228,274,497,629,633,531,298,3460,972,1694,2215,3139,4038,2930,1356,535,16884
LGA10600,41,77,89,70,17,3,314,0,13,27,56,67,52,3,3,228,30,151,300,311,343,194,56,22,1405,19,83,146,227,271,151,66,20,975,113,260,293,402,473,261,136,32,1970,27,27,25,11,27,17,12,0,153,12,16,30,53,74,55,19,8,271,147,306,359,469,579,339,162,36,2401,5,3,8,11,16,17,8,0,74,130,72,102,163,198,209,182,70,1123,336,636,986,1310,1558,1039,499,153,6517
LGA10650,8,12,14,4,0,0,53,0,12,13,20,13,10,0,0,67,13,121,104,65,95,61,26,10,494,24,83,69,84,100,67,36,11,460,111,231,240,225,271,181,87,19,1355,11,11,21,10,13,12,0,0,82,6,17,19,21,28,28,13,5,133,127,256,275,257,315,216,102,20,1565,3,3,3,3,5,12,9,6,51,132,88,104,110,170,220,148,91,1068,291,560,580,549,712,600,326,136,3756
LGA10750,5071,2137,1273,495,99,27,14020,85,704,988,601,403,172,32,0,2983,3045,12314,11183,6672,4496,2027,458,113,40305,2068,6110,5817,4481,2865,1173,360,101,22969,3894,8004,7799,6989,4999,2568,1066,264,35577,591,626,653,550,436,137,35,11,3039,455,827,1142,1135,961,535,161,37,5249,4942,9460,9592,8671,6394,3243,1262,312,43865,180,495,585,520,440,263,97,22,2593,3245,3726,3442,3046,2754,2354,1464,667,20701,13840,37447,36676,26133,18614,9729,3759,1241,147438
LGA10800,7,8,13,0,0,0,37,0,7,7,3,18,7,0,0,37,13,92,88,60,29,29,12,0,323,7,34,58,56,51,29,4,6,250,100,167,157,140,145,76,42,11,841,15,18,19,8,11,8,0,0,80,10,11,20,24,31,11,3,0,108,126,191,192,171,188,93,50,14,1023,0,0,3,3,6,4,3,0,25,87,72,88,105,141,113,112,77,796,245,402,449,405,441,272,179,106,2493
LGA10850,23,22,27,21,5,0,112,0,9,22,14,23,18,0,3,85,21,91,154,106,105,54,18,3,547,9,61,76,89,100,57,22,3,428,116,244,238,251,194,104,41,12,1191,14,21,21,15,11,6,3,0,84,9,13,24,41,36,21,10,0,161,134,280,281,303,240,129,47,11,1432,0,3,9,3,12,17,6,0,49,92,56,75,110,109,113,84,40,672,261,508,632,656,611,417,179,56,3324
LGA10900,768,966,1076,633,180,26,4193,5,160,353,482,619,336,66,9,2034,409,1526,2512,2336,2234,1453,465,107,11046,361,812,1273,1567,1622,1114,485,128,7368,992,1774,1927,2133,1903,1225,523,153,10640,119,106,121,110,106,107,34,9,708,93,104,206,277,425,428,121,70,1723,1200,1985,2251,2526,2429,1761,680,239,13068,25,35,79,83,126,144,75,36,597,453,383,515,645,814,886,618,346,4660,2508,5395,7754,8605,8924,6336,2565,883,42967
LGA10950,0,3,6,0,0,0,20,0,3,3,5,4,0,0,0,19,11,51,36,26,11,15,6,0,157,7,16,18,29,25,5,8,0,116,48,70,60,73,51,35,12,3,354,3,8,4,8,7,0,0,0,26,5,9,6,8,7,0,4,0,40,59,80,73,95,60,41,18,4,428,0,3,0,0,0,0,0,0,10,46,41,46,54,43,36,39,19,325,122,209,175,217,143,102,66,24,1058
LGA11100,859,407,204,71,13,4,2835,18,118,162,123,64,23,7,0,513,818,2746,1728,958,523,246,83,16,7113,314,878,930,710,394,170,87,29,3525,415,1006,933,891,624,375,211,55,4511,47,64,64,59,46,23,10,3,313,46,98,143,155,151,73,35,3,710,507,1170,1138,1107,821,468,252,62,5529,51,74,63,81,67,32,27,7,393,531,749,562,469,437,373,322,195,3632,2307,6927,5442,3857,2527,1392,790,305,23546
LGA11150,11,10,6,0,0,0,27,0,3,0,0,0,3,0,0,8,12,69,30,23,16,10,3,0,165,3,37,25,45,14,7,3,0,144,35,56,49,51,30,11,6,3,247,15,3,7,6,0,0,0,0,31,3,8,3,10,3,5,0,0,32,51,66,64,68,34,19,6,3,305,0,0,0,3,3,3,0,0,15,64,70,62,93,91,54,38,16,488,131,254,194,237,163,98,55,18,1156
LGA11200,6,0,0,0,0,0,8,0,4,0,0,0,0,0,0,5,4,27,13,10,14,5,0,0,82,3,9,13,22,8,4,3,0,65,24,24,21,34,24,8,0,0,136,9,20,8,10,0,0,0,0,46,0,0,0,4,4,3,0,0,18,27,47,26,50,32,11,0,3,203,0,0,0,0,0,0,0,0,0,52,51,22,48,41,13,4,3,230,96,150,84,128,93,31,10,8,595
LGA11250,46,35,35,15,3,0,192,0,37,33,35,48,18,4,0,178,65,220,171,164,174,75,22,0,893,24,132,163,201,170,80,31,10,804,264,581,459,555,534,321,126,39,2881,43,38,40,43,38,21,0,0,224,20,41,32,52,88,34,18,4,292,330,667,532,650,665,378,143,47,3399,6,11,3,18,22,12,13,0,78,196,239,199,256,282,332,285,253,2030,628,1361,1156,1353,1384,897,489,305,7572
LGA11300,706,422,283,130,28,19,3271,26,145,97,103,84,37,10,3,510,1197,2702,1299,993,691,332,162,50,7425,327,703,516,544,366,171,89,36,2750,211,435,417,470,306,207,143,66,2254,30,40,29,42,22,19,0,0,192,40,61,81,80,109,56,29,16,472,286,532,527,598,436,274,175,83,2916,46,89,48,85,70,37,21,14,405,445,513,303,278,254,229,214,175,2401,2453,6236,3494,3011,2177,1220,700,391,19684
LGA11350,206,254,292,175,34,4,1109,3,53,122,131,186,87,8,3,593,103,771,1050,974,932,546,109,34,4526,77,384,528,620,674,374,91,38,2787,248,648,798,878,907,439,132,52,4102,33,48,39,45,47,21,5,3,236,32,62,94,123,161,95,41,10,619,317,761,927,1043,1105,554,178,63,4955,8,21,29,35,39,49,15,8,202,476,520,590,707,825,529,260,182,4091,987,2655,3462,3763,4049,2305,702,335,18261
LGA11400,57,67,54,54,3,3,245,0,10,31,44,34,12,4,0,138,23,197,296,247,185,109,37,11,1112,19,115,170,219,175,145,45,10,900,199,357,393,425,350,236,67,19,2048,20,38,24,37,24,12,8,0,167,24,25,39,68,73,39,16,5,282,246,413,456,536,448,290,92,18,2494,5,4,6,11,16,25,5,0,68,161,104,138,194,159,185,141,53,1127,448,867,1145,1317,1071,818,328,98,6092
LGA11450,508,330,218,90,28,7,1842,19,188,218,193,166,52,18,3,864,514,2199,2090,1044,691,310,100,24,6968,450,1551,1634,1279,749,346,91,37,6135,1288,3097,2801,2313,1552,884,320,79,12333,148,164,185,138,92,49,9,5,786,116,199,275,327,242,155,53,19,1392,1552,3455,3258,2775,1890,1092,387,100,14507,30,68,94,87,85,55,28,3,459,621,669,661,589,491,539,372,349,4290,3226,8758,8465,6300,4282,2491,1028,515,35063
LGA11500,1564,781,495,201,51,10,4641,54,282,297,214,243,104,10,4,1202,1189,4061,3088,2129,1585,775,185,42,13056,1003,2563,2256,2036,1627,756,166,45,10444,2445,4692,3902,3641,3464,1813,633,147,20731,359,370,321,264,224,105,17,7,1675,230,401,522,585,617,393,89,18,2858,3026,5465,4745,4497,4306,2310,739,171,25265,100,215,223,224,227,155,52,13,1210,1750,1650,1533,1495,1516,1420,832,489,10679,7226,15660,13706,11370,9995,5723,2041,773,66495
