LGA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
LGA10050,64,936,55,318,129,51,4,20,6,1575,96,758,16,158,77,24,0,14,4,1138,290,318,45,155,863,202,17,74,23,1985,76,275,14,576,194,67,11,61,9,1282,14,115,15,26,36,28,0,8,0,241,57,14,205,137,86,98,7,56,3,658,0,0,0,4,8,0,0,3,0,17,12,12,3,10,16,4,0,3,0,64,9,15,3,22,19,28,3,34,18,154,677,2581,399,1455,1512,542,57,318,63,7607,58,133,30,19,27,10,10,13,3,313,39,102,43,6,39,21,13,24,3,291,295,234,1131,69,113,79,285,215,28,2452,180,42,653,31,32,34,82,118,7,1180,73,86,105,22,39,27,35,56,4,459,90,1240,68,377,132,60,16,29,15,2026,147,1027,33,181,88,30,12,16,7,1538,640,641,109,207,996,341,109,125,40,3207,125,419,28,750,217,91,41,96,15,1789,28,175,33,39,49,41,15,16,3,392
LGA10130,49,415,21,147,58,22,0,26,5,756,78,485,7,86,52,14,0,20,4,744,118,152,14,54,447,87,0,46,9,929,85,283,24,249,113,47,0,36,12,847,6,60,3,11,40,11,0,5,0,148,12,10,64,45,33,30,3,22,0,226,0,0,0,3,0,0,0,0,0,5,6,3,3,3,8,0,0,0,0,31,9,26,3,9,19,12,0,24,9,107,433,1587,188,646,845,251,14,221,47,4222,48,230,45,33,28,12,3,19,6,432,15,74,22,4,11,8,3,11,3,158,113,69,356,22,37,29,84,88,18,802,105,31,209,8,7,12,23,44,10,452,205,137,81,15,49,37,19,108,5,659,68,545,30,197,63,26,3,51,7,987,117,621,17,104,62,13,3,26,4,963,272,287,48,83,504,153,25,82,10,1456,152,529,44,371,138,67,9,61,18,1400,18,102,16,21,53,15,0,15,3,243
LGA10250,64,760,52,244,91,43,3,22,15,1293,97,671,9,150,67,16,0,17,6,1032,204,223,23,106,604,175,11,49,15,1408,94,307,27,411,117,54,4,40,14,1063,24,82,16,33,34,30,0,11,3,232,40,12,118,122,60,61,0,33,9,458,0,0,0,0,0,0,0,0,0,3,7,18,6,10,9,0,0,5,0,53,3,13,9,29,23,18,0,16,16,134,575,2173,312,1141,1076,439,29,221,87,6049,39,118,37,23,25,10,9,12,0,275,27,51,23,3,14,14,4,19,0,145,231,191,663,64,66,63,136,140,15,1556,188,51,486,21,35,21,48,94,14,959,113,65,110,37,27,24,19,89,12,497,105,1091,59,309,108,54,12,34,17,1786,163,942,20,180,69,27,10,26,13,1448,454,452,57,135,675,274,44,104,36,2225,147,472,49,541,142,65,11,70,20,1525,43,138,44,44,44,36,7,29,3,396
LGA10300,3,15,3,12,8,0,0,0,0,51,6,27,0,6,0,0,0,0,0,43,7,0,0,0,21,3,0,3,0,39,0,4,0,19,4,0,0,3,0,30,0,3,0,0,0,0,0,0,0,6,5,0,5,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,6,0,18,22,56,17,45,43,5,0,26,0,216,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,29,0,0,0,13,7,0,67,3,0,11,0,0,0,0,3,0,21,20,0,13,3,4,0,3,14,4,58,9,25,3,13,8,0,0,0,0,60,7,31,0,10,0,0,0,0,0,55,17,5,0,4,21,3,0,6,0,53,0,5,0,21,4,0,0,3,0,38,0,3,0,0,0,0,0,0,0,6
LGA10470,49,605,48,249,84,53,3,26,3,1112,93,705,13,131,61,29,0,8,5,1045,200,261,26,116,686,169,11,73,19,1562,78,282,23,412,135,48,5,48,15,1052,42,78,14,35,52,21,5,10,4,247,42,13,138,91,45,41,3,30,6,416,0,0,0,0,3,3,0,3,0,12,10,11,4,10,12,3,3,3,3,60,8,13,3,21,27,19,0,27,13,138,579,2080,330,1099,1169,419,38,270,70,6050,38,105,21,14,14,10,4,12,0,221,36,99,35,8,22,21,3,12,3,241,246,190,964,91,66,57,234,213,24,2090,143,41,448,34,23,16,81,114,11,902,120,73,75,24,33,36,34,75,3,474,72,764,59,324,105,59,12,33,6,1435,147,912,21,153,75,38,10,21,5,1381,460,421,74,165,772,264,59,118,27,2366,121,415,37,616,154,64,17,72,15,1517,64,123,30,48,49,36,11,19,4,388
LGA10550,47,477,29,150,57,23,4,20,3,814,84,378,6,104,46,18,0,13,0,647,162,103,21,79,336,148,5,50,6,918,57,163,17,337,101,42,3,36,6,758,24,54,15,11,28,22,0,10,0,165,35,5,107,73,47,44,3,31,3,350,0,0,0,0,0,0,0,3,0,5,7,6,3,14,14,3,0,9,0,60,12,18,8,27,21,27,0,18,11,145,479,1267,253,823,717,359,24,209,38,4179,27,72,23,11,19,6,0,12,0,181,13,25,16,9,10,3,3,9,3,89,178,96,556,45,45,52,159,191,25,1350,121,24,424,13,16,28,34,95,9,766,129,58,95,26,33,26,26,72,9,469,68,622,37,197,61,31,5,26,3,1053,114,515,16,119,55,21,6,18,0,868,251,190,44,104,375,190,23,86,9,1282,98,231,29,431,126,56,9,57,16,1039,31,85,23,23,34,29,7,19,0,252
LGA10600,18,216,10,69,21,8,0,5,4,359,33,187,6,46,14,9,0,10,3,304,47,32,6,25,137,41,3,19,0,311,33,114,8,119,37,12,3,8,5,346,6,33,7,15,12,7,0,6,0,90,16,3,36,14,17,9,4,17,0,103,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,0,21,10,3,3,11,16,4,0,9,6,54,201,627,86,318,281,104,9,79,22,1732,15,31,8,11,9,3,4,3,3,91,4,9,7,3,7,3,0,0,0,37,65,43,190,16,20,11,53,59,9,473,50,16,120,9,0,5,17,31,4,251,51,29,29,10,7,8,9,20,4,170,26,284,19,86,20,15,5,9,4,463,58,262,15,49,19,6,0,14,3,418,82,69,9,34,148,60,12,31,4,456,52,156,22,161,48,21,8,10,9,474,18,66,24,16,13,12,8,9,3,167
LGA10650,22,100,3,49,14,5,3,9,7,208,22,91,0,22,16,4,0,3,0,151,25,28,3,12,83,20,0,12,0,181,11,24,3,91,17,10,4,9,0,174,5,0,3,0,3,0,0,0,0,12,18,3,24,21,7,13,0,13,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,10,8,5,4,14,9,9,0,5,3,55,127,259,50,218,163,63,3,68,6,966,10,3,7,4,0,0,3,0,0,28,3,3,4,0,3,0,0,0,0,18,87,16,149,6,9,12,48,55,4,381,30,3,33,5,7,0,17,8,4,102,96,16,31,5,20,5,15,26,0,211,20,126,5,61,17,5,3,13,7,248,28,118,6,26,16,4,0,0,3,187,59,40,5,17,85,31,5,13,3,251,21,31,3,101,18,10,7,14,0,210,5,5,3,0,3,0,0,6,0,14
LGA10750,223,4043,233,1626,506,212,69,184,39,7135,335,3180,56,785,411,153,43,120,41,5119,1746,2812,213,926,6249,1446,332,603,223,14561,479,1417,168,2939,1285,413,125,318,95,7246,131,488,91,129,324,194,31,51,19,1448,198,81,634,483,453,356,54,231,44,2533,7,5,3,7,15,14,3,17,0,76,50,112,29,115,179,80,23,64,21,674,53,114,40,179,219,120,47,140,192,1103,3754,14044,2132,7594,10820,3375,918,2106,779,45520,374,1082,468,246,523,209,186,153,34,3277,991,3156,879,268,827,336,493,324,149,7425,1830,2813,6454,427,1182,580,2212,1439,245,17187,589,265,2607,87,235,159,352,527,67,4890,120,132,402,57,156,74,136,215,15,1306,363,5191,360,2021,595,279,186,275,60,9330,456,4043,114,870,481,189,143,176,57,6534,4204,5781,810,1417,8272,2520,1754,1261,387,26403,826,2237,327,4003,1600,589,477,548,154,10760,277,892,268,201,448,313,154,138,36,2730
LGA10800,17,43,12,21,10,4,0,9,0,117,21,87,0,12,15,0,0,0,0,141,36,18,3,3,74,16,0,13,0,175,16,9,3,40,13,10,0,4,0,97,3,0,3,0,0,0,0,0,0,8,11,0,14,7,3,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,0,5,3,8,0,4,3,35,131,176,43,100,125,46,6,45,8,676,6,7,0,0,3,0,0,0,0,20,0,3,0,0,5,0,0,0,0,5,53,19,139,0,3,10,60,25,3,318,18,0,25,0,3,0,6,6,0,68,114,13,20,0,3,8,16,10,4,190,18,59,12,27,10,4,3,10,0,147,19,106,0,12,10,0,3,0,3,164,51,19,4,10,79,22,7,24,0,214,26,17,3,43,15,10,0,4,0,117,3,6,4,0,0,0,0,0,0,16
