LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA10050,24,203,3,41,38,0,0,3,0,309,7,61,0,0,12,0,0,0,0,88,208,1467,36,208,259,72,3,35,11,2296,0,0,3,14,0,3,0,0,0,20,58,161,22,112,115,33,3,15,0,510,106,159,43,292,235,70,5,36,12,957,134,112,243,585,547,236,32,131,17,2035,14,10,15,47,96,36,7,23,3,239,30,24,14,88,126,48,4,20,0,347,3,16,4,19,27,4,4,10,4,82,16,29,12,35,44,37,3,37,16,222,677,2581,399,1455,1512,542,57,318,63,7607,3,23,0,0,0,0,0,0,0,25,16,127,4,3,9,0,0,0,0,159,138,402,10,34,45,16,7,18,4,672,8,31,0,0,3,0,0,0,0,49,53,310,13,49,48,5,0,4,0,477,18,81,0,7,16,0,0,0,0,123,501,2219,125,296,345,112,49,71,34,3751,0,4,3,14,0,6,0,3,0,29
LGA10130,29,121,3,18,19,3,0,4,0,198,5,35,0,4,3,3,0,0,0,53,151,718,40,144,206,41,3,40,10,1357,0,7,0,3,0,0,0,3,0,10,37,79,6,49,79,11,0,12,3,271,48,70,7,117,124,35,0,18,4,424,42,58,91,222,229,100,4,70,7,830,7,16,12,25,31,17,0,13,3,113,19,10,11,24,74,22,0,13,3,174,7,9,0,5,7,4,0,7,0,51,22,18,7,13,34,13,0,28,4,136,433,1587,188,646,845,251,14,221,47,4222,0,8,0,0,0,0,0,0,0,9,56,504,3,6,13,0,0,3,0,587,102,358,14,26,37,12,0,40,9,608,4,21,0,3,3,0,0,0,0,37,43,183,3,21,25,4,0,8,0,290,7,48,5,9,6,3,0,0,0,78,323,1146,97,235,253,67,11,99,21,2257,3,7,3,3,0,0,0,3,0,19
LGA10250,23,156,9,35,16,3,0,0,0,241,10,35,0,3,6,0,0,0,3,61,193,1212,48,176,199,63,3,35,13,1942,3,3,0,5,3,3,0,0,0,16,73,167,22,96,96,29,0,21,11,508,54,89,34,253,159,69,8,23,4,691,98,125,165,388,334,149,6,82,21,1369,8,6,6,30,64,31,0,18,6,168,31,27,12,69,109,54,4,20,3,332,11,19,8,14,23,10,3,3,0,91,14,25,7,41,41,21,3,19,18,200,575,2173,312,1141,1076,439,29,221,87,6049,3,21,0,0,0,0,0,0,0,27,18,129,0,7,3,0,0,0,0,165,128,377,9,28,31,12,0,7,3,598,3,20,3,0,0,0,0,0,0,37,45,254,17,42,24,9,3,4,0,393,18,48,3,4,10,0,0,0,3,86,464,1971,115,251,264,113,19,78,32,3305,4,3,0,7,3,0,0,0,0,21
LGA10300,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,32,0,3,9,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,3,4,8,4,0,0,0,0,17,3,3,0,13,7,0,0,3,0,26,9,3,6,14,18,3,0,8,0,64,0,0,0,0,4,0,0,0,0,8,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,3,5,0,20,22,56,17,45,43,5,0,26,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,42,3,3,9,0,0,3,0,73,0,0,0,0,0,0,0,0,0,0
LGA10470,21,145,0,19,19,3,0,3,0,216,5,55,5,3,9,0,0,0,0,76,209,1137,47,188,222,56,3,39,14,1909,0,0,0,0,0,0,0,0,0,9,45,138,12,83,109,25,0,5,3,432,61,121,37,218,140,45,5,24,9,663,115,106,179,431,384,164,19,101,11,1516,19,15,15,33,88,37,3,23,0,231,26,23,15,49,117,46,3,30,3,317,11,21,3,19,22,14,0,11,3,97,18,28,11,29,41,22,0,28,6,190,579,2080,330,1099,1169,419,38,270,70,6050,0,13,0,0,0,0,0,0,0,12,21,133,0,0,11,0,0,0,4,169,101,328,9,25,38,4,0,3,3,520,3,22,0,3,0,0,0,0,0,28,45,217,7,27,19,9,4,3,0,328,25,74,5,11,9,0,0,0,0,126,426,1674,122,285,261,92,27,82,27,2989,0,0,0,0,0,0,0,0,0,6
LGA10550,23,123,3,19,22,3,0,0,0,196,6,21,0,3,0,0,0,0,0,30,143,655,20,105,135,49,3,24,3,1141,0,3,0,0,0,0,0,0,0,8,45,116,10,81,79,30,3,5,0,367,63,64,18,138,95,33,0,17,10,435,100,73,162,330,203,140,8,93,7,1112,19,4,11,35,43,33,3,24,0,170,30,16,16,54,72,33,0,19,3,241,5,9,5,11,13,6,0,0,0,58,21,31,9,29,33,31,3,19,8,183,479,1267,253,823,717,359,24,209,38,4179,0,16,0,0,3,0,0,0,0,17,6,47,0,0,4,0,0,0,0,63,53,212,4,22,21,4,0,3,3,314,8,4,0,0,0,0,0,0,0,14,49,181,4,28,25,10,0,4,0,290,6,28,4,8,3,0,0,0,0,45,251,999,77,152,168,65,11,51,7,1791,0,3,0,0,3,0,0,0,0,6
LGA10600,10,54,0,5,3,4,0,0,3,78,0,10,0,0,0,0,0,0,0,10,59,343,11,60,56,13,3,4,4,559,0,0,0,0,0,0,0,0,0,5,21,59,7,38,24,8,0,6,0,166,17,27,8,61,39,18,3,18,0,184,39,26,45,92,91,45,0,37,3,380,6,0,5,11,18,3,3,8,0,52,11,8,10,27,16,6,0,3,0,86,4,3,0,3,5,0,0,4,0,19,12,7,3,13,17,4,0,7,6,63,201,627,86,318,281,104,9,79,22,1732,0,4,0,0,0,0,0,0,0,4,3,31,0,0,5,0,0,0,0,41,30,93,0,11,7,0,0,3,0,146,0,14,0,3,0,0,0,0,0,17,12,76,0,10,3,4,0,0,3,115,0,7,0,3,3,0,0,0,0,13,130,521,46,75,77,25,5,20,9,900,0,0,0,0,0,0,0,0,0,5
LGA10650,7,20,0,4,4,0,0,0,0,31,0,5,0,0,0,0,0,0,0,8,40,145,3,17,25,0,0,5,0,230,0,0,0,0,0,0,0,0,0,0,7,24,3,15,16,0,0,6,3,71,12,13,7,39,18,11,0,9,0,108,32,21,31,111,58,27,3,31,0,319,4,5,0,4,12,3,0,7,0,37,6,0,4,8,15,9,0,6,0,55,0,0,3,4,5,0,0,0,0,14,9,9,4,15,13,6,0,8,3,69,127,259,50,218,163,63,3,68,6,966,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,0,0,3,10,23,0,4,4,0,0,0,0,41,0,6,0,0,0,0,0,0,0,10,89,212,8,20,23,0,3,10,3,361,0,0,0,0,0,0,0,0,0,0
LGA10750,73,521,9,146,130,19,6,15,9,929,40,147,3,13,30,0,0,0,3,234,1427,7881,542,1660,3379,966,249,550,229,16872,12,17,0,31,21,12,0,3,0,96,284,686,113,545,851,244,50,159,33,2964,518,811,279,1552,1517,508,98,217,82,5581,580,632,855,2392,2294,759,258,516,123,8403,77,66,48,166,417,188,48,124,18,1154,128,121,68,374,681,220,70,156,27,1843,59,164,40,98,254,74,24,70,19,794,70,198,51,222,315,143,58,174,152,1376,3754,14044,2132,7594,10820,3375,918,2106,779,45520,14,80,3,9,11,3,4,0,0,132,77,500,28,24,43,10,6,9,4,696,1611,5130,465,567,1545,473,422,289,171,10666,67,203,17,18,70,18,12,12,9,426,201,831,42,178,197,42,38,34,19,1580,90,217,12,23,50,15,0,3,6,424,3445,13843,1960,2464,4958,1676,1497,1305,427,31589,30,25,20,47,24,14,10,7,0,179
LGA10800,3,7,0,3,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,8,33,115,3,8,13,0,0,3,0,178,0,0,0,0,0,0,0,0,0,0,4,8,4,5,11,0,0,0,0,32,14,9,3,23,19,3,0,0,0,75,31,7,23,39,44,24,3,18,0,193,9,0,0,3,20,3,0,4,0,46,19,3,3,11,7,0,0,4,0,52,0,0,0,0,0,0,0,0,0,4,16,6,5,8,7,10,0,11,3,61,131,176,43,100,125,46,6,45,8,676,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,14,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,13,0,3,0,0,0,0,0,19,3,4,0,0,0,0,0,0,0,9,65,163,3,10,10,0,3,7,3,270,0,0,0,0,0,0,0,0,0,0
