LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA10050,157,251,86,163,134,65,22,34,7,919,223,281,157,371,270,113,53,72,17,1563,611,294,2169,788,704,412,463,501,75,6013,25,24,37,59,103,57,32,51,8,382,61,40,38,102,138,70,45,52,0,549,16,33,11,23,27,15,13,13,9,157,31,55,46,46,44,47,34,76,33,423,1848,4172,2690,1948,1880,917,734,898,188,15285
LGA10130,104,125,37,75,96,19,8,18,4,483,103,104,45,147,137,48,13,39,10,649,346,112,771,317,284,192,128,262,35,2456,23,20,20,28,31,26,11,30,3,194,39,17,23,38,73,36,19,36,3,289,11,24,8,15,12,5,5,12,0,95,52,32,20,23,35,19,11,47,21,265,1218,2698,1052,956,1023,432,214,610,103,8299
LGA10250,149,267,62,141,114,46,11,41,19,853,153,188,101,315,187,87,26,52,15,1114,515,232,1507,551,423,274,225,393,62,4183,22,10,12,31,71,39,9,37,5,243,61,39,43,89,116,75,21,57,12,504,14,36,15,24,26,13,11,11,0,151,35,45,35,60,46,36,29,55,40,385,1627,3646,1915,1549,1322,708,348,756,187,12065
LGA10300,4,3,4,8,4,0,0,0,0,20,4,9,4,18,7,0,0,3,0,47,31,8,59,13,16,4,13,39,0,191,0,0,0,3,4,0,0,5,0,16,3,0,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,7,0,7,4,3,0,6,10,3,41,78,79,79,56,45,6,27,65,3,440
LGA10470,110,201,55,146,121,45,14,23,10,734,158,189,122,299,167,71,30,51,16,1111,529,222,1656,689,513,300,396,478,59,4844,37,25,38,44,95,48,22,45,0,347,56,35,37,66,123,67,30,58,11,468,14,31,13,20,24,21,5,18,3,150,47,29,49,41,45,31,32,76,27,376,1576,3194,2113,1663,1429,688,555,846,165,12216
LGA10550,101,172,41,116,85,39,9,21,7,589,124,102,66,188,106,53,11,40,13,708,445,133,1282,435,277,251,237,465,46,3570,27,12,20,36,51,44,11,50,0,252,55,20,34,71,79,41,12,51,3,367,17,10,14,14,19,7,3,7,0,94,57,37,50,43,38,46,23,68,21,379,1188,1979,1589,1116,874,555,322,769,104,8492
LGA10600,46,84,19,50,26,21,7,16,3,271,38,55,31,73,47,21,4,27,3,297,157,48,400,150,119,77,87,124,19,1179,6,3,3,14,14,10,6,13,0,84,26,8,13,30,23,10,10,14,3,135,4,6,3,4,3,0,0,4,0,28,16,17,21,12,15,10,10,22,7,138,471,987,534,431,338,177,141,240,52,3367
LGA10650,41,32,7,22,17,0,0,11,3,137,37,18,16,52,25,10,3,8,0,171,178,29,255,123,74,48,81,106,14,904,8,5,0,4,12,3,0,13,0,44,19,0,3,14,15,10,5,7,0,81,0,0,3,4,8,3,0,0,0,20,24,8,17,22,10,10,16,19,5,135,413,368,309,260,188,90,115,181,25,1954
LGA10750,902,1340,849,862,1195,454,545,417,79,6649,1312,1592,1185,2029,2002,887,713,553,152,10427,2265,1363,9182,3203,3300,1547,2744,2212,450,26266,140,101,132,232,500,238,234,248,26,1858,301,257,272,523,830,341,435,390,55,3404,170,336,175,159,318,120,187,164,36,1673,187,332,314,329,425,218,407,462,367,3054,10817,26152,14660,10673,15473,6055,7260,6110,1815,99021
LGA10800,15,13,10,14,11,3,0,0,0,66,36,8,11,30,17,10,5,4,0,115,150,17,212,46,54,37,85,57,9,665,17,0,0,3,18,6,0,12,0,60,31,3,3,11,7,3,6,4,0,79,4,3,0,0,0,0,0,0,0,5,39,5,9,8,5,9,12,20,9,121,364,254,248,123,142,69,115,112,24,1442
