LGA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA10050,5,5,32,20,63,3,136,0,0,6,4,25,0,28,28,17,137,121,745,33,1070,3,0,4,23,83,4,115,3,3,55,72,1178,21,1333,6,5,30,30,151,7,232,19,3,77,81,316,18,509,6,4,52,71,218,18,363,9,3,47,86,260,33,431,0,10,26,19,36,5,101,8,8,37,45,15,3,126,3,0,16,24,46,3,87,44,37,188,57,90,13,431,5,3,22,32,121,6,187,42,30,162,134,235,17,626,84,60,250,58,71,14,534,90,35,233,82,126,21,587,0,3,18,10,37,0,61,11,3,31,33,298,12,385,7,3,35,31,203,45,324,380,233,1452,1019,4323,268,7674,0,3,24,9,20,3,60,0,0,0,0,3,0,3,14,3,76,58,103,10,254,0,0,7,3,7,0,19,5,0,27,33,86,16,172,3,3,11,9,36,3,71,9,7,92,125,351,36,625,8,4,64,89
LGA10130,54,3,112,76,235,29,510,3,0,0,0,18,0,30,8,0,14,7,110,4,140,7,0,3,4,39,3,55,5,0,11,17,403,14,452,3,3,13,12,40,3,75,15,0,40,13,165,11,254,7,0,28,25,111,10,177,4,0,11,15,63,7,108,3,0,9,13,19,0,47,10,3,39,20,18,3,92,0,0,6,6,21,4,43,64,25,116,25,39,8,281,7,0,19,10,53,5,98,37,14,74,54,111,18,310,325,57,217,55,94,11,754,58,14,121,48,83,16,325,0,0,11,5,13,3,41,3,3,23,11,111,8,158,8,3,17,12,62,20,126,627,125,902,437,1813,173,4076,23,16,80,44,65,27,250,0,0,0,3,0,0,7,0,0,7,7,12,8,38,0,0,3,0,0,0,5,0,0,10,9,21,6,42,0,3,8,6,10,0,32,5,7,58,52,129,22,272,7,6,39,32
LGA10250,19,3,82,30,147,15,291,0,0,9,12,48,3,70,6,0,44,33,275,13,377,4,0,9,13,58,3,89,7,3,67,69,866,37,1049,5,0,16,18,73,3,116,8,4,62,45,246,19,396,15,4,46,55,191,13,315,3,0,22,28,135,20,213,3,0,8,17,36,3,67,14,7,42,42,25,3,127,0,6,27,23,58,11,122,45,24,200,56,66,10,410,3,0,12,30,86,10,148,40,27,134,99,179,15,494,97,63,254,57,63,6,544,91,35,242,79,154,27,629,3,0,23,12,45,0,83,3,0,27,15,197,7,256,8,6,24,29,118,30,210,370,193,1367,770,3066,251,6012,9,8,34,24,45,12,134,0,0,0,0,0,0,4,0,0,39,33,50,8,129,0,0,9,3,0,0,16,0,0,7,20,48,10,93,0,0,14,5,23,4,50,11,6,74,116,230,33,476,0,11,78,66
LGA10300,3,0,9,6,46,12,77,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,6,0,9,0,0,0,0,17,3,20,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,3,0,4,0,10,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8,0,19,0,0,10,0,3,0,10,0,0,4,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,13,0,13,0,0,0,0,8,3,9,9,0,31,18,147,19,220,0,0,5,7,12,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,7,6,0,11,0,0,0,3
LGA10470,13,7,55,40,147,21,279,4,0,21,15,132,9,184,16,9,84,71,558,28,759,8,0,16,31,79,3,144,4,0,44,50,800,33,939,0,3,9,15,81,13,119,6,0,56,46,242,13,372,3,3,35,34,146,9,230,3,0,9,28,212,13,264,8,4,16,15,50,4,96,3,3,21,16,19,4,75,0,0,20,8,43,4,76,30,16,125,51,72,3,304,3,4,7,16,83,3,118,29,34,151,143,316,25,699,108,56,238,43,88,8,540,58,14,127,66,118,13,393,5,0,7,19,29,3,65,10,0,23,19,237,8,300,8,0,16,19,147,34,225,321,170,1080,745,3602,244,6171,5,10,38,22,43,8,121,0,0,0,0,3,0,10,7,0,51,44,86,16,194,0,0,17,10,11,0,46,7,0,25,32,71,7,144,0,0,8,3,20,3,41,4,3,82,73,254,38,451,9,3,61,58
LGA10550,7,8,50,43,234,29,369,0,0,3,3,15,3,23,3,8,31,43,347,15,442,0,0,3,5,65,3,85,0,0,28,38,704,23,794,0,3,13,13,71,5,95,9,3,32,28,192,16,278,4,0,28,40,195,29,300,0,0,6,19,109,11,143,0,4,4,4,18,0,36,0,3,10,19,10,0,37,0,0,9,16,21,4,50,21,5,95,30,49,12,222,0,0,10,17,73,11,111,24,9,68,72,105,20,298,32,38,98,24,35,0,227,43,16,123,64,98,6,353,6,5,19,6,37,3,67,3,0,9,6,174,4,205,7,0,6,12,106,30,167,169,106,643,493,2662,232,4309,5,6,37,21,62,10,149,0,0,0,0,0,0,0,3,4,32,27,86,17,167,0,0,0,0,7,0,9,0,0,10,20,28,9,74,0,0,9,6,22,8,41,9,7,54,66,201,33,367,4,3,50,55
LGA10600,3,0,24,19,70,12,129,0,0,0,3,12,0,19,0,0,11,23,89,6,128,0,0,0,3,13,0,14,0,0,20,15,230,10,279,0,0,4,4,19,0,36,3,0,18,10,55,4,91,0,0,9,15,54,9,86,0,0,3,4,50,7,67,3,0,6,6,6,3,22,0,0,10,3,5,0,23,0,0,6,6,16,0,27,11,3,46,19,12,4,98,3,0,3,7,37,9,63,5,3,31,18,36,0,97,18,19,74,21,12,0,139,12,4,53,22,52,5,154,0,0,13,7,9,3,31,3,0,9,0,73,0,80,0,0,10,4,29,11,56,74,41,347,214,876,84,1634,3,0,12,14,25,0,59,0,0,0,0,0,0,3,0,0,7,8,6,5,22,0,0,0,0,0,0,0,0,0,11,3,17,4,30,0,0,3,7,3,0,11,4,3,21,24,60,6,126,3,4,23,19
LGA10650,0,0,34,45,134,20,238,0,0,0,0,0,0,0,0,0,8,9,85,4,112,0,0,0,0,14,0,24,0,0,8,4,106,4,122,0,0,0,4,34,0,38,0,0,8,0,34,0,43,0,0,5,13,29,10,58,0,0,0,10,35,3,56,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,3,3,0,11,6,4,0,22,0,0,0,0,11,0,10,4,0,7,13,25,3,61,0,4,27,6,5,3,42,7,0,13,7,13,3,42,0,0,0,0,5,3,10,0,0,5,5,55,4,69,0,0,0,3,25,5,37,20,9,133,129,621,76,989,3,3,25,14,24,8,73,0,0,0,0,0,0,0,0,0,3,5,26,3,35,0,0,5,0,0,0,8,0,0,6,5,6,0,17,0,0,0,0,6,6,14,0,0,5,8,46,10,72,0,0,3,18
LGA10750,13,0,43,31,72,10,159,11,0,24,22,47,4,121,444,62,1272,888,2604,218,5491,122,15,177,132,346,15,811,238,27,771,662,4679,267,6648,347,41,788,469,1019,99,2768,421,65,1036,717,1456,178,3867,130,11,484,495,695,111,1930,488,82,1155,942,1804,304,4773,301,49,667,289,297,62,1664,675,113,1275,525,459,114,3167,66,18,151,140,262,27,673,967,149,1969,633,520,142,4391,141,14,393,316,624,82,1577,511,121,1160,814,1126,132,3878,594,131,906,199,288,61,2184,543,82,1401,537,695,129,3386,44,5,117,101,201,21,498,133,36,343,268,1631,83,2496,221,30,570,439,1290,488,3034,6420,1065,14720,8622,20133,2555,53500,13,4,38,20,37,9,118,5,0,17,3,6,4,40,175,27,777,406,554,139,2078,32,6,89,42,50,14,228,78,8,292,259,346,49,1032,163,29,550,275,429,76,1516,291,60,1179,781,1290,217,3807,88,21,420,366
LGA10800,0,0,26,30,158,33,244,4,4,19,12,72,8,113,0,0,3,0,32,0,35,0,0,0,0,9,0,7,0,0,0,0,63,4,71,0,0,3,4,13,0,16,0,0,0,0,31,8,37,0,0,0,4,12,0,11,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,11,5,5,0,20,0,0,0,0,0,5,3,0,0,0,12,30,0,50,0,4,15,0,3,0,22,0,0,4,4,4,0,17,0,0,0,0,0,0,0,0,0,3,0,38,0,46,0,0,3,0,23,10,32,9,10,95,72,521,63,763,3,0,25,14,48,11,101,0,0,4,3,9,0,21,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,3,0,10,0,0,3,6,36,10,55,0,0,8,4
