LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA10050,231,860,257,279,32,1922,243,180,1056,560,834,92,2969,6,9,30,22,59,4,130,18,9,55,99,496,26,699,15,10,69,50,255,79,479,850,649,3751,2501,6947,582,15285
LGA10130,186,736,219,241,42,2113,147,87,452,277,374,50,1392,3,3,22,11,28,3,67,14,6,47,22,197,11,299,8,3,36,27,83,30,192,1205,399,2257,1147,2931,358,8299
LGA10250,182,834,236,235,30,1766,239,144,865,460,712,108,2528,6,4,39,28,58,4,144,6,7,60,78,325,11,495,15,11,67,62,171,53,377,791,513,3305,1990,4932,538,12065
LGA10300,8,26,8,6,0,56,8,0,19,15,24,5,71,0,0,0,0,4,0,4,0,0,0,0,9,0,20,0,0,0,3,8,7,22,17,8,73,66,225,45,440
LGA10470,172,842,238,302,37,1880,166,119,654,401,598,62,2000,10,7,28,31,56,11,143,12,4,47,57,376,17,511,8,11,45,47,200,58,368,703,488,2989,1847,5664,526,12216
LGA10550,127,355,122,133,17,851,124,89,505,338,495,58,1613,11,10,39,21,61,4,140,11,7,24,30,272,12,348,4,3,23,34,137,50,255,389,349,1791,1302,4194,472,8492
LGA10600,53,222,83,60,8,496,54,31,245,155,210,25,720,0,3,21,5,21,3,55,9,5,9,8,100,3,133,0,3,17,11,51,22,109,193,142,900,570,1392,170,3367
LGA10650,30,108,21,45,8,214,16,8,82,74,134,24,331,0,0,0,6,13,4,19,0,0,5,10,82,5,111,0,0,4,6,39,9,62,40,54,361,304,1030,154,1954
LGA10750,517,3371,945,1119,202,7966,1643,481,6160,2921,3694,587,15488,61,16,239,190,355,58,922,187,58,678,603,2303,145,3978,370,54,1092,743,1707,794,4759,11493,2427,31589,17258,31531,4729,99021
LGA10800,17,92,22,25,5,165,4,4,35,33,68,7,149,0,0,0,0,3,0,4,0,0,6,4,62,0,80,0,0,4,3,25,15,45,29,30,270,179,801,125,1442
LGA10850,20,99,31,36,7,222,23,16,106,60,111,11,328,0,0,8,0,9,0,13,0,0,6,21,65,3,97,3,0,11,12,30,20,70,87,65,431,304,1056,105,2047
LGA10900,510,2066,557,473,75,4881,602,324,1620,889,937,133,4501,74,40,160,113,188,15,586,60,14,150,134,575,29,957,77,14,178,126,307,95,796,3077,1406,7815,4726,8758,860,26646
LGA10950,5,42,9,13,0,73,0,5,18,18,32,5,76,0,0,0,0,0,0,3,0,0,4,3,17,3,28,0,0,3,0,15,3,22,16,16,132,91,325,46,626
LGA11100,86,571,153,140,34,1351,287,94,774,337,338,79,1906,25,3,96,55,81,11,263,43,3,136,105,330,28,643,80,7,211,89,187,94,669,2309,440,5700,2692,4063,674,15876
LGA11150,0,51,13,31,11,116,3,3,28,21,29,9,95,0,0,3,3,0,0,7,0,0,3,0,19,0,20,0,0,0,3,12,0,18,28,6,149,121,246,41,586
LGA11200,3,36,6,13,4,61,0,0,15,15,13,5,54,0,0,0,0,0,0,4,0,0,0,0,7,0,13,0,0,0,0,0,6,8,7,3,75,49,121,29,284
LGA11250,40,221,66,106,10,491,71,61,261,201,355,40,995,0,0,4,5,25,0,38,0,3,7,18,159,7,193,3,6,6,11,59,25,106,162,151,718,594,2268,239,4133
LGA11300,72,473,84,80,28,1080,332,63,812,296,226,59,1785,28,3,66,29,26,3,154,39,10,126,61,154,17,399,116,13,233,88,97,84,627,2528,381,5216,1833,1946,532,12438
LGA11350,147,528,164,123,34,1214,219,87,690,351,329,53,1726,26,14,118,51,49,9,259,8,6,56,61,229,9,367,32,14,180,103,161,66,558,765,413,3165,1710,3278,462,9793
LGA11400,31,205,79,82,9,455,50,32,221,139,159,27,639,0,0,11,8,14,0,24,3,0,11,23,132,0,171,3,3,11,14,72,35,141,204,110,926,675,1872,218,4007
LGA11450,250,1499,409,451,57,3269,294,169,1111,764,835,109,3290,17,7,63,70,131,16,292,16,8,96,177,867,45,1210,43,16,166,159,512,137,1030,1588,721,5882,4980,11476,1007,25654
