LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA10050,715,1154,2533,2334,2356,1940,515,60,5,11620,4,7,13,14,17,17,12,3,0,85,0,0,3,0,3,0,0,0,0,7,44,38,75,101,123,74,8,0,0,465,0,3,6,11,10,4,0,0,0,26,3,13,39,59,65,61,8,0,0,251,4,12,15,26,38,35,7,0,0,134,266,254,305,224,263,193,37,0,0,1539,309,228,199,135,117,99,26,0,0,1122,3,16,43,38,54,47,20,0,0,218,15,26,23,28,11,8,4,0,0,124,7,27,67,73,63,30,3,0,0,269,8,22,32,36,34,24,12,0,0,162,13,38,108,113,124,65,13,0,0,479,5,24,58,84,97,66,12,3,0,354,3,29,159,235,247,155,18,3,0,853,39,101,336,348,388,323,49,3,0,1584,41,214,636,590,641,586,82,0,0,2798,8,26,19,11,24,16,3,0,0,108,23,44,119,88,83,46,19,3,0,421
LGA10130,385,660,1208,1070,1319,1110,393,87,15,6252,9,14,72,61,65,75,82,14,0,407,0,0,0,0,3,0,0,0,0,6,11,7,6,17,22,10,7,0,0,80,0,0,0,0,3,0,0,0,0,7,0,0,9,15,13,20,0,3,0,69,5,3,9,10,6,8,7,0,0,55,156,136,118,96,121,87,17,0,0,726,156,130,82,43,51,47,10,0,0,521,0,3,4,10,9,18,3,0,0,46,5,6,4,18,7,10,3,0,0,50,3,20,27,44,29,24,4,0,0,147,3,10,17,5,23,10,0,0,0,65,9,31,63,69,75,54,7,0,0,317,4,10,43,49,56,46,6,0,0,218,0,7,38,48,54,44,13,3,0,208,17,78,257,330,444,332,50,0,0,1517,41,139,259,225,324,261,41,3,0,1288,3,6,7,4,11,3,0,0,0,32,15,31,32,31,48,26,3,0,0,181
LGA10250,501,534,1340,1777,2043,1846,594,89,24,8758,10,8,22,25,55,61,43,16,3,238,0,0,4,0,0,0,0,0,0,4,32,20,46,50,68,43,11,0,0,276,0,0,0,5,7,3,3,0,0,18,0,5,33,28,45,32,17,0,0,155,4,3,8,16,24,18,5,0,0,84,217,132,178,169,225,189,42,0,0,1149,202,105,149,131,148,109,29,0,0,864,0,7,10,16,28,36,7,0,0,102,6,4,10,18,14,17,5,0,0,75,3,17,33,41,43,38,3,3,0,175,3,10,27,35,53,38,10,0,0,174,6,27,58,140,110,92,23,0,0,470,9,9,42,62,90,63,13,0,0,286,0,6,49,115,132,86,4,0,0,401,15,39,200,328,399,320,45,0,0,1340,22,92,285,443,663,618,92,3,0,2214,9,15,14,25,25,11,8,0,0,100,13,36,49,67,73,42,11,0,0,292
LGA10300,24,55,74,108,121,131,38,4,0,547,0,3,13,7,17,19,10,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,9,13,7,0,0,0,38,3,5,10,14,7,7,0,0,0,47,0,0,4,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,3,3,6,8,0,0,0,20,0,3,4,5,4,5,0,0,0,28,3,5,11,18,14,10,0,0,0,58,3,10,15,16,25,20,0,0,0,91,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3
LGA10470,499,922,1999,1817,1927,1541,436,97,10,9245,9,11,24,34,38,43,46,11,3,211,0,7,4,0,0,0,0,0,0,12,38,32,50,84,114,55,18,0,0,389,0,0,18,20,15,11,0,0,0,57,3,16,53,45,47,34,3,0,0,204,9,8,12,10,13,16,6,0,0,74,178,206,230,189,164,126,19,3,0,1127,202,183,117,87,90,70,21,3,0,770,3,7,21,22,41,30,9,0,0,126,16,21,29,33,23,4,0,0,0,131,3,6,39,32,43,21,4,0,0,161,0,15,20,28,25,18,6,0,0,120,6,27,87,99,67,64,18,0,0,380,7,21,54,57,103,51,15,0,0,315,5,30,158,179,156,126,22,0,0,675,18,93,280,359,430,316,49,3,0,1553,38,184,389,400,465,405,55,4,0,1940,22,16,21,24,19,19,4,0,0,124,16,46,58,70,60,34,9,0,0,285
LGA10550,377,434,896,1138,1619,1666,466,86,14,6689,10,9,18,34,51,60,49,8,0,241,0,0,0,0,0,0,0,0,0,0,37,31,50,57,89,62,7,0,0,342,0,0,3,4,7,0,0,0,0,12,0,4,17,27,38,29,8,0,0,118,4,0,11,9,16,15,8,0,0,71,138,70,112,137,231,200,41,3,0,938,143,89,115,123,141,150,38,3,0,803,3,3,10,28,32,38,10,0,0,126,3,5,9,5,10,10,6,0,0,49,3,7,29,24,43,25,0,0,0,127,0,5,13,24,37,22,6,0,0,109,3,13,55,51,92,68,16,0,0,300,3,10,21,59,71,55,24,3,0,249,0,17,41,60,98,66,7,0,0,286,12,31,84,157,213,193,32,0,0,716,21,61,180,264,446,447,69,0,0,1493,9,5,10,23,27,22,7,0,0,104,21,21,38,33,42,44,10,0,0,202
LGA10600,127,125,339,459,592,611,179,41,7,2479,0,9,13,6,15,24,28,8,0,107,0,0,0,0,0,0,0,0,0,3,3,0,11,3,14,14,6,0,0,50,0,0,0,0,0,0,0,0,0,3,0,5,8,7,12,15,0,0,0,45,3,0,0,4,9,10,0,0,0,24,46,15,43,44,80,51,6,6,0,294,41,28,35,33,46,42,9,3,0,230,0,0,10,3,13,13,0,0,0,38,0,0,3,4,9,3,0,0,0,26,0,3,3,11,7,11,0,0,0,34,0,3,11,11,8,9,3,0,0,37,0,0,8,35,22,25,7,0,0,109,0,0,18,19,29,16,7,0,0,83,0,3,12,39,33,25,4,0,0,115,0,8,36,73,133,115,10,0,0,387,4,20,62,121,205,194,38,0,0,649,0,3,3,5,10,9,4,0,0,28,3,10,6,11,13,20,0,0,0,63
LGA10650,83,132,275,301,324,394,168,32,8,1722,8,11,17,23,23,30,20,9,3,144,0,0,0,0,0,0,0,0,0,0,0,3,8,24,20,23,3,0,0,82,0,0,0,3,0,3,0,0,0,9,0,0,3,4,13,12,0,0,0,34,0,0,5,5,13,6,0,0,0,23,33,14,24,25,36,48,15,0,0,181,22,19,23,31,32,35,9,0,0,176,0,0,3,11,13,16,4,0,0,45,0,0,0,0,4,3,0,0,0,5,0,0,8,7,3,0,0,0,0,17,0,3,3,0,3,3,3,0,0,18,4,3,18,13,15,10,0,0,0,66,0,3,4,6,10,12,11,0,0,43,0,0,7,14,13,7,3,0,0,39,3,8,44,49,52,31,6,0,0,191,9,20,55,54,69,116,25,0,0,347,3,0,3,3,9,0,0,0,0,15,0,7,8,19,15,7,0,0,0,52
LGA10750,3649,7888,20317,21465,16402,10462,2121,140,22,82472,3,17,53,77,96,45,8,0,0,305,0,4,14,21,13,3,0,0,0,47,69,202,716,995,1021,670,71,0,0,3740,3,11,91,117,86,41,3,0,0,357,45,123,502,463,346,215,46,0,0,1740,37,165,632,683,602,304,42,0,0,2455,1095,1455,1892,1766,1378,767,126,4,0,8485,1466,777,813,566,531,315,36,8,0,4513,31,171,541,635,625,359,38,0,0,2401,73,107,346,277,126,58,15,0,0,1008,65,416,1510,1378,821,453,40,0,0,4690,51,113,271,213,125,81,19,0,0,874,61,452,1263,1047,592,288,64,0,0,3781,35,251,707,605,546,341,59,0,0,2541,30,231,925,1129,1094,643,104,6,0,4161,172,592,1694,1810,1538,935,151,6,0,6896,270,1243,3723,3760,3338,2282,374,9,3,15010,106,139,170,142,108,70,7,0,0,747,122,231,573,477,413,242,50,4,0,2108
LGA10800,64,115,233,265,278,298,118,39,12,1414,5,4,11,40,55,41,31,12,0,205,0,0,12,12,4,0,0,0,0,37,3,0,3,9,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,3,4,3,8,3,0,0,0,25,0,0,0,3,8,3,0,0,0,16,18,14,18,11,31,33,8,0,0,132,14,7,19,28,25,21,3,0,0,113,0,0,0,10,5,9,4,0,0,24,0,0,0,0,4,3,0,0,0,9,0,0,9,3,7,0,0,0,0,13,0,0,5,0,0,3,0,0,0,11,0,6,13,9,3,6,0,0,0,43,0,0,3,4,15,10,0,3,0,32,0,4,10,14,14,10,0,0,0,49,3,13,34,44,29,36,4,0,0,158,4,13,28,25,38,39,6,3,0,164,0,0,0,0,5,0,0,0,0,3,6,4,12,11,3,7,4,0,0,48
