LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,41,111,234,186,175,140,39,11,0,935,51,101,147,134,180,133,67,13,0,838,1527,2314,4826,4616,4817,3830,877,86,10,22907
LGA10130,28,62,78,68,84,61,11,9,0,401,25,37,75,63,60,42,34,8,3,340,838,1306,2288,2180,2698,2207,665,119,27,12327
LGA10250,30,65,94,126,139,120,31,0,0,614,39,30,88,156,134,121,57,14,11,654,1064,1081,2574,3571,4304,3717,990,122,36,17463
LGA10300,0,0,3,0,4,3,3,0,0,21,8,11,3,10,11,9,8,0,0,57,41,81,154,191,220,232,52,8,3,982
LGA10470,39,88,150,161,124,87,32,4,0,677,53,58,127,128,122,105,41,15,3,649,1103,1874,3697,3638,3887,3048,777,129,19,18165
LGA10550,35,38,73,75,101,103,24,3,0,461,37,38,39,83,108,117,39,7,4,476,801,815,1746,2299,3344,3219,806,111,11,13153
LGA10600,7,20,22,39,38,35,4,0,0,161,16,8,18,22,33,46,16,12,4,181,241,230,624,914,1278,1229,315,67,11,4890
LGA10650,8,23,17,39,26,23,6,4,0,148,12,13,15,27,31,35,15,4,0,150,168,226,515,611,671,758,273,48,11,3282
LGA10750,268,561,1338,1228,1102,705,167,13,0,5381,390,980,2222,2142,1786,1031,234,30,8,8820,7534,14896,37579,38413,30423,18947,3449,197,33,151468
LGA10800,15,14,25,17,13,19,0,0,0,105,10,15,13,16,16,19,11,3,8,105,124,195,423,502,526,523,182,61,16,2541
LGA10850,15,13,25,32,31,19,0,0,0,140,9,9,15,26,22,23,14,4,0,132,180,230,517,650,772,609,209,45,15,3222
LGA10900,63,113,184,249,287,226,70,7,0,1194,64,110,202,230,288,222,82,20,3,1229,1944,2660,5392,7684,8762,7329,1899,169,20,35860
LGA10950,3,3,4,7,7,0,3,4,0,33,5,3,7,6,9,10,7,0,0,42,57,104,218,205,294,175,82,39,5,1173
LGA11100,21,84,225,197,180,117,35,0,0,857,23,103,336,233,210,128,31,5,0,1074,774,2265,6596,5588,4434,2610,634,51,8,22963
LGA11150,5,4,5,7,6,4,4,0,0,33,3,3,8,4,16,5,5,0,0,48,25,80,233,182,233,169,72,14,3,1000
LGA11200,0,3,3,3,3,0,0,0,0,11,0,0,3,6,6,4,3,0,0,22,15,36,101,87,126,102,28,0,0,498
LGA11250,15,32,72,47,54,61,16,7,0,294,7,32,44,29,48,57,8,6,8,251,379,601,1410,1259,1543,1386,280,33,11,6902
LGA11300,14,60,151,98,117,81,31,3,0,554,40,149,385,164,184,123,22,3,3,1069,570,2032,5503,3302,3122,2062,499,64,9,17174
LGA11350,17,20,85,109,133,78,20,0,0,468,39,51,159,187,182,144,49,11,5,834,582,727,2283,3028,3327,2831,683,85,16,13557
LGA11400,20,14,46,37,43,39,12,0,0,213,21,21,29,40,47,43,21,17,3,251,351,360,883,1240,1477,1157,447,106,11,6032
LGA11450,110,187,411,356,303,195,39,3,0,1599,117,202,438,453,378,219,79,13,9,1909,2571,3796,9724,9938,8109,4767,1006,81,23,40014
LGA11500,114,340,564,481,436,373,96,4,0,2413,210,475,993,840,803,574,130,18,3,4038,3555,7505,16261,14857,13855,10662,1996,125,14,68841
LGA11520,47,121,350,296,331,215,75,10,0,1445,46,161,616,432,394,235,99,15,5,2001,1291,3531,12629,10665,8794,5806,1744,207,26,44699
LGA11570,202,596,1407,1491,1264,845,177,20,0,6004,321,1012,2290,1982,1922,1208,241,47,20,9043,5658,14478,34834,31707,28829,18654,3661,327,32,138192
LGA11600,0,0,3,3,4,6,0,0,0,24,7,5,4,15,19,6,7,3,0,63,77,109,265,253,309,254,72,27,5,1384
LGA11650,271,657,1237,1211,1320,912,230,26,3,5868,332,591,1019,1193,1345,967,301,75,21,5841,8614,12714,26212,29776,32560,23909,5250,496,72,139593
LGA11700,0,0,0,3,6,5,0,0,0,11,0,0,6,4,0,3,6,0,0,20,15,36,96,95,122,145,45,12,0,564
LGA11720,63,170,288,221,217,108,27,3,0,1103,49,108,173,195,214,150,28,15,8,941,1379,2104,4668,4677,4681,3358,668,83,15,21626
LGA11730,37,78,130,142,183,113,35,3,0,727,47,53,89,120,153,132,55,27,3,681,1077,1242,2490,3416,4311,3901,934,165,30,17565
LGA11750,5,13,18,11,13,6,0,0,0,64,8,11,9,18,12,9,5,0,4,70,82,166,491,409,406,354,84,22,4,2014
LGA11800,60,117,247,205,263,188,59,4,0,1156,59,100,205,236,247,179,57,18,3,1113,1898,2385,5375,6077,6916,5645,1197,109,14,29620
LGA12000,0,8,11,12,7,5,0,0,0,48,3,8,12,12,16,11,4,10,0,70,88,146,241,321,433,328,117,32,7,1728
LGA12150,3,7,11,6,10,12,3,0,0,44,6,3,12,14,10,13,8,3,0,67,52,102,260,229,334,297,114,28,7,1419
