LGA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
LGA10050,7,20,10,20,32,41,28,70,3,229,4,0,3,0,5,3,4,24,0,41,36,37,47,81,347,463,329,301,8,1646,4,3,3,8,40,36,26,25,4,151,50,60,48,104,307,576,271,418,17,1856,10,15,15,20,77,90,73,106,0,400,33,178,87,118,213,161,141,150,12,1089,19,215,76,74,117,87,80,128,11,810,28,42,51,78,141,147,96,239,9,832,0,6,5,9,35,33,25,23,3,148,3,3,11,8,26,53,22,36,0,164,6,10,6,4,18,22,14,45,3,133,11,25,20,51,84,125,61,123,3,510,6,43,25,50,74,63,26,50,8,335,35,18,30,56,253,182,126,120,10,822,13,42,33,50,124,122,78,136,10,609,18,34,61,101,157,135,65,105,12,682,5,22,11,6,18,23,15,17,0,107,7,40,31,31,116,114,71,110,5,513,16,35,29,34,107,107,40,86,100,547
LGA10130,23,36,63,48,157,136,80,357,11,925,3,0,0,3,4,5,10,22,0,52,5,9,6,23,56,58,28,49,3,241,3,0,3,7,23,27,11,10,0,79,24,29,26,37,111,175,93,136,11,641,3,12,5,3,19,18,18,52,3,137,21,124,62,63,124,74,48,73,10,603,15,127,49,48,48,35,26,81,12,433,3,32,18,22,24,33,30,62,5,230,3,6,0,4,21,11,5,8,0,62,0,8,0,6,26,24,16,26,0,105,0,6,8,3,7,6,5,17,0,58,4,33,16,30,71,58,34,75,3,328,3,39,31,18,32,27,21,15,3,197,19,27,20,23,143,55,56,37,5,389,21,93,42,54,246,155,81,175,14,872,14,41,45,72,82,69,26,57,3,401,0,8,4,6,9,8,8,10,0,59,9,12,6,9,57,36,35,46,4,218,11,18,4,13,28,33,17,29,41,210
LGA10250,13,56,52,56,68,107,40,137,4,534,17,0,0,3,0,11,11,55,0,107,5,20,33,45,149,114,64,114,3,557,6,3,3,10,39,25,12,14,0,113,46,60,88,161,222,395,129,270,24,1397,5,9,6,20,46,44,25,49,3,210,22,146,88,102,189,113,84,133,4,879,14,145,83,90,92,66,29,113,10,640,17,43,37,46,63,58,43,93,0,403,0,4,6,9,22,25,9,22,0,97,0,11,10,14,33,50,15,34,0,168,4,21,13,10,18,24,19,46,3,152,6,40,39,39,57,118,51,115,6,471,10,45,39,39,58,30,11,32,9,268,24,26,21,38,204,104,105,68,4,597,11,55,51,57,140,102,52,118,3,595,27,51,82,130,145,151,55,87,14,741,9,30,10,10,13,27,15,18,0,125,11,27,15,23,71,70,35,67,4,327,15,35,27,28,55,55,12,50,93,369
LGA10300,0,4,3,12,17,50,17,109,3,220,0,0,0,0,0,0,0,3,0,5,0,0,0,0,10,9,3,4,0,24,0,0,0,0,10,0,0,0,0,18,0,3,3,3,5,9,4,11,0,41,0,0,0,0,0,3,0,0,0,9,0,12,4,6,6,4,8,9,0,43,0,0,3,0,3,0,0,14,0,25,3,3,4,3,6,6,3,10,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,17,3,0,3,3,26,0,0,0,3,3,4,3,0,0,19,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,4,4,8,0,21,0,8,0,0,8,7,0,10,12,42
LGA10470,19,24,25,32,44,89,43,206,7,491,9,3,6,4,14,39,51,113,3,242,22,24,37,30,264,274,173,276,4,1105,3,0,4,11,52,51,14,29,0,170,32,39,40,63,228,362,184,334,24,1305,3,15,3,3,46,56,27,72,0,233,19,138,61,70,174,107,71,131,8,790,16,153,56,54,82,62,38,75,9,535,12,33,28,43,72,77,56,174,10,512,11,18,5,4,48,18,13,19,3,139,0,4,0,7,13,20,19,30,3,93,6,7,3,4,21,34,14,31,0,122,12,28,11,21,80,69,30,86,5,343,6,20,35,15,60,38,29,24,3,229,45,35,24,45,332,236,109,85,8,916,22,57,44,43,154,116,59,123,10,627,20,46,47,56,109,115,38,63,3,498,4,24,9,4,26,11,6,15,5,114,7,38,10,17,88,80,42,96,3,390,21,27,18,24,68,59,33,61,88,392
LGA10550,37,63,33,54,78,92,62,270,11,690,9,0,0,0,0,4,4,12,0,28,22,27,40,36,181,159,126,116,9,720,3,0,4,0,39,37,18,18,0,119,36,56,62,97,172,332,125,192,6,1083,3,11,15,13,45,28,23,24,0,176,18,90,67,71,123,58,60,98,4,590,29,128,50,89,91,58,41,105,18,605,14,24,30,30,30,45,34,95,4,317,0,8,8,4,13,13,11,8,0,58,0,3,4,3,11,7,4,12,0,48,0,11,5,8,8,9,6,19,3,72,9,44,20,34,18,45,30,57,3,259,14,47,25,28,21,28,12,18,3,183,30,18,10,21,176,62,50,35,3,411,14,34,26,27,37,56,21,48,0,269,24,30,47,69,85,62,31,49,3,406,10,17,10,11,22,27,6,15,0,113,8,20,18,20,53,58,31,52,4,257,6,22,28,13,47,42,18,42,76,298
LGA10600,9,29,14,30,16,27,21,99,9,248,3,0,0,0,4,3,0,15,0,27,14,19,18,24,65,48,23,27,0,227,0,5,0,3,8,4,4,4,0,30,11,46,46,55,69,81,29,73,5,412,0,0,3,10,10,14,3,8,3,55,3,36,12,26,36,12,18,35,5,187,3,42,11,28,18,17,11,29,0,155,3,7,11,19,20,11,9,37,5,118,0,0,0,6,11,12,3,3,0,37,3,0,4,3,5,3,4,4,0,26,0,0,3,3,4,4,3,14,0,33,3,15,18,13,12,22,8,27,0,109,3,28,18,9,6,12,4,9,0,97,0,4,7,12,60,28,16,13,4,146,3,18,14,23,25,24,17,28,0,158,6,15,21,41,30,19,17,27,3,175,7,3,9,11,6,4,0,4,0,44,0,4,8,12,21,16,12,18,0,98,5,13,9,6,8,15,3,12,14,89
LGA10650,24,23,14,37,21,78,34,220,11,463,3,0,0,0,0,0,0,0,0,3,10,4,10,3,34,39,34,44,0,175,0,0,0,4,11,6,3,4,0,40,11,3,9,11,22,56,19,53,4,187,0,4,0,4,4,18,15,19,3,68,0,20,4,4,20,12,8,26,0,100,4,12,12,13,15,10,8,34,5,107,8,12,12,10,8,15,8,50,4,136,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,9,3,7,0,32,0,7,0,0,0,0,3,10,0,20,3,3,0,3,29,20,12,9,0,77,0,13,0,3,7,9,7,10,0,47,0,4,4,4,12,9,3,10,0,50,0,0,0,0,6,3,5,0,0,17,0,6,3,3,16,17,9,31,0,90,12,4,0,4,14,17,4,6,26,86
LGA10750,9,29,30,29,91,86,44,65,4,377,4,0,3,5,42,42,20,38,7,158,136,221,258,283,2923,2269,1191,1381,81,8750,16,23,25,46,353,332,140,248,15,1194,175,352,473,636,1757,3142,1349,2359,194,10442,50,96,119,130,1409,1325,611,673,45,4455,171,985,788,675,1718,1442,682,974,110,7550,97,954,632,394,652,509,238,381,70,3934,185,354,452,649,2047,2172,1064,1951,166,9039,40,77,62,63,669,686,215,246,13,2070,92,68,88,144,1318,1411,407,473,34,4034,12,49,34,31,206,308,132,209,10,986,70,198,199,193,1235,1900,562,771,46,5160,53,248,282,296,691,607,200,241,46,2664,165,119,208,244,1811,1198,688,563,59,5042,39,374,186,214,685,538,219,344,27,2617,92,230,343,431,1308,1032,283,406,70,4193,27,130,75,88,170,178,64,105,10,846,53,171,189,176,803,834,413,579,44,3271,102,289,309,311,1233,1260,416,647,1111,5676
LGA10800,12,34,17,27,33,92,34,262,14,523,6,3,3,0,10,14,30,108,0,179,0,4,0,5,13,8,5,14,0,56,0,0,0,0,0,4,0,0,0,10,3,3,3,8,21,25,15,32,0,107,0,3,4,0,3,7,3,13,0,32,3,18,4,6,8,17,3,15,0,77,0,6,4,0,3,3,3,16,3,32,3,8,8,4,11,20,5,25,4,84,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,3,0,0,10,0,4,9,0,24,0,3,0,0,3,0,0,0,0,15,7,0,0,6,31,13,10,10,0,75,0,7,3,0,9,4,4,3,0,34,0,0,0,3,3,3,3,8,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,19,13,7,16,0,61,3,3,0,7,3,8,3,17,22,69
