LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA10050,18,114,108,106,186,172,95,137,12,935,25,96,63,59,142,127,49,107,170,838,838,2768,2344,2972,4362,3897,2275,3062,388,22907
LGA10130,15,59,35,36,91,55,49,53,9,401,18,40,22,28,43,40,23,46,79,340,501,1738,1253,1474,2529,1726,968,1899,240,12327
LGA10250,22,76,73,78,121,106,45,82,9,614,20,81,68,68,91,75,20,62,169,654,595,2330,2164,2647,3265,2581,1232,2308,342,17463
LGA10300,0,0,0,4,4,9,4,8,0,21,3,11,4,4,11,6,0,10,20,57,29,84,99,118,161,173,64,225,31,982
LGA10470,17,92,59,65,142,114,64,117,8,677,42,72,39,53,104,83,34,83,143,649,730,2218,1749,1949,3746,3075,1585,2762,354,18165
LGA10550,17,59,55,52,85,75,40,72,4,461,17,60,44,43,59,48,23,64,125,476,628,1894,1493,1915,2269,1871,1027,1793,271,13153
LGA10600,7,26,22,27,28,20,23,26,3,161,12,29,29,17,19,23,8,11,37,181,201,745,641,821,774,622,322,661,101,4890
LGA10650,3,17,11,8,22,17,12,42,0,148,13,18,7,16,19,19,11,9,46,150,173,404,323,403,443,487,279,685,89,3282
LGA10750,115,528,501,481,1317,1146,527,703,64,5381,185,587,609,607,1937,1753,517,766,1854,8820,4142,13247,13582,14466,39287,33798,12694,16630,3625,151468
LGA10800,0,16,7,11,30,18,11,21,0,105,3,3,4,9,6,10,3,16,43,105,87,283,217,260,329,386,187,711,79,2541
LGA10850,3,17,11,16,30,19,23,27,0,140,9,15,5,5,22,19,7,12,27,132,128,374,317,350,477,482,317,714,68,3222
LGA10900,38,168,135,162,196,202,110,177,15,1194,47,154,98,95,183,235,74,159,176,1229,1246,4651,4257,4240,6161,6165,3349,5322,476,35860
LGA10950,0,0,5,3,3,5,4,5,0,33,5,3,7,4,3,9,3,3,15,42,25,106,97,116,160,168,116,346,33,1173
