LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA10050,0,3,0,346,87,13,0,102,9,43,3,25,4,24,272,583,7,0,0,18,3,4,0,0,8,9,9,62,1085,194,40,1837,202,793,68,254,39,347,295,5160
LGA10130,0,0,0,197,67,5,0,64,3,27,9,5,3,21,175,377,0,0,0,0,0,0,0,0,0,3,6,15,638,120,27,798,75,414,30,132,29,239,179,2680
LGA10250,3,5,0,320,75,23,3,82,8,38,0,30,3,28,226,517,4,0,5,11,0,3,0,0,0,3,10,37,812,272,41,1327,116,560,51,282,48,336,246,4083
LGA10300,0,0,0,13,7,3,0,7,3,4,0,3,0,3,14,40,0,0,0,0,0,0,0,0,0,0,0,3,52,5,3,72,10,46,0,11,0,18,14,236
LGA10470,0,7,0,328,91,9,6,83,6,49,7,22,0,30,230,525,6,0,0,11,0,3,0,0,0,10,5,43,1134,148,36,1361,189,646,42,166,45,286,246,4308
LGA10550,3,7,0,122,54,18,6,71,7,32,3,28,0,37,205,458,3,0,0,0,0,0,0,3,0,4,10,21,539,190,35,879,84,407,38,186,33,274,223,2892
LGA10600,0,3,0,47,12,7,0,24,0,10,4,13,3,10,67,157,0,0,0,0,0,3,0,0,0,0,3,11,185,119,6,303,33,172,13,110,10,127,81,1171
LGA10650,0,0,0,31,16,0,0,17,0,12,5,3,3,8,37,98,3,0,0,5,0,0,0,0,0,3,0,13,162,26,11,246,29,102,12,29,17,53,38,722
LGA10750,22,108,12,4532,776,79,49,489,66,551,43,170,82,476,1766,4535,46,10,33,49,6,28,7,14,20,72,170,456,13369,1408,398,10732,1471,11221,389,2580,648,4829,2073,49127
LGA10800,0,0,0,33,20,3,0,23,0,5,0,0,0,6,30,101,3,0,0,0,0,0,0,0,0,0,0,3,148,18,15,181,17,73,4,26,3,39,36,558
LGA10850,0,0,0,65,14,5,0,23,0,8,0,3,0,7,45,104,0,0,0,0,0,0,0,0,0,0,0,5,191,28,7,269,29,131,11,31,12,50,44,805
LGA10900,3,14,0,1209,157,33,11,209,14,104,7,23,14,74,440,1088,13,0,0,10,0,3,0,0,0,17,11,67,2020,438,60,3009,327,1623,98,437,99,580,460,9148
LGA10950,0,0,0,13,21,0,0,9,0,4,0,3,0,0,24,70,0,0,0,0,0,0,0,0,0,0,4,8,73,8,5,77,7,44,0,17,5,13,27,269
LGA11100,0,7,0,801,100,14,9,75,3,52,6,24,8,59,255,598,9,0,6,9,0,0,0,0,3,9,21,54,1478,220,44,1459,206,1009,42,317,51,530,294,5657
LGA11150,0,0,0,13,18,3,0,8,0,3,0,0,0,0,18,49,0,0,0,0,0,0,0,0,0,0,6,7,74,4,3,53,10,28,0,5,0,21,22,216
LGA11200,0,0,0,3,10,0,0,0,0,0,0,3,3,3,8,24,0,0,0,0,0,0,0,0,0,3,0,5,30,3,0,15,0,20,0,8,3,23,8,114
LGA11250,0,0,3,111,36,5,0,25,3,16,0,12,3,19,110,236,5,0,0,8,0,0,0,0,3,8,7,23,331,47,14,375,52,225,22,94,28,167,119,1484
LGA11300,8,28,3,756,63,15,9,47,8,32,0,11,9,38,207,432,3,0,7,3,0,3,0,0,3,0,13,30,968,180,34,891,112,790,28,272,44,473,222,4024
LGA11350,0,6,0,224,44,31,5,71,5,26,6,25,4,33,214,460,7,0,0,4,3,3,0,3,0,0,9,28,436,354,42,798,67,342,48,252,46,239,240,2862
LGA11400,3,0,3,150,48,9,0,38,3,8,0,5,0,18,93,223,3,0,0,0,0,0,0,0,0,0,4,21,406,57,13,550,56,219,22,48,23,90,106,1593
LGA11450,0,23,0,1507,226,18,9,170,30,130,20,29,18,61,412,1129,22,3,3,20,5,13,3,3,8,8,24,104,3322,307,122,3688,575,2136,109,352,111,568,456,11745
LGA11500,11,36,3,1418,328,34,16,246,38,262,15,101,45,269,725,2073,35,3,12,14,3,19,4,3,3,48,72,212,4792,612,152,4445,576,4906,169,1286,313,2287,856,20390
LGA11520,12,48,6,3041,173,36,5,162,26,93,4,24,9,98,522,1159,5,0,10,10,3,6,4,0,3,10,12,73,2728,380,65,2944,423,2073,98,482,90,902,558,10740
LGA11570,23,214,6,3815,457,100,73,416,62,565,32,284,121,741,1953,4804,42,0,31,27,11,36,3,13,45,89,236,539,8005,1724,356,8549,1027,10705,362,4432,873,7921,2380,46332
LGA11600,0,0,0,19,11,3,0,8,0,6,0,3,0,0,14,53,0,0,4,0,0,0,0,0,0,0,0,3,63,17,5,93,17,43,5,12,4,6,17,281
LGA11650,17,51,0,3229,648,122,48,789,84,410,37,175,65,328,1730,4450,38,13,32,63,3,30,3,12,11,47,88,342,7213,1472,337,11921,1258,6574,401,1828,477,2930,1908,36311
LGA11700,0,0,0,7,7,0,0,4,0,3,0,0,0,3,5,27,3,0,0,0,0,0,0,0,0,0,0,7,35,5,4,14,3,32,0,5,0,36,8,141
LGA11720,0,8,0,429,100,14,6,102,15,63,7,40,12,61,259,671,7,0,7,7,0,8,0,3,0,8,15,53,1040,228,66,1729,195,1122,78,332,81,709,293,5869
LGA11730,0,9,0,151,79,29,9,103,11,52,3,30,6,66,237,626,4,4,3,6,0,0,0,0,9,10,8,47,763,252,38,1154,124,712,61,311,80,588,265,4348
LGA11750,0,0,0,49,14,0,0,13,0,3,0,0,0,3,26,60,0,0,0,0,0,0,0,0,0,3,0,6,110,8,7,122,13,105,9,8,16,22,30,460
LGA11800,0,10,0,387,134,36,4,136,15,75,10,43,6,76,370,912,6,3,6,10,3,0,0,0,3,17,21,62,1463,433,51,2152,205,1133,88,435,74,685,413,7141
LGA12000,0,5,0,32,18,0,0,16,4,0,0,0,0,5,28,68,0,0,0,3,0,0,0,0,0,0,0,3,114,15,3,130,21,62,4,14,5,44,29,449
LGA12150,0,0,0,9,17,0,0,11,0,0,0,0,0,5,10,53,0,0,0,0,0,0,0,0,0,0,3,8,75,9,5,69,15,41,13,12,4,33,18,291
LGA12350,0,0,0,55,36,3,4,25,4,16,0,3,3,17,48,155,0,0,3,0,0,0,0,0,0,8,0,11,274,41,13,366,37,166,16,44,17,133,56,1163
