LGA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA10050,0,0,0,0,3,0,3,6,22,0,24,0,4,0,6,0,3,3,10,12,0,21,0,10,3,13,9,9,13,27,46,0,69,3,28,3,33,10,12,22,53,51,0,106,3,49,0,53,12,16,37,84,105,0,197,8,81,11,101,11,10,25,126,137,0,268,50,76,6,135,9,8,19,156,123,0,279,69,78,10,155,11,4,16,173,107,0,276,80,68,9,157,8,8,11,176,74,0,249,68,38,9,114,3,3,9,122,43,0,160,63,18,7,93,0,0,3,92,26,0,124,59,17,8,77,0,0,0,79,15,0,92,64,13,3,81,0,0,0,83,19,0,94,22,7,0,34,0,0,0,34,9,0,38,5,0,0,8,0,0,0,9,0,0,9,14,3,0,18,0,0,0,19,3,0,20,10,0,0,10,0,0,0,10,5,0,15,65,33,5,103,8,3,9,113,49,0,168,7,4
LGA10130,3,3,0,6,0,0,0,6,10,0,16,0,0,0,0,0,0,0,0,4,0,6,0,16,0,12,3,0,5,25,15,0,40,4,12,0,16,8,0,8,19,31,0,54,0,17,0,21,5,5,12,35,38,0,75,10,32,7,51,6,14,18,66,88,0,153,28,49,0,74,6,4,16,91,69,0,159,35,50,3,87,0,0,0,92,57,0,148,45,40,3,88,0,0,3,89,54,0,141,51,15,0,66,0,0,0,66,27,0,100,36,14,0,53,0,0,0,53,16,0,71,28,5,0,36,0,0,0,36,18,0,50,32,7,0,41,0,0,0,41,11,0,53,11,7,0,15,0,0,0,15,9,0,21,0,0,0,3,0,0,0,3,0,0,3,8,3,0,11,0,0,0,11,3,0,13,0,0,0,0,0,0,0,0,3,0,3,39,12,3,53,3,3,4,56,26,4,90,3,0
LGA10250,0,0,0,0,0,0,0,0,14,0,16,0,3,0,6,0,3,3,4,4,0,11,0,10,0,12,6,3,9,26,25,0,52,0,11,0,14,3,8,15,28,35,0,61,5,45,3,50,5,7,13,65,56,0,120,10,82,11,97,11,13,16,121,81,0,204,29,107,6,142,4,10,11,159,95,0,257,50,67,4,121,0,7,7,123,87,0,211,84,64,0,145,0,3,3,144,85,0,231,63,39,7,117,0,0,3,120,52,0,166,51,18,3,69,0,0,0,69,23,0,89,51,18,3,71,0,0,0,71,16,0,88,57,13,0,68,0,0,0,68,22,0,86,19,0,0,28,0,0,0,28,5,0,33,3,3,0,11,0,0,0,11,3,0,11,9,0,0,11,0,0,0,15,3,0,13,3,4,0,7,0,0,0,7,4,0,12,57,41,3,103,3,3,7,108,45,3,162,4,7
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,4,0,12,0,3,0,3,0,0,0,3,4,0,7,0,0,0,3,0,0,0,3,3,0,11,0,0,0,4,0,0,0,4,0,0,3,3,0,0,4,0,0,0,4,0,0,3,0,0,0,3,0,0,0,3,0,0,4,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,6,7,0,11,0,0
LGA10470,0,0,0,0,3,0,3,6,11,0,13,0,3,0,3,0,0,0,3,9,0,13,0,13,3,17,5,3,8,19,42,0,57,3,17,4,29,6,5,14,40,42,0,79,6,30,3,34,9,3,14,45,66,0,112,17,63,3,83,13,19,35,116,105,0,224,34,52,9,95,3,9,16,106,104,0,207,50,48,6,105,4,4,9,105,85,0,197,82,70,0,147,0,0,0,147,55,0,205,65,35,3,107,3,0,6,109,41,0,149,57,29,4,87,0,0,0,87,22,0,108,49,11,0,61,0,0,0,61,20,0,82,60,16,3,80,0,0,0,80,10,0,90,23,3,0,25,0,0,0,25,0,0,21,9,0,0,12,0,0,0,12,0,0,17,10,0,0,9,0,0,0,14,3,0,13,7,0,0,7,0,0,0,7,3,0,9,59,34,3,93,3,5,9,101,55,6,167,3,0
LGA10550,0,0,0,0,0,3,3,7,11,0,18,0,3,0,3,0,0,0,6,10,0,11,3,7,0,8,3,0,8,15,25,0,40,3,15,0,24,3,3,11,28,27,0,56,3,32,5,40,0,8,9,46,60,0,110,16,64,5,80,0,11,11,90,58,0,151,20,59,3,87,3,7,8,95,72,3,165,30,43,3,77,0,0,7,83,63,0,140,47,34,6,88,0,0,4,87,46,0,132,37,21,3,61,0,0,0,63,33,0,87,32,12,0,45,0,0,0,48,11,0,57,19,6,0,26,0,0,0,30,18,0,46,20,9,0,26,0,0,0,26,8,0,36,5,6,0,9,0,0,0,9,11,0,17,3,0,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,0,3,0,0,3,53,35,4,98,6,3,10,102,59,3,166,3,4
LGA10600,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,12,0,18,0,7,0,14,3,0,7,14,10,0,25,3,12,0,15,3,3,6,23,22,4,49,8,27,0,40,4,10,8,44,48,0,98,8,35,4,49,4,0,3,50,31,0,86,13,19,0,32,0,3,3,33,40,0,73,24,29,0,53,0,0,0,52,30,0,83,10,16,0,27,0,0,0,26,15,0,44,21,7,0,25,0,0,0,25,3,0,29,5,0,3,12,0,0,0,12,8,0,23,14,0,3,15,0,0,0,19,3,0,22,4,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,6,23,31,0,54,3,3,6,62,28,0,93,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,6,0,14,0,7,0,3,0,3,3,10,5,0,11,0,8,0,6,0,0,3,10,19,0,26,3,12,0,14,0,3,9,21,8,0,31,3,10,0,10,0,0,0,13,20,0,33,7,11,0,23,0,3,3,24,6,0,31,19,5,0,23,0,0,0,23,8,0,35,6,8,0,15,0,0,0,15,4,0,18,4,0,0,4,0,0,0,4,3,0,8,8,0,0,9,0,0,0,9,0,0,6,10,0,0,11,0,0,0,11,3,0,15,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,19,0,0,0,19,9,0,31,3,0
LGA10750,3,6,4,13,28,26,51,65,236,0,298,3,12,0,22,9,9,25,41,75,6,124,6,47,3,54,40,40,84,139,313,3,451,13,89,16,110,37,47,81,193,389,5,585,13,159,13,192,63,63,124,318,611,0,927,90,307,26,429,49,69,119,545,827,6,1381,243,337,34,613,46,58,101,719,855,12,1582,395,327,42,759,43,37,81,838,744,8,1592,606,300,42,949,34,30,67,1014,692,8,1720,568,219,32,822,24,17,35,857,485,9,1347,506,127,28,660,8,9,16,675,323,0,999,404,108,28,535,13,13,23,563,261,3,824,692,148,36,872,10,16,28,895,309,3,1210,333,84,11,430,8,5,11,446,151,0,600,165,21,5,195,6,3,10,202,39,0,242,122,15,11,150,3,3,9,158,49,3,208,118,14,4,139,3,0,4,141,61,0,205,364,196,55,618,28,25,59,674,555,29,1253,46,15
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,3,4,0,4,4,5,0,13,0,4,0,5,0,0,0,6,8,0,22,3,12,0,16,0,0,0,16,13,0,26,3,6,0,7,0,0,4,10,16,0,33,6,4,0,13,0,0,0,9,17,0,25,7,0,3,9,0,0,0,13,13,0,27,9,6,0,17,0,0,0,17,8,0,18,0,0,3,6,0,0,0,6,0,0,6,6,3,0,9,0,0,0,9,3,0,10,11,0,0,6,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,3,13,0,0,0,13,3,0,13,4,0
