LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA10050,0,10,0,3,3,13,20,17,55,603,535,80,1212,92,86,171,1381,862,21,2267
LGA10130,8,10,3,0,4,11,17,10,46,336,287,27,649,40,38,76,720,499,19,1237
LGA10250,3,11,0,0,0,16,28,10,49,508,537,51,1093,35,54,89,1184,682,17,1884
LGA10300,0,0,0,0,0,0,3,0,3,18,21,5,35,3,7,6,44,34,0,77
LGA10470,3,10,0,0,0,8,24,10,45,537,418,42,1001,47,52,100,1101,697,20,1811
LGA10550,0,4,0,0,0,9,9,7,24,303,358,32,687,30,40,65,757,509,18,1283
LGA10600,0,0,0,0,0,0,5,5,9,130,187,18,342,20,23,44,382,266,8,662
LGA10650,0,3,0,0,0,3,7,5,7,80,60,12,158,7,9,17,177,108,7,283
LGA10750,24,89,11,5,18,103,204,120,432,4702,2532,408,7638,481,466,951,8583,7165,225,15976
LGA10800,0,4,0,0,0,4,6,0,12,70,45,8,120,5,3,11,128,95,5,227
LGA10850,0,3,0,0,0,4,8,0,10,78,62,7,148,15,8,22,173,125,6,297
LGA10900,3,21,0,0,0,18,23,8,54,1014,851,70,1937,43,60,98,2038,1129,24,3182
LGA10950,0,0,0,0,0,0,0,0,5,22,22,3,47,5,3,7,57,47,0,107
LGA11100,4,14,3,0,3,12,21,17,49,650,330,59,1037,38,45,89,1125,740,34,1898
LGA11150,0,3,3,0,3,4,9,4,13,41,16,0,51,4,4,6,65,62,5,130
