LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA10050,28,39,204,233,68,595,29,309,26,1527,91,221,532,470,208,387,99,250,41,2314,424,1195,880,626,488,433,304,427,49,4826,678,1062,633,519,655,319,310,373,69,4616,672,987,576,513,829,382,375,421,68,4817,477,794,442,379,616,315,320,440,49,3830,126,180,80,71,132,72,96,96,25,877,20,14,9,6,8,3,10,12,6,86,0,3,0,0,0,0,0,0,4,10,2508,4502,3364,2820,3004,2504,1542,2328,333,22907
LGA10130,26,17,102,151,41,303,24,164,15,838,70,150,162,265,123,251,54,218,16,1306,214,557,328,312,252,193,88,333,20,2288,330,644,240,226,307,139,66,210,25,2180,465,740,253,255,415,163,117,258,27,2698,397,599,240,188,305,111,108,212,33,2207,235,150,39,34,67,29,28,59,20,665,69,10,5,3,13,5,3,10,5,119,16,0,0,0,3,0,0,0,0,27,1816,2865,1373,1426,1524,1191,497,1469,163,12327
LGA10250,13,14,106,165,34,436,18,273,16,1064,50,88,238,216,88,220,50,135,9,1081,245,606,486,331,234,248,113,284,36,2574,481,1005,523,408,420,237,129,295,65,3571,646,1052,522,534,583,330,187,389,57,4304,562,903,423,393,538,297,205,345,56,3717,234,211,84,54,131,90,75,80,30,990,59,18,3,3,6,7,6,15,8,122,9,3,0,0,0,3,0,0,13,36,2293,3896,2391,2098,2030,1850,785,1828,288,17463
LGA10300,0,0,9,13,4,9,3,10,0,41,12,9,10,6,9,5,9,20,4,81,20,18,23,18,16,7,20,29,3,154,57,24,19,19,19,3,12,37,3,191,54,8,23,25,24,8,24,43,7,220,59,19,24,16,27,8,31,43,11,232,14,7,3,0,5,0,5,6,3,52,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,216,83,116,95,104,40,100,195,28,982
LGA10470,27,26,140,188,32,395,19,243,23,1103,76,175,336,474,147,347,68,246,18,1874,349,777,749,497,384,337,192,353,48,3697,479,787,550,417,493,240,254,345,73,3638,537,801,465,480,583,216,306,450,47,3887,449,706,314,319,432,184,253,344,53,3048,201,136,64,63,102,44,61,79,15,777,46,22,10,3,7,12,9,8,7,129,6,4,3,0,0,0,0,0,0,19,2173,3437,2626,2446,2182,1773,1162,2074,292,18165
LGA10550,15,9,122,127,25,287,10,184,17,801,47,50,221,148,54,110,35,137,17,815,140,287,381,215,170,169,90,282,17,1746,329,429,354,279,259,186,145,281,36,2299,487,579,475,405,436,310,205,418,38,3344,473,612,406,375,408,273,218,402,54,3219,235,122,57,54,85,78,49,102,24,806,47,20,6,0,8,6,3,7,3,111,8,0,0,0,0,0,3,0,4,11,1790,2111,2023,1612,1438,1409,763,1816,203,13153
LGA10600,0,0,35,43,13,66,4,68,3,241,10,17,56,41,10,31,4,47,3,230,71,111,122,89,45,50,49,77,3,624,108,230,143,109,102,61,48,93,14,914,189,325,156,138,149,82,82,147,14,1278,184,295,138,150,145,72,90,140,21,1229,83,71,24,19,36,15,27,33,3,315,31,0,4,0,0,0,3,12,7,67,3,0,0,0,0,0,0,0,4,11,683,1047,686,587,499,391,308,616,78,4890
LGA10650,0,0,23,29,0,54,8,52,5,168,25,13,52,33,15,18,21,49,0,226,77,96,91,62,57,25,29,72,8,515,122,88,93,63,77,26,48,89,5,611,148,80,80,76,80,47,65,86,14,671,187,93,79,78,83,61,73,94,15,758,97,19,15,20,22,20,36,36,11,273,21,3,3,0,3,3,5,5,7,48,5,0,0,0,0,0,0,0,0,11,682,400,434,364,332,250,282,484,60,3282
LGA10750,122,226,966,996,497,2790,321,1475,149,7534,671,1915,2216,1991,2142,2545,1308,1733,373,14896,3571,9160,4766,3568,5879,2945,3833,2982,866,37579,4865,9159,4541,3358,6459,2415,3958,2925,734,38413,3304,4955,3885,2930,5534,1820,4077,3336,586,30423,1754,2818,2338,1827,3550,1225,2635,2475,325,18947,267,526,445,316,697,236,443,448,72,3449,14,30,31,14,31,16,18,29,24,197,3,4,3,3,0,0,4,3,4,33,14581,28795,19183,15005,24781,13991,16596,15392,3138,151468
LGA10800,8,4,32,18,6,26,5,27,3,124,18,14,51,26,10,23,20,24,3,195,50,82,75,35,32,33,52,55,4,423,144,62,64,27,61,13,57,56,9,502,161,50,59,39,51,30,55,68,7,526,176,34,54,36,62,32,73,52,8,523,98,8,11,5,9,4,17,14,11,182,38,0,3,3,3,0,3,9,3,61,5,0,0,0,0,0,0,0,3,16,701,268,352,191,240,159,276,306,49,2541
