LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA10050,65,88,113,148,364,478,373,849,30,2508,215,310,459,613,837,856,499,671,42,4502,90,160,155,231,745,924,467,550,50,3364,102,511,461,572,509,280,158,173,51,2820,122,342,388,526,799,451,226,132,17,3004,93,714,344,385,342,235,173,182,37,2504,49,87,100,134,340,287,213,305,24,1542,84,534,299,344,376,342,157,140,47,2328,12,27,19,20,51,46,17,50,90,333,838,2768,2344,2972,4362,3897,2275,3062,388,22907
LGA10130,46,87,82,109,237,304,185,741,18,1816,125,288,268,328,582,487,265,489,36,2865,51,90,73,123,374,292,159,195,19,1373,79,290,224,255,242,136,64,96,32,1426,50,187,183,247,483,181,87,87,16,1524,61,352,184,176,181,74,49,86,18,1191,15,65,30,50,97,75,60,95,10,497,60,355,189,184,309,169,85,85,28,1469,7,18,8,3,20,20,8,17,55,163,501,1738,1253,1474,2529,1726,968,1899,240,12327
LGA10250,73,111,132,187,332,436,267,733,22,2293,140,366,502,596,675,725,305,558,35,3896,71,145,203,271,570,525,197,367,36,2391,80,371,378,544,346,152,104,102,26,2098,58,253,306,366,552,252,113,111,21,2030,69,513,289,287,281,165,79,139,23,1850,30,72,69,97,139,125,81,154,14,785,68,464,272,288,330,165,83,121,42,1828,7,30,17,18,33,28,8,22,117,288,595,2330,2164,2647,3265,2581,1232,2308,342,17463
LGA10300,4,5,16,10,20,35,18,111,3,216,8,9,8,15,8,26,9,5,0,83,3,5,9,9,23,30,13,28,5,116,0,11,25,20,17,9,6,3,3,95,4,15,16,26,22,16,3,9,5,104,0,9,9,0,10,3,5,3,0,40,5,10,7,6,21,13,4,32,3,100,3,27,24,22,35,32,13,31,6,195,0,0,0,4,5,0,0,0,6,28,29,84,99,118,161,173,64,225,31,982
LGA10470,59,84,95,146,326,386,279,765,19,2173,130,271,376,359,694,707,303,561,32,3437,73,119,119,174,623,623,337,530,39,2626,138,488,349,403,436,320,128,136,44,2446,97,251,232,326,674,315,154,126,15,2182,87,501,253,245,309,136,96,124,29,1773,36,52,63,76,237,229,133,307,29,1162,91,437,239,208,414,324,131,197,28,2074,18,23,21,16,33,38,17,28,108,292,730,2218,1749,1949,3746,3075,1585,2762,354,18165
LGA10550,82,109,91,185,234,274,189,581,34,1790,114,220,273,346,342,358,157,272,22,2111,63,165,155,192,420,453,228,307,35,2023,77,330,251,371,279,92,83,98,28,1612,78,220,196,278,339,155,75,81,11,1438,72,382,209,238,203,109,88,99,19,1409,37,40,61,61,124,142,97,181,12,763,92,409,246,212,311,246,113,150,41,1816,11,21,15,21,21,30,9,15,68,203,628,1894,1493,1915,2269,1871,1027,1793,271,13153
LGA10600,19,56,50,81,87,109,46,226,13,683,55,115,148,172,166,169,90,122,8,1047,18,68,74,100,138,113,62,97,9,686,33,138,112,145,77,33,22,23,6,587,25,59,86,106,104,53,30,24,5,499,14,111,48,71,56,34,26,29,9,391,7,34,30,35,62,33,31,71,5,308,23,155,88,93,88,70,36,49,13,616,7,14,3,6,10,6,0,12,22,78,201,745,641,821,774,622,322,661,101,4890
LGA10650,33,29,24,57,46,92,51,340,7,682,20,45,48,68,51,61,46,52,3,400,9,24,28,34,88,101,52,92,9,434,24,76,57,80,41,24,21,34,6,364,16,45,50,62,69,43,14,24,4,332,12,70,47,33,28,21,14,22,8,250,31,23,14,14,47,56,28,66,9,282,24,87,48,59,70,83,40,53,20,484,3,3,0,4,3,10,3,9,26,60,173,404,323,403,443,487,279,685,89,3282
LGA10750,319,363,479,709,3134,4009,1859,3529,171,14581,937,1536,2067,2149,7570,8598,2503,3120,328,28795,365,843,1059,1291,5159,5123,2246,2695,407,19183,520,2152,2276,2585,3222,2019,894,1033,307,15005,722,1619,2323,2583,8508,5567,1660,1510,296,24781,459,3404,2206,1799,2521,1794,718,824,269,13991,335,796,1027,1276,4773,3610,1745,2643,402,16596,389,2341,2008,1926,3807,2552,907,1049,401,15392,104,191,134,149,592,524,169,226,1055,3138,4142,13247,13582,14466,39287,33798,12694,16630,3625,151468
LGA10800,25,38,27,48,32,110,48,358,16,701,8,10,28,32,47,48,34,58,5,268,4,26,25,33,63,80,25,85,12,352,5,49,32,27,31,14,9,22,3,191,14,39,30,44,53,28,9,22,0,240,6,31,28,20,22,21,11,15,0,159,13,14,12,12,28,44,35,110,5,276,4,69,33,34,46,43,15,35,12,306,3,0,3,3,3,8,0,8,28,49,87,283,217,260,329,386,187,711,79,2541
