LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,4,7,15,56,69,126,3,3,6,0,4,3,18,16,38,8908,8079,16987,524,580,1102,137,3,134,106,10,118,168,45,218,62,34,99,366,388,760,10351,9252,19601,3,0,3,0,0,0,0,0,0,7,5,8,0,0,0,4,0,4,11,7,17,0,0,0,0,0,0,4,0,4,5,7,13,0,3,4,8,10,19,87,51,141,106,71,176,4,0,6,0,0,0,8,3,11,11,3,14,273,452,723,786,1425,2208,98,82,181,11620,11284,22907
LGA10130,5,3,8,23,25,49,0,0,0,0,3,3,18,18,37,4057,3852,7906,370,427,796,136,18,151,89,16,102,96,25,117,61,37,91,350,312,663,5203,4728,9928,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,3,0,3,0,3,7,4,0,4,7,3,14,64,34,101,79,42,115,3,3,3,0,0,3,3,0,7,8,3,14,443,447,887,467,786,1254,59,68,129,6252,6076,12327
LGA10250,7,3,13,46,44,97,3,0,5,3,0,3,5,3,6,6127,5818,11946,343,448,788,195,6,202,91,15,108,155,62,213,77,42,117,238,311,548,7293,6752,14043,0,3,3,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,4,0,4,7,11,14,4,0,4,16,12,22,77,51,130,97,62,162,0,0,0,0,0,0,10,0,10,9,0,9,574,726,1302,672,1065,1737,110,104,210,8758,8711,17463
LGA10300,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,356,252,601,27,20,48,12,0,12,5,0,5,0,5,6,10,10,15,57,46,104,464,329,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,47,97,19,46,69,9,8,16,547,435,982
LGA10470,15,6,21,33,26,51,8,0,8,0,0,0,16,21,39,6669,6162,12835,447,514,962,197,7,209,55,6,61,68,13,85,55,26,83,365,326,685,7931,7104,15035,0,7,4,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,4,3,3,0,4,7,3,3,6,5,9,19,57,39,100,80,54,130,3,3,8,0,0,0,4,3,8,11,5,15,354,480,838,757,1189,1945,117,96,208,9245,8923,18165
LGA10550,5,6,12,22,30,54,0,0,0,0,0,0,0,6,6,4448,4117,8566,251,285,530,170,7,177,56,8,65,43,15,56,70,42,110,306,332,644,5367,4850,10219,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,0,0,3,3,8,9,0,0,0,3,9,11,50,22,77,58,39,94,0,0,0,0,0,0,5,4,11,3,4,8,466,510,973,697,982,1681,96,86,177,6689,6466,13153
LGA10600,4,0,3,11,0,10,0,0,0,0,0,0,3,0,3,1582,1448,3025,91,117,207,58,0,65,23,0,30,18,8,26,20,12,34,136,118,252,1943,1721,3658,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,6,24,24,14,33,3,0,3,0,0,0,0,0,0,3,0,9,260,253,516,214,384,593,34,44,80,2479,2414,4890
LGA10650,3,3,3,7,0,8,0,0,0,0,3,3,0,0,0,1080,995,2077,60,57,118,53,4,52,13,0,13,22,3,25,22,9,38,116,93,209,1383,1171,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,178,144,324,120,217,338,28,27,59,1722,1561,3282
LGA10750,7154,6811,13962,2577,2750,5325,9,3,14,16,6,22,228,65,292,53713,38211,91922,3257,4416,7669,1462,18,1473,574,41,614,238,50,291,440,208,647,771,939,1717,70429,53515,123947,1974,2306,4285,8,5,12,20,26,48,1646,1240,2885,337,695,1028,113,46,156,4095,4315,8418,3,0,6,0,4,4,243,186,423,82,184,262,17,15,37,343,389,729,529,268,799,4970,4976,9948,629,716,1346,14,19,31,24,8,29,663,741,1406,1419,2423,3843,4085,6657,10743,913,675,1590,82472,68997,151468
LGA10800,0,0,3,56,6,61,0,0,0,0,0,0,3,0,0,707,639,1349,88,60,152,52,3,51,3,0,4,5,5,12,36,9,48,95,59,154,1051,787,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,7,3,15,14,4,15,24,5,28,0,0,0,0,0,0,4,0,8,6,0,3,214,173,388,93,143,238,29,23,53,1414,1135,2541
