,BHP Share Price,S&P 500 ,ASX 200,AUD/USD,EUR/USD,YEN/USD,GBP/USD,AUD/CNY,AUD/USD Growth,EUR/USD Growth,YEN/USD Growth,GBP/USD Growth,AUD/CNY Growth,Unemployment Rate,Participation Rate,Inflation,Australian Cash Rate,US Federal Reserve Rate,Australia GDP Trend,Australia GDP Seasonally Adjusted,Terms of Trade ,"Crude oil, average","Crude oil, WTI","Coal, Australian","Natural gas, US","Natural gas, Europe","Liquefied natural gas, Japan",Natural gas index,Cocoa,"Coffee, Arabica","Tea, avg 3 auctions",Coconut oil,Palm oil,Palm kernel oil,Soybeans,Soybean oil,"Rice, Thai 5% ","Wheat, US SRW","Banana, US",Orange,Beef,"Meat, chicken","Meat, sheep","Sugar, US","Sugar, world","Tobacco, US import u.v.","Logs, Cameroon",Plywood,Woodpulp,"Cotton, A Index","Rubber, TSR20",Phosphate rock,Potassium chloride,Aluminum,"Iron ore, cfr spot",Copper,Lead,Tin,Nickel,Zinc,Gold,Platinum,Silver
31-Jan-08,46.235157,1378.550049,5572.100098,0.8814,1.4703,0.0092,1.9699,6.4363,0.010663915,0.009752077,0.033707865,-0.024173973,0.006096322,3.9,65.5,0.029,6.75,3.94,0.80%,0.60%,0.7,0.013069642,0.017722271,0.008241758,0.118918379,0.127502634,0.082788671,0.120095125,0.042037252,0.016572176,0.027873341,0.114483955,0.114736842,0.126102293,0.049805951,0.096219931,0.041404806,-0.004341442,0.063829787,0.11209127,0.019748954,0.005026611,-0.004475512,0.001491971,0.121836926,0.001593215,0.154935015,-0.007714553,0.02236645,0.053199137,0.05218366,0.407407407,0.1375,0.026799832,0.017094467,0.071854877,0.004664048,0.004563533,0.065312583,-0.005511493,0.107559359,0.060553286,0.112230487
29-Feb-08,50.073826,1330.630005,5355.700195,0.9087,1.4717,0.0093,1.9643,6.6233,0.030973451,0.000952187,0.010869565,-0.002842784,0.02905396,3.7,65.4,0.029,7,2.98,0.80%,0.60%,0.7,0.02974592,0.025902309,0.438692098,0.06875,0.013084112,0.052313883,0.049736794,0.137199858,0.124624625,0.008270875,0.075486381,0.095372993,0.085356304,0.057301294,0.097178683,0.237353568,0.130704286,0.15,0.018827599,0.055514525,0.024541532,0.052430489,-0.004870474,0.128654971,-0.014909357,0.127799952,-0.00268114,0.00507097,0.024573379,0.0737029,0,0.41025641,0.135515389,-0.037492889,0.117074679,0.180874387,0.05341938,0.009604022,0.041890694,0.036761672,0.262976063,0.104350395
31-Mar-08,45.415104,1322.699951,5595.399902,0.9246,1.5481,0.0099,2.0022,6.4023,0.017497524,0.051912754,0.064516129,0.019294405,-0.033367053,3.9,65.4,0.043,7.25,2.61,0.70%,0.60%,1.1,0.090539253,0.105767215,-0.104166667,0.099582289,0.018450185,0.047801147,0.071585591,0.0890713,-0.047046856,-0.056007605,0.064399421,0.076724138,0.054834055,0.005244755,0.054285714,0.278106509,0.079395085,0.295652174,0.17323955,0.036929057,0.026342965,0.060755122,0.025322741,-0.022945966,-0.011574874,0.031418571,0.002705546,0.007803386,0.068620919,-0.00926028,0.700657895,0.155844156,0.082234728,0.059101655,0.069931628,-0.023150894,0.150723242,0.116964097,0.030076579,0.050022878,0.012762106,0.099516193
30-Apr-08,55.629192,1385.589966,5654.700195,0.9301,1.5768,0.0098,1.9821,6.5863,0.005948518,0.018538854,-0.01010101,-0.010038957,0.028739672,4.2,65.6,0.043,7.25,2.28,0.70%,0.60%,1.1,0.067902161,0.067749241,0.040169133,0.077737564,0.104166667,0.041970803,0.084180338,-0.043642192,-0.061311629,0.09956904,-0.01903467,-0.060048038,-0.023255814,-0.029565217,-0.034552846,0.526936027,-0.229223054,-0.057718121,0.002396075,0.028116214,0.009943182,0.020758179,-0.008078362,-0.048484848,0.018588537,-0.006914408,0.008775565,0.01359391,-0.059850374,0.002893068,0.137330754,0.073314607,-0.015311672,-0.005935471,0.029107073,-0.061766369,0.093652493,-0.078849008,-0.098618978,-0.060643265,-0.018161259,-0.094080984
31-May-08,58.167198,1400.380005,5215.299805,0.9478,1.5543,0.0096,1.9655,6.6364,0.019030212,-0.014269406,-0.020408163,-0.008374956,0.007606699,4,65.4,0.043,7.25,1.98,0.70%,0.60%,1.1,0.127571341,0.110060542,0.082926829,0.10838455,0.015586546,0.018388792,0.076200509,0.029426654,0.008884151,-0.001658202,0.040887041,0.028534923,0.004201681,0.03046595,0.007719298,-0.005733186,-0.211260522,-0.045584046,0.068065895,0.120875114,0.017307392,0.012229417,0.017071338,-0.039012739,0.022055158,-0.011934023,0.002496414,0.003847136,-0.017241379,0.094825992,0,0.085160953,-0.019049611,-0.015310028,-0.034793825,-0.208351785,0.110977164,-0.105279798,-0.036087632,-0.023130575,0.032206637,-0.025142857
30-Jun-08,58.753426,1280,4977.399902,0.9502,1.5549,0.0094,1.9658,6.5668,0.00253218,0.000386026,-0.020833333,0.000152633,-0.010487614,4,65.6,0.044,7.25,2,0.50%,0.30%,13.1,0.072480739,0.071305727,0.199324324,0.128733519,0.020193861,0.03783319,0.093756052,0.118078555,0.029587883,0.074676547,0.032623169,0.004554865,-0.025801953,0.08173913,0.070334262,-0.160567753,-0.001397151,-0.059701493,0.07341235,0.053188029,0.026997965,-0.000747913,0.043932433,0.004971002,0.02282716,-0.000257119,-0.001342808,0.002789007,0.039811066,0.071175219,0,0.037044183,0.018931758,-0.046747862,-0.014572187,-0.166281591,-0.076175919,-0.123798407,-0.131810641,0.000928361,-0.00643621,-0.005334115
31-Jul-08,51.491131,1267.380005,5135.600098,0.9621,1.5749,0.0094,1.9876,6.4343,0.012523679,0.012862564,0,0.011089633,-0.020177255,4,65.5,0.044,7.25,2.01,0.50%,0.30%,13.1,0.009915316,-0.004102347,0.126760563,-0.120494234,0.137767221,0.023198012,-0.045402631,-0.011335541,0.008279165,0.033685532,-0.074145712,-0.070074196,-0.089477452,0.019292605,-0.01691607,-0.03335535,-0.036492139,-0.168253968,0.012206801,0.084942085,0.029616334,0.01293279,0.092467669,0.173124485,0.02511689,0.013566514,0.000870503,0.005679865,0.003244646,0.007883948,0,0.041860465,0.038332482,-0.018648399,0.018575902,0.043941434,0.040939776,-0.105939328,-0.022225671,0.056531398,-0.066107962,0.062755613
31-Aug-08,48.628998,1282.829956,4600.5,0.8869,1.5017,0.0092,1.8958,5.8779,-0.078162353,-0.046479142,-0.021276596,-0.046186355,-0.086474053,4,65.5,0.044,7.25,2,0.50%,0.30%,13.1,-0.137461575,-0.125487601,-0.12,-0.260008892,0.018789144,0.072874494,-0.157063206,-0.051018482,-0.006311075,-0.006192215,-0.169220056,-0.215425532,-0.157232704,-0.123028391,-0.125082727,-0.052271951,0.040419162,0.106870229,-0.209429984,-0.035587189,0.001882763,-0.049783854,-0.02122678,0.026704146,0.013573633,-0.009885601,0.002136594,-0.041589231,0.009640855,-0.088297872,0.170068027,0.142857143,-0.099915376,-0.009750693,-0.092624081,-0.010971185,-0.13453698,-0.061133618,-0.0696918,-0.107203662,-0.219950326,-0.188472821
30-Sep-08,35.856209,1166.359985,4018,0.8201,1.4376,0.0094,1.7988,5.4381,-0.075318525,-0.042684957,0.02173913,-0.051165735,-0.074822641,4.1,65.5,0.05,7,1.81,0.20%,0.10%,5.6,-0.13014289,-0.108914246,-0.053030303,-0.067333333,0.014344262,0.086037736,-0.027830768,-0.042638274,-0.021580277,-0.026771411,-0.069572506,-0.128813559,-0.068097015,-0.084532374,-0.072617247,-0.013987022,-0.123741007,0.004310345,-0.183664937,-0.04501845,-0.000139202,-0.04656352,-0.006696017,-0.073921971,0.01191527,-0.040459687,-0.000669736,-0.018593679,-0.056957198,-0.036550209,0,0.1015625,-0.086296903,-0.218753497,-0.084330229,-0.028702286,-0.082760677,-0.059870032,0.007080704,-0.010837579,-0.176614722,-0.154560984
31-Oct-08,27.15851,968.75,3742.5,0.6984,1.3402,0.0099,1.7089,4.5678,-0.148396537,-0.067751809,0.053191489,-0.049977763,-0.160037513,4.2,65.4,0.05,6,0.97,0.20%,0.10%,5.6,-0.27056882,-0.262870505,-0.28,-0.124894405,0.072727273,0.043085476,-0.035190159,-0.156466547,-0.137363021,-0.136286632,-0.228828829,-0.293125811,-0.253253253,-0.225933202,-0.243066884,-0.109023106,-0.169129721,0.006008584,-0.015309863,-0.150540958,-0.009820069,-0.05003228,-0.073291362,-0.120473023,0.014866765,-0.072890497,-0.007653408,-0.052296567,-0.153532609,-0.336622377,-0.037209302,0.081560284,-0.160108527,-0.365010026,-0.295409552,-0.207804796,-0.215970078,-0.317780646,-0.249711175,-0.028089048,-0.253936461,-0.156122202
