,id,recid,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_severity
1,2,0,Male,69,Greater than 45,Other,0,0,0,0,Unknown
2,4,0,Male,34,25 - 45,African-American,0,0,0,0,High
3,6,0,Male,24,Less than 25,African-American,0,0,1,4,Middle
4,7,1,Male,24,Less than 25,African-American,0,0,1,4,Middle
5,8,0,Male,24,Less than 25,African-American,0,0,1,4,Middle
6,12,0,Male,44,25 - 45,Other,0,0,0,0,Unknown
7,14,0,Male,41,25 - 45,Caucasian,0,0,0,14,High
8,17,0,Male,43,25 - 45,Other,0,0,0,3,Unknown
9,20,0,Male,20,Less than 25,Caucasian,0,0,1,0,Unknown
10,22,0,Female,26,25 - 45,Caucasian,0,0,0,0,Unknown
11,23,0,Female,26,25 - 45,Caucasian,0,0,0,0,Unknown
12,25,0,Male,21,Less than 25,Caucasian,0,0,0,1,Middle
13,26,0,Male,27,25 - 45,Caucasian,0,0,0,0,Unknown
14,28,0,Female,37,25 - 45,Caucasian,0,0,0,0,Unknown
15,30,0,Male,41,25 - 45,African-American,0,0,0,0,Unknown
16,32,0,Female,47,Greater than 45,Caucasian,0,0,0,1,High
17,33,1,Male,31,25 - 45,African-American,0,0,0,7,Middle
18,34,1,Male,31,25 - 45,African-American,0,0,0,7,Middle
19,38,1,Male,31,25 - 45,Caucasian,0,0,0,6,High
20,40,0,Male,31,25 - 45,Caucasian,0,0,0,5,High
21,43,1,Male,64,Greater than 45,African-American,0,0,0,13,High
22,46,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
23,48,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
24,49,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
25,51,0,Male,27,25 - 45,Caucasian,0,0,0,0,Middle
26,52,0,Female,21,Less than 25,Caucasian,0,0,0,0,Unknown
27,54,0,Male,24,Less than 25,African-American,0,0,0,2,Middle
28,56,0,Male,24,Less than 25,African-American,0,0,0,2,Middle
29,58,0,Male,24,Less than 25,Hispanic,0,0,0,1,Middle
30,59,0,Male,42,25 - 45,Caucasian,0,0,0,1,Unknown
31,60,0,Male,43,25 - 45,Caucasian,0,0,0,1,Unknown
32,64,0,Female,49,Greater than 45,Caucasian,0,0,0,0,Unknown
33,66,1,Male,27,25 - 45,African-American,0,0,0,8,Middle
34,69,0,Female,36,25 - 45,Caucasian,0,0,0,3,Unknown
35,72,1,Male,26,25 - 45,African-American,0,0,1,5,Middle
36,74,0,Male,33,25 - 45,African-American,0,0,0,0,High
37,75,0,Male,33,25 - 45,African-American,0,0,0,0,High
38,77,1,Male,30,25 - 45,Caucasian,0,0,0,9,High
39,78,0,Male,32,25 - 45,African-American,0,0,0,4,Middle
40,80,0,Male,63,Greater than 45,African-American,0,0,0,0,Unknown
41,82,0,Male,55,Greater than 45,Caucasian,0,0,0,0,Unknown
42,84,1,Male,32,25 - 45,African-American,0,0,0,15,Unknown
43,85,0,Male,38,25 - 45,African-American,0,0,2,5,Unknown
44,86,1,Male,38,25 - 45,African-American,0,0,2,5,Unknown
45,90,1,Male,49,Greater than 45,Other,0,0,0,7,Middle
46,92,0,Male,49,Greater than 45,Other,0,0,0,7,Middle
47,95,1,Male,26,25 - 45,Caucasian,0,0,2,6,Unknown
48,98,0,Female,33,25 - 45,Caucasian,0,0,0,4,High
49,100,0,Male,24,Less than 25,Caucasian,0,0,0,1,High
50,101,0,Male,24,Less than 25,Caucasian,0,0,0,1,High
51,103,1,Male,34,25 - 45,African-American,2,1,3,21,Middle
52,104,1,Male,34,25 - 45,African-American,2,1,3,21,Middle
53,106,0,Male,29,25 - 45,Caucasian,0,0,0,0,Unknown
54,108,0,Female,21,Less than 25,African-American,0,0,0,2,Unknown
55,110,0,Female,21,Less than 25,African-American,0,0,0,2,Unknown
56,111,0,Male,51,Greater than 45,African-American,0,0,0,2,Unknown
57,112,0,Male,36,25 - 45,African-American,0,0,0,0,Unknown
58,116,0,Male,25,25 - 45,African-American,0,0,0,0,Unknown
59,118,0,Female,51,Greater than 45,African-American,0,0,0,7,Unknown
60,121,1,Male,36,25 - 45,African-American,0,0,0,22,Unknown
61,124,0,Male,29,25 - 45,African-American,0,0,0,0,Middle
62,126,1,Male,25,25 - 45,Caucasian,0,0,0,9,High
63,127,1,Male,35,25 - 45,African-American,1,0,4,13,Middle
64,129,0,Male,34,25 - 45,African-American,0,0,0,4,Middle
65,130,0,Male,29,25 - 45,African-American,0,0,0,0,Unknown
66,132,0,Male,29,25 - 45,Caucasian,0,0,0,1,Middle
67,134,0,Male,51,Greater than 45,Caucasian,0,0,0,0,Unknown
68,136,0,Male,48,Greater than 45,Caucasian,0,0,0,20,Middle
69,137,0,Male,48,Greater than 45,Caucasian,0,0,0,20,Middle
70,138,1,Male,48,Greater than 45,Caucasian,0,0,0,20,Middle
71,142,0,Male,30,25 - 45,African-American,0,0,1,3,Unknown
72,144,0,Male,24,Less than 25,African-American,0,0,0,2,Middle
73,147,0,Male,27,25 - 45,African-American,0,0,0,0,Unknown
74,150,0,Male,49,Greater than 45,African-American,0,0,0,4,Unknown
75,152,0,Female,31,25 - 45,Hispanic,0,0,0,0,Unknown
76,153,1,Male,35,25 - 45,African-American,0,0,0,5,Unknown
77,155,0,Male,33,25 - 45,African-American,0,0,0,2,Unknown
78,156,0,Male,27,25 - 45,African-American,1,1,2,15,Middle
79,158,1,Male,27,25 - 45,African-American,1,1,2,15,Middle
80,160,0,Male,46,Greater than 45,Caucasian,3,1,0,9,Unknown
81,162,0,Male,22,Less than 25,African-American,0,0,1,1,Middle
82,163,0,Female,34,25 - 45,Caucasian,0,0,0,0,Unknown
83,164,1,Male,22,Less than 25,African-American,0,1,2,2,Middle
84,168,0,Male,29,25 - 45,African-American,0,0,0,4,High
85,170,0,Male,29,25 - 45,African-American,0,0,0,4,High
86,173,0,Male,27,25 - 45,African-American,0,1,0,6,High
87,176,0,Female,56,Greater than 45,African-American,0,0,0,0,Unknown
88,178,0,Male,45,Greater than 45,Hispanic,0,0,0,6,Middle
89,179,0,Male,22,Less than 25,Hispanic,0,0,0,1,Unknown
90,181,0,Male,34,25 - 45,African-American,0,0,0,0,Unknown
91,182,0,Male,39,25 - 45,African-American,0,0,0,1,Unknown
92,184,1,Male,29,25 - 45,African-American,0,0,0,5,Middle
