LGA_CODE_2016,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly,Average_household_size,% Indigenous,Birthplace outside Australia,English is only language spoken at home,% of People who completed Year 12,% Population 5-14,% Population 15-19,% Population 20-24,% Population 25-34,% Population 35-44,% Population 45-54,% Population 55-64,% Population 65-74,Murder,Robbery without a weapon,Break & Enter (Dwelling),Motor Vehicle Theft,Fraud
LGA10050,1421,231,1185,2.3,0.026685723,0.108465816,0.863810792,0.334716892,0.123893805,0.063591511,0.068681964,0.127222179,0.121485629,0.1272026,0.124755267,0.096072519,0,0,27,12,29
LGA10250,1733,340,1156,2.3,0.031036133,0.110289543,0.89050012,0.347236181,0.116200048,0.05704714,0.037592726,0.085690357,0.111725293,0.137808088,0.153960278,0.131682221,0,0,4,1,15
LGA10300,950,150,1174,2.5,0.084827285,0.062964582,0.831657193,0.224748579,0.146917359,0.059029296,0.057717534,0.101880192,0.120682116,0.126803673,0.164844775,0.088325317,0,0,0,0,0
LGA10470,1670,280,1310,2.5,0.051961259,0.086319613,0.869394673,0.339564165,0.134891041,0.072154964,0.07622276,0.125205811,0.11811138,0.126828087,0.120847458,0.093510896,0,0,32,8,25
LGA10550,1343,250,986,2.2,0.03001233,0.116079752,0.895107208,0.317204463,0.113944607,0.053889875,0.035756172,0.074639882,0.093826121,0.139776862,0.185066009,0.152166722,0,0,14,6,12
LGA10600,1400,280,997,2.3,0.0335491,0.118013893,0.90353647,0.332886012,0.12582886,0.056757183,0.031259867,0.075228923,0.104515314,0.143984844,0.176823492,0.135617303,0,0,1,1,9
LGA10650,1083,180,967,2.2,0.022098795,0.076932167,0.871779721,0.244504845,0.114866462,0.049751832,0.039116048,0.088277003,0.099621839,0.110612148,0.154100685,0.16190026,0,0,2,0,0
LGA10750,2150,380,1711,3.2,0.027014916,0.404478843,0.536932948,0.427270731,0.147610116,0.069114618,0.067752447,0.155059027,0.152545391,0.1248301,0.100017213,0.063912251,0,11,133,70,270
LGA10800,1000,150,1100,2.4,0.04231738,0.048194794,0.857766583,0.222502099,0.147103275,0.055919395,0.044836272,0.098740554,0.114189757,0.119059614,0.145424013,0.105121746,0,0,1,2,0
LGA10850,1500,220,1227,2.5,0.035689679,0.062146893,0.916356621,0.281659088,0.145790271,0.062973681,0.044646548,0.097423178,0.118644068,0.14179413,0.13972716,0.104588673,0,0,3,0,2
LGA10900,1842,350,1468,2.5,0.022807656,0.168443774,0.893178508,0.447427962,0.127912722,0.062012379,0.047214709,0.090827525,0.125962239,0.142801415,0.152891917,0.120669926,0,0,11,5,31
LGA10950,1083,160,1155,2.4,0.164190193,0.047548291,0.867384844,0.239598811,0.127786033,0.062035661,0.057578009,0.117756315,0.109955423,0.146359584,0.104011887,0.105497771,0,0,2,2,2
LGA11150,991,140,1243,2.5,0.308276386,0.038344723,0.777524677,0.217539863,0.149962035,0.045937737,0.060364465,0.140091116,0.111617312,0.152239939,0.117312073,0.079347001,0,0,10,1,6
LGA11200,433,90,864,2.6,0.601453664,0.021199273,0.857056329,0.188976378,0.154451847,0.057540884,0.074500303,0.139915203,0.093882495,0.16353725,0.1308298,0.066626287,0,0,7,2,0
LGA11250,953,190,965,2.2,0.083126271,0.045177321,0.886774339,0.207476847,0.111362096,0.053591597,0.054325728,0.119381071,0.105093743,0.13304721,0.150384007,0.115710413,0,0,14,6,8
LGA11300,2200,500,1569,2.9,0.003912087,0.572332853,0.31413513,0.611698226,0.085006384,0.058572632,0.119617485,0.213534733,0.119128474,0.117824445,0.098209677,0.067483496,0,0,20,2,37
LGA11350,1733,400,1149,2.4,0.015496261,0.178634808,0.809798454,0.421948282,0.118487768,0.050925339,0.037837495,0.107428064,0.138832552,0.15461402,0.173722905,0.10682596,0,0,13,6,7
LGA11400,1517,180,1301,2.6,0.035036605,0.059465113,0.911922905,0.29224563,0.153443897,0.067757358,0.038323622,0.089122964,0.116166144,0.140968176,0.13312416,0.116464963,0,0,4,0,1
LGA11450,2220,460,2047,3.1,0.024214375,0.176020865,0.811398911,0.359175637,0.155347874,0.068488072,0.061955049,0.152177248,0.152829272,0.12578946,0.094313329,0.063629855,0,1,15,8,30
LGA11520,2500,565,2061,2.6,0.004396978,0.405328637,0.534431631,0.572243368,0.100232915,0.045549054,0.071362836,0.18956996,0.151565074,0.127660058,0.105288871,0.078020792,0,1,29,4,40
LGA11600,867,105,1240,2.4,0.075027584,0.096726738,0.85766826,0.270319971,0.129091578,0.057374035,0.057006252,0.133137183,0.120632586,0.146009562,0.140492828,0.075027584,0,0,0,0,1
LGA11700,575,100,901,2.4,0.389525368,0.044189853,0.806873977,0.181123841,0.115111839,0.06710311,0.058919804,0.135842881,0.109656301,0.135842881,0.146208402,0.107474086,0,0,5,1,0
LGA11730,1300,255,910,2.3,0.06084348,0.075368554,0.902922776,0.25201792,0.115194095,0.058435792,0.040397861,0.08186142,0.101537369,0.132422885,0.164689862,0.146020406,0,0,11,4,22
LGA11750,1300,160,1495,2.4,0.135140951,0.070152787,0.840972671,0.229825694,0.142457499,0.054228535,0.055304498,0.152356359,0.126533247,0.126102862,0.127178825,0.075317409,0,0,3,1,0
LGA11800,1603,305,1107,2.4,0.047982014,0.139079294,0.853449221,0.31651678,0.127508774,0.059374315,0.050559333,0.104861263,0.112675477,0.132060211,0.14653707,0.116692257,0,0,26,14,36
LGA12000,1083,150,1169,2.5,0.03174971,0.038006952,0.884588644,0.23174971,0.148551564,0.060023175,0.046349942,0.082039397,0.105909618,0.137659328,0.12838934,0.127462341,0,0,0,2,0
LGA12150,867,150,976,2.4,0.296579888,0.026544155,0.833588566,0.221031138,0.133741705,0.051301685,0.054874936,0.112302195,0.096477795,0.144971924,0.139356815,0.112046963,0,0,8,1,0
LGA12350,1148,185,959,2.3,0.075842697,0.060513644,0.890048154,0.235072231,0.120786517,0.059309791,0.052568218,0.085955056,0.101203852,0.133467095,0.145425361,0.134269663,0,0,11,2,4
LGA12700,1662,245,1226,2.5,0.047130919,0.048356546,0.922785515,0.259052925,0.131253482,0.062061281,0.041559889,0.090807799,0.111420613,0.147075209,0.161225627,0.117883008,0,0,2,2,1
LGA12750,1400,255,939,2.2,0.054093253,0.133460464,0.887677267,0.311210786,0.103083369,0.048318651,0.034325312,0.070235281,0.091453588,0.125349162,0.182047701,0.177508595,0,0,19,7,11
LGA12850,1800,350,1222,3.3,0.006961175,0.538932787,0.2482333,0.390404241,0.129983854,0.071266542,0.077131231,0.136255954,0.124596991,0.136472233,0.125452049,0.076718792,0,4,35,32,106
LGA12900,1148,180,1069,2.4,0.106498383,0.040262856,0.890580995,0.254824241,0.137582142,0.065818296,0.050172108,0.104412225,0.10263899,0.128924585,0.127359967,0.117033483,1,0,1,0,4
LGA12950,1083,160,998,2.4,0.137393768,0.037299339,0.900141643,0.222615675,0.127714825,0.055004721,0.050991501,0.096789424,0.101038716,0.130311615,0.143295562,0.120632672,0,0,4,0,0
LGA13010,1083,200,838,2.2,0.056813038,0.065753735,0.863852422,0.239248529,0.119850611,0.053417836,0.043684925,0.091557266,0.105138072,0.121321865,0.154821186,0.146785876,0,0,8,3,1
LGA13310,1517,260,1196,2.4,0.038231619,0.099463001,0.869532912,0.287480158,0.122665406,0.058799689,0.056367996,0.120470127,0.118815225,0.136445,0.133540478,0.109763923,0,1,3,1,10
LGA13340,1213,180,1168,2.5,0.030818278,0.05931794,0.917302676,0.263839243,0.155540527,0.065404309,0.038547,0.085692204,0.104724181,0.138054294,0.151965994,0.119891798,0,0,2,1,0
LGA13450,1495,220,1331,2.7,0.046566047,0.187941188,0.696462696,0.27003627,0.139347139,0.063336063,0.05994306,0.137202137,0.120783121,0.12959713,0.118365118,0.07995008,0,0,17,5,8
LGA13550,1473,240,1253,2.5,0.124437167,0.047728203,0.900532133,0.253131396,0.131723291,0.057470323,0.054359394,0.124437167,0.112648383,0.125419566,0.128776095,0.097584937,0,0,4,1,4
LGA13660,981,120,910,2.3,0.053442374,0.040319513,0.891023203,0.244389502,0.122099658,0.047166223,0.043552682,0.083682008,0.098896919,0.140167364,0.140547737,0.147014074,0,0,0,0,1
LGA13800,2080,360,1668,2.8,0.036165469,0.122894476,0.882570597,0.316200149,0.135759846,0.070906614,0.067918628,0.124318801,0.125634754,0.147913054,0.121268888,0.086249071,0,1,19,12,24
LGA13850,982,150,1075,2.3,0.058723693,0.063815343,0.842837746,0.261371351,0.128309572,0.058723693,0.050916497,0.100814664,0.094025798,0.156483367,0.143923965,0.121520706,0,0,1,0,0
LGA14000,2400,500,2121,2.9,0.004422887,0.370057547,0.653024175,0.552580485,0.137312763,0.067829281,0.058682106,0.103016114,0.145058072,0.147756664,0.120574485,0.085219427,0,2,46,9,46
LGA14100,3033,490,2467,2.7,0.005286092,0.263161654,0.752339453,0.542038717,0.138367026,0.083005929,0.0490035,0.081005786,0.121365812,0.143153082,0.117151225,0.101792985,0,0,1,4,5
LGA14200,1200,210,950,2.4,0.082448583,0.063337985,0.889097858,0.250257841,0.136018929,0.063216647,0.054480374,0.103743251,0.106412668,0.125219924,0.1329855,0.116544318,0,1,3,0,7
LGA14300,1200,200,1139,2.5,0.074662431,0.074503574,0.755996823,0.213185068,0.123907863,0.05274027,0.063542494,0.138204925,0.135186656,0.133439237,0.136934075,0.099126291,0,0,2,1,2
LGA14350,1300,240,894,2.4,0.111961226,0.071040332,0.874329237,0.221083607,0.118712134,0.057226934,0.04625238,0.09260862,0.10012117,0.128751947,0.163510473,0.139934222,0,0,24,5,9
LGA14400,2000,395,1509,2.5,0.017424525,0.137998509,0.894986955,0.401229966,0.116567275,0.058423407,0.049291837,0.0863306,0.10948565,0.131755498,0.161479687,0.132594111,0,0,1,1,3
LGA14500,3000,650,2640,2.9,0.001626388,0.389359017,0.686725454,0.609480488,0.151084682,0.078718881,0.056228982,0.081844595,0.12778159,0.156836336,0.11471966,0.089095576,0,1,33,1,35
LGA14550,1100,200,832,2.2,0.04049217,0.0950783,0.881208054,0.251342282,0.119798658,0.056152125,0.036800895,0.070805369,0.095637584,0.151901566,0.19541387,0.136129754,0,0,1,1,3
LGA14600,900,150,1034,2.4,0.174362286,0.038101388,0.866322247,0.243461414,0.138682596,0.051985793,0.05586051,0.119147562,0.105586051,0.114304165,0.131417501,0.105101711,0,0,1,0,2
LGA14650,1733,320,1313,2.5,0.039119222,0.09978163,0.91248461,0.31329324,0.122951193,0.061863192,0.055190479,0.110132694,0.119713636,0.132162273,0.132263605,0.112914258,0,6,59,38,87
LGA14700,2600,520,2376,2.5,0.003134448,0.362458739,0.690577238,0.631799395,0.117805331,0.053396577,0.05589304,0.174142187,0.162991318,0.129621924,0.102133089,0.075115808,0,0,5,0,13
LGA14750,1300,195,1190,2.5,0.055247135,0.080856017,0.838646132,0.219645415,0.142818768,0.085333095,0.052292264,0.107181232,0.109598854,0.132611032,0.12616404,0.096167622,0,0,3,0,2
LGA14850,1430,260,1067,2.4,0.047548395,0.093844906,0.87543758,0.330752289,0.126417063,0.064564739,0.056659325,0.101889417,0.118789846,0.141972876,0.155117654,0.10267764,0,0,17,3,16
LGA14870,1387,230,984,2.3,0.054907539,0.093219535,0.84898056,0.234234234,0.114414414,0.056567093,0.052157421,0.106970128,0.111190138,0.135846373,0.146562352,0.130440967,0,0,12,9,11
LGA14900,2123,370,1550,3.2,0.014227264,0.407906972,0.413608645,0.403135186,0.150206043,0.072854164,0.07122931,0.145649599,0.145311904,0.1327878,0.10121081,0.061710208,1,1,80,31,147
LGA14920,1153,180,1032,2.3,0.12033303,0.044490699,0.898920255,0.232990764,0.128268505,0.055158059,0.04358007,0.100559386,0.106673605,0.130740211,0.154546637,0.126967608,0,0,1,0,3
LGA14950,1000,150,1114,2.5,0.032382174,0.047130491,0.904456557,0.242705996,0.141070856,0.060596345,0.036870792,0.081115742,0.097467137,0.137544085,0.155177942,0.119268996,0,0,2,0,0
LGA15050,1733,320,1415,2.7,0.050022638,0.079567945,0.910574995,0.291029041,0.144130393,0.06394153,0.062195201,0.136782873,0.131724985,0.129060216,0.114391048,0.084781062,0,0,30,14,30
