GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US01,01,Alabama,0400000US01,01,Alabama,Alabama,4779736(r38235),2171853(r15032),52420.07,1774.74,50645.33,94.4,42.9
0400000US01,01,Alabama,0500000US01001,01001,Alabama - Autauga County,Autauga County,54571,22135,604.39,9.95,594.44,91.8,37.2
0400000US01,01,Alabama,0500000US01003,01003,Alabama - Baldwin County,Baldwin County,182265,104061,2027.31,437.53,1589.78,114.6,65.5
0400000US01,01,Alabama,0500000US01005,01005,Alabama - Barbour County,Barbour County,27457,11829(r15033),904.52,19.64,884.88,31.0,13.4
0400000US01,01,Alabama,0500000US01007,01007,Alabama - Bibb County,Bibb County,22915,8981,626.17,3.59,622.58,36.8,14.4
0400000US01,01,Alabama,0500000US01009,01009,Alabama - Blount County,Blount County,57322,23887,650.63,5.85,644.78,88.9,37.0
0400000US01,01,Alabama,0500000US01011,01011,Alabama - Bullock County,Bullock County,10914,4493,625.14,2.34,622.80,17.5,7.2
0400000US01,01,Alabama,0500000US01013,01013,Alabama - Butler County,Butler County,20947,9964,777.88,1.05,776.83,27.0,12.8
0400000US01,01,Alabama,0500000US01015,01015,Alabama - Calhoun County,Calhoun County,118572,53289,612.29,6.42,605.87,195.7,88.0
0400000US01,01,Alabama,0500000US01017,01017,Alabama - Chambers County,Chambers County,34215,17004,603.11,6.58,596.53,57.4,28.5
0400000US01,01,Alabama,0500000US01019,01019,Alabama - Cherokee County,Cherokee County,25989,16267,599.98,46.28,553.70,46.9,29.4
0400000US01,01,Alabama,0500000US01021,01021,Alabama - Chilton County,Chilton County,43643,19278,700.80,7.95,692.85,63.0,27.8
0400000US01,01,Alabama,0500000US01023,01023,Alabama - Choctaw County,Choctaw County,13859,7269,920.86,7.36,913.50,15.2,8.0
0400000US01,01,Alabama,0500000US01025,01025,Alabama - Clarke County,Clarke County,25833,12638,1252.57,14.11,1238.46,20.9,10.2
0400000US01,01,Alabama,0500000US01027,01027,Alabama - Clay County,Clay County,13932,6776,606.00,2.04,603.96,23.1,11.2
0400000US01,01,Alabama,0500000US01029,01029,Alabama - Cleburne County,Cleburne County,14972,6718,561.01,0.91,560.10,26.7,12.0
