GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",20800,391,53099,2631,79.7,1.2,58864,3944,17.8,1.1,32173,4332,0.4,0.3,-,**,0.7,0.3,-,**,0.0,0.1,-,**,0.3,0.2,86845,21223,1.1,0.5,-,**,1.7,0.5,72411,28123,78.4,1.3,58556,4223,3.9,1.0,27917,16915,33.1,1.6,54935,4713,40.2,1.3,63828,5381,22.8,1.0,41096,3663,14653,527,67178,3574,43.2,2.4,67013,8374,56.8,2.4,67294,3645,80.1,2.2,77763,4289,16.0,2.0,24672,3926,3.9,1.1,45833,14012,6147,576,30095,3684,53.9,4.2,25769,3276,46.4,4.8,22698,3401,7.6,3.4,44792,16583,46.1,4.2,36624,4595,42.2,3.8,35716,6312,3.9,1.8,49653,18497,29.3,(X),(X),(X),28.5,(X),(X),(X),29.5,(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",75149,1285,51365,991,89.4,0.8,53816,1216,7.6,0.6,26818,3658,0.7,0.3,97328,25415,0.5,0.2,42813,28282,0.0,0.1,-,**,0.5,0.2,60179,13477,1.3,0.4,36307,7641,2.8,0.4,41908,6026,87.3,0.8,54184,1242,2.7,0.5,31318,2267,26.7,0.9,54693,2483,39.4,1.0,58346,2604,31.2,0.7,43264,1661,50190,1356,64020,2351,35.0,1.5,60029,4370,65.0,1.5,65635,2462,79.9,1.5,73891,2878,14.9,1.3,31543,1901,5.2,0.9,42475,10885,24959,1178,29734,1742,57.4,2.5,26678,1814,50.9,2.4,24343,1464,6.6,1.4,58750,13911,42.6,2.5,32059,3112,36.4,2.3,29712,3487,6.2,1.4,58872,12543,32.3,(X),(X),(X),34.0,(X),(X),(X),28.2,(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9122,286,33956,2655,51.7,1.8,46410,3757,44.3,1.8,21546,1519,0.3,0.4,-,**,0.4,0.2,-,**,0.0,0.3,-,**,2.5,0.8,35250,21275,0.8,0.4,29028,20143,3.0,0.9,25850,14208,51.1,1.8,46673,3726,3.7,1.3,11591,9560,27.5,1.8,35813,4553,38.9,1.7,40286,3094,29.9,1.8,27769,2928,5968,260,42515,2240,40.0,2.3,33465,4960,60.0,2.3,50951,5233,66.5,2.7,56667,6783,28.7,2.4,19343,3510,4.8,1.4,39306,4259,3154,265,17108,1212,56.7,4.2,15475,1113,53.7,4.4,15170,1175,3.0,2.0,-,**,43.3,4.2,22533,5376,39.8,4.5,20682,4388,3.5,1.7,68594,47729,35.1,(X),(X),(X),38.1,(X),(X),(X),26.9,(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7048,352,39776,3306,83.9,2.0,42054,3789,15.2,2.1,28256,5013,0.3,0.2,-,**,0.0,0.4,-,**,0.0,0.4,-,**,0.0,0.4,-,**,0.6,0.5,-,**,1.2,0.5,45909,40926,82.7,2.1,42020,3754,1.7,1.0,18472,6924,28.9,2.8,45585,6963,39.5,3.2,47635,10617,29.9,2.5,29764,4521,5272,329,48682,5826,34.0,4.6,45061,7432,66.0,4.6,51026,3663,74.5,4.7,57756,5049,19.6,4.2,22564,3632,5.9,2.2,26917,19256,1776,230,20197,4952,47.7,6.4,17769,3044,46.7,6.3,17801,3030,1.0,1.0,-,**,52.3,6.4,24556,6747,45.0,6.5,22747,6721,7.3,4.9,41402,21019,45.1,(X),(X),(X),45.8,(X),(X),(X),38.8,(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",20619,403,46212,2443,96.4,0.7,46879,2468,1.2,0.3,37647,13157,0.2,0.2,54375,35050,0.2,0.2,-,**,0.0,0.1,-,**,0.6,0.5,28516,5880,1.3,0.4,42257,20427,4.9,0.6,34375,7206,92.3,0.8,48045,2287,2.1,0.5,31435,11862,30.9,1.5,53072,4606,39.5,1.3,51775,3517,27.5,1.3,32179,2474,15439,475,54434,3062,39.9,2.0,54618,4215,60.1,2.0,54266,5003,79.8,2.5,63671,2536,13.2,2.0,26938,4057,7.0,1.3,42992,5881,5180,420,23806,2237,54.9,3.9,19785,4483,50.0,4.2,18375,3326,4.9,1.8,31696,5625,45.1,3.9,28038,4556,41.2,3.9,26532,4312,3.9,1.6,51149,10988,30.7,(X),(X),(X),31.3,(X),(X),(X),26.8,(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3556,210,29335,5435,23.2,3.4,52036,9953,75.8,3.5,24411,3522,0.4,0.7,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.5,0.9,-,**,0.0,0.8,-,**,23.2,3.4,52036,9953,2.8,1.9,10625,4523,27.6,5.1,22614,8271,40.4,5.2,41065,5653,29.2,3.7,25982,8460,2318,244,41165,5394,38.1,7.9,33363,8371,61.9,7.9,48359,9967,50.6,6.7,53875,7858,36.8,6.5,14314,11523,12.5,6.4,34188,12595,1238,206,20613,2540,47.7,9.2,18889,6353,42.9,9.3,15625,8684,4.8,4.0,-,**,52.3,9.2,21082,2235,46.9,9.9,20631,4182,5.4,4.3,-,**,45.8,(X),(X),(X),44.0,(X),(X),(X),45.8,(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",7675,251,34315,2904,56.4,1.7,43819,4991,41.0,1.7,23904,2612,0.1,0.1,9750,9257,0.9,0.3,91481,33172,0.0,0.4,-,**,0.2,0.3,-,**,1.4,0.7,-,**,1.1,0.8,-,**,55.6,1.7,44208,4937,5.4,1.4,26389,12401,26.4,1.7,37380,3712,38.3,1.7,39281,5892,29.9,1.6,28441,3839,5139,248,41694,2716,37.8,2.6,36779,8968,62.2,2.6,44970,4868,65.8,3.2,56981,3630,26.7,3.1,21264,2861,7.5,1.9,29005,14313,2536,237,18690,2333,60.9,4.7,16733,2905,55.5,4.9,14948,2608,5.4,2.6,46750,15514,39.1,4.7,24539,11307,32.4,4.0,19200,5620,6.7,2.5,67692,24245,37.2,(X),(X),(X),36.6,(X),(X),(X),38.4,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",45071,581,41954,1381,76.0,0.8,46992,2313,21.0,0.8,26523,3168,0.4,0.2,34489,28636,0.6,0.2,48125,32252,0.0,0.1,-,**,0.8,0.3,31223,25061,1.3,0.3,33281,4834,2.5,0.3,31331,3674,74.5,0.8,47514,2389,5.3,0.7,20562,2495,29.6,1.1,43360,3152,39.1,1.0,50918,2779,26.0,0.8,34796,1704,30700,716,52511,1944,38.6,1.4,44735,4113,61.4,1.4,54971,2146,70.0,1.8,63556,2131,24.1,1.6,25529,2140,5.9,0.8,41179,6237,14371,667,23418,1667,54.2,2.4,19207,1365,48.0,2.3,18064,1424,6.2,1.3,31875,13507,45.8,2.4,30908,2851,37.4,2.3,27756,4763,8.5,1.8,39159,2843,32.7,(X),(X),(X),33.4,(X),(X),(X),30.1,(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13851,359,36027,1870,58.3,1.4,42628,4316,39.9,1.3,28558,3264,0.4,0.3,-,**,0.9,0.3,69063,7101,0.0,0.2,-,**,0.0,0.2,-,**,0.5,0.3,43688,18356,0.4,0.3,16691,14682,57.9,1.3,42945,4268,2.9,1.0,36360,15425,27.5,1.8,41334,3092,40.9,1.6,40817,3206,28.8,1.2,29721,2692,8654,397,47749,2443,33.5,2.3,38136,5873,66.5,2.3,50686,2472,66.8,2.7,59075,4162,25.0,2.3,22417,3490,8.2,1.9,38750,9532,5197,355,20926,1802,54.7,3.1,19020,2824,50.9,3.2,17779,2684,3.9,1.6,37981,21036,45.3,3.1,24146,3547,38.8,3.4,22964,3300,6.5,2.3,41181,28137,36.4,(X),(X),(X),38.7,(X),(X),(X),31.2,(X),(X),(X)
