GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55049,*****,42311,336,10196,260,226,75,444,158,31,33,764,381,1077,324,70,72,1007,320
0500000US01003,01003,"Baldwin County, Alabama",199510,*****,172441,618,18594,635,1355,328,1338,401,0,27,1766,587,4016,758,908,477,3108,692
0500000US01005,01005,"Barbour County, Alabama",26614,*****,12430,202,12756,71,46,45,129,33,0,21,1099,203,154,67,6,10,148,67
0500000US01007,01007,"Bibb County, Alabama",22572,*****,17370,15,4788,216,81,44,14,25,0,21,8,15,311,214,0,21,311,214
0500000US01009,01009,"Blount County, Alabama",57704,*****,55073,284,905,97,201,104,92,56,0,27,501,254,932,196,28,27,904,189
0500000US01011,01011,"Bullock County, Alabama",10552,*****,2301,17,7967,204,84,110,84,88,0,18,1,4,115,171,0,18,115,171
0500000US01013,01013,"Butler County, Alabama",20280,*****,10876,87,8875,86,15,14,203,26,0,21,44,55,267,95,0,21,267,95
0500000US01015,01015,"Calhoun County, Alabama",115883,*****,86777,448,23791,432,382,246,1079,116,6,10,1221,422,2627,483,133,100,2494,451
0500000US01017,01017,"Chambers County, Alabama",34018,*****,19417,83,13779,180,78,41,312,30,0,24,42,55,390,163,18,29,372,160
