GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55049,*****,53633,*****,41663,161,10113,242,226,75,444,158,6,14,123,148,1058,319,51,66,1007,320,1416,*****,648,308,83,84,0,27,0,27,25,29,641,358,19,30,19,30,0,27
0500000US01003,01003,"Baldwin County, Alabama",199510,*****,190798,*****,165950,245,18406,595,1228,283,1325,400,0,27,305,223,3584,756,575,452,3009,713,8712,*****,6491,597,188,198,127,107,13,20,0,27,1461,551,432,244,333,230,99,81
0500000US01005,01005,"Barbour County, Alabama",26614,*****,25467,*****,12212,154,12745,74,46,45,118,32,0,21,198,159,148,67,0,21,148,67,1147,*****,218,131,11,14,0,21,11,16,0,21,901,135,6,10,6,10,0,21
0500000US01007,01007,"Bibb County, Alabama",22572,*****,22070,*****,16876,21,4788,216,81,44,14,25,0,21,0,21,311,214,0,21,311,214,502,*****,494,15,0,21,0,21,0,21,0,21,8,15,0,21,0,21,0,21
0500000US01009,01009,"Blount County, Alabama",57704,*****,52668,*****,50582,147,899,96,171,95,92,56,0,27,130,147,794,129,5,9,789,126,5036,*****,4491,244,6,14,30,40,0,27,0,27,371,212,138,120,23,27,115,116
0500000US01011,01011,"Bullock County, Alabama",10552,*****,10539,17,2288,18,7967,204,84,110,84,88,0,18,1,4,115,171,0,18,115,171,13,17,13,17,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",20280,*****,20027,*****,10704,18,8825,84,15,14,203,26,0,21,13,18,267,95,0,21,267,95,253,*****,172,86,50,63,0,21,0,21,0,21,31,51,0,21,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",115883,*****,111901,*****,84592,40,23561,414,229,79,1079,116,6,10,27,28,2407,435,19,31,2388,437,3982,*****,2185,448,230,148,153,235,0,27,0,27,1194,423,220,143,114,100,106,100
0500000US01017,01017,"Chambers County, Alabama",34018,*****,33870,89,19303,24,13770,181,78,41,312,30,0,24,17,26,390,163,18,29,372,160,148,89,114,83,9,14,0,24,0,24,0,24,25,33,0,24,0,24,0,24
0500000US01019,01019,"Cherokee County, Alabama",25897,*****,25492,*****,23792,21,1193,99,152,82,86,71,0,21,0,21,269,117,6,11,263,112,405,*****,364,49,16,25,0,21,23,43,0,21,2,4,0,21,0,21,0,21
0500000US01021,01021,"Chilton County, Alabama",43817,*****,40476,*****,35321,60,4386,153,134,90,191,72,0,24,37,60,407,197,0,24,407,197,3341,*****,1419,422,32,49,0,24,0,24,0,24,1845,421,45,46,20,23,25,40
0500000US01023,01023,"Choctaw County, Alabama",13287,*****,13213,52,7468,5,5611,114,2,4,6,9,0,18,2,5,124,88,0,18,124,88,74,52,27,41,47,46,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01025,01025,"Clarke County, Alabama",24847,*****,24804,37,13213,21,11304,149,8,11,114,101,33,59,0,21,132,96,0,21,132,96,43,37,40,37,0,21,0,21,0,21,0,21,0,21,3,7,3,7,0,21
0500000US01027,01027,"Clay County, Alabama",13483,*****,13064,*****,10822,18,1988,108,119,34,0,18,0,18,25,32,110,115,0,18,110,115,419,*****,355,70,5,13,5,11,0,18,0,18,43,61,11,15,11,15,0,18
0500000US01029,01029,"Cleburne County, Alabama",14991,*****,14642,*****,13911,18,354,73,21,40,86,107,0,18,0,18,270,101,0,18,270,101,349,*****,265,71,0,18,0,18,0,18,0,18,58,59,26,27,26,27,0,18
0500000US01031,01031,"Coffee County, Alabama",50991,*****,47647,*****,36393,7,8671,217,421,87,623,111,0,27,5,6,1534,260,6,6,1528,259,3344,*****,2552,348,95,84,0,27,0,27,0,27,523,331,174,98,8,11,166,99
0500000US01033,01033,"Colbert County, Alabama",54377,*****,53071,*****,42878,46,8509,295,328,121,231,27,31,35,30,46,1064,308,0,27,1064,308,1306,*****,501,244,23,36,0,27,24,36,0,27,575,303,183,117,168,117,15,20
0500000US01035,01035,"Conecuh County, Alabama",12697,*****,12473,*****,6440,4,5868,114,19,28,14,25,0,18,1,4,131,111,0,18,131,111,224,*****,153,71,12,17,0,18,0,18,0,18,0,18,59,68,0,18,59,68
0500000US01037,01037,"Coosa County, Alabama",10864,*****,10724,190,7064,18,3516,219,8,13,0,18,0,18,0,18,136,164,0,18,136,164,140,190,140,190,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01039,01039,"Covington County, Alabama",37729,*****,37151,*****,31509,6,4896,69,130,61,176,33,23,27,3,6,414,96,0,24,414,96,578,*****,372,90,49,43,0,24,0,24,0,24,141,83,16,19,9,14,7,12
0500000US01041,01041,"Crenshaw County, Alabama",13896,*****,13662,*****,9848,22,3290,92,123,17,232,18,0,18,55,63,114,78,0,18,114,78,234,*****,87,68,22,52,0,18,0,18,0,18,125,76,0,18,0,18,0,18
0500000US01043,01043,"Cullman County, Alabama",81316,*****,77890,*****,75188,104,843,104,425,172,497,27,15,26,63,102,859,208,15,22,844,203,3426,*****,2758,306,56,59,0,27,0,27,4,7,571,296,37,42,26,38,11,19
0500000US01045,01045,"Dale County, Alabama",49607,*****,46686,*****,34820,77,9625,185,286,93,508,94,11,15,77,68,1359,243,58,64,1301,241,2921,*****,2101,337,131,91,9,20,0,24,0,24,534,317,146,124,13,19,133,123
0500000US01047,01047,"Dallas County, Alabama",41426,*****,41029,*****,11628,24,28790,180,91,65,163,55,24,24,0,24,333,191,18,21,315,188,397,*****,256,103,8,15,0,24,0,24,13,24,92,98,28,36,18,31,10,18
