"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Baldwin County, AL"	"01003"	33	309171	10.7	7.3	15.0	0.0%
	"Barbour County, AL"	"01005"	33	237272	13.9	9.6	19.5	0.0%
	"Bibb County, AL"	"01007"	15	88602	Unreliable	9.5	27.9	0.0%
	"Bullock County, AL"	"01011"	18	141812	Unreliable	7.5	20.1	0.0%
	"Butler County, AL"	"01013"	39	160492	24.3	17.3	33.2	0.0%
	"Calhoun County, AL"	"01015"	103	425685	24.2	19.5	28.9	0.1%
	"Chambers County, AL"	"01017"	34	247205	13.8	9.5	19.2	0.0%
	"Chilton County, AL"	"01021"	15	80596	Unreliable	10.4	30.7	0.0%
	"Choctaw County, AL"	"01023"	17	112950	Unreliable	8.8	24.1	0.0%
	"Clarke County, AL"	"01025"	29	208215	13.9	9.3	20.0	0.0%
	"Coffee County, AL"	"01031"	10	156278	Unreliable	3.1	11.8	0.0%
	"Colbert County, AL"	"01033"	22	163704	13.4	8.4	20.3	0.0%
	"Conecuh County, AL"	"01035"	14	110439	Unreliable	6.9	21.3	0.0%
	"Coosa County, AL"	"01037"	12	66721	Unreliable	9.3	31.4	0.0%
	"Crenshaw County, AL"	"01041"	18	61667	Unreliable	17.3	46.1	0.0%
	"Dale County, AL"	"01045"	20	185346	10.8	6.6	16.7	0.0%
	"Dallas County, AL"	"01047"	153	535731	28.6	24.0	33.1	0.1%
	"Elmore County, AL"	"01051"	42	285625	14.7	10.6	19.9	0.0%
	"Escambia County, AL"	"01053"	36	218180	16.5	11.6	22.8	0.0%
	"Etowah County, AL"	"01055"	62	287398	21.6	16.5	27.7	0.0%
	"Greene County, AL"	"01063"	23	135211	17.0	10.8	25.5	0.0%
	"Hale County, AL"	"01065"	19	172729	Unreliable	6.6	17.2	0.0%
	"Henry County, AL"	"01067"	11	92113	Unreliable	6.0	21.4	0.0%
	"Houston County, AL"	"01069"	45	458877	9.8	7.2	13.1	0.0%
	"Jefferson County, AL"	"01073"	1637	4959561	33.0	31.4	34.6	1.1%
