"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Autauga County, AL"	"01001"	1433	168140	852.3	808.1	896.4	0.0%
	"Baldwin County, AL"	"01003"	2517	309171	814.1	782.3	845.9	0.0%
	"Barbour County, AL"	"01005"	2092	237272	881.7	843.9	919.5	0.0%
	"Bibb County, AL"	"01007"	673	88602	759.6	702.2	817.0	0.0%
	"Blount County, AL"	"01009"	132	17167	768.9	637.7	900.1	0.0%
	"Bullock County, AL"	"01011"	1570	141812	1107.1	1052.3	1161.9	0.0%
	"Butler County, AL"	"01013"	1832	160492	1141.5	1089.2	1193.8	0.0%
	"Calhoun County, AL"	"01015"	4020	425685	944.4	915.2	973.6	0.1%
	"Chambers County, AL"	"01017"	2500	247205	1011.3	971.7	1050.9	0.0%
	"Cherokee County, AL"	"01019"	283	23780	1190.1	1051.4	1328.7	0.0%
	"Chilton County, AL"	"01021"	791	80596	981.4	913.0	1049.8	0.0%
	"Choctaw County, AL"	"01023"	1283	112950	1135.9	1073.7	1198.1	0.0%
	"Clarke County, AL"	"01025"	2080	208215	999.0	956.0	1041.9	0.0%
	"Clay County, AL"	"01027"	393	39098	1005.2	905.8	1104.5	0.0%
	"Cleburne County, AL"	"01029"	137	10263	1334.9	1111.4	1558.4	0.0%
	"Coffee County, AL"	"01031"	1482	156278	948.3	900.0	996.6	0.0%
	"Colbert County, AL"	"01033"	1817	163704	1109.9	1058.9	1161.0	0.0%
	"Conecuh County, AL"	"01035"	1185	110439	1073.0	1011.9	1134.1	0.0%
	"Coosa County, AL"	"01037"	711	66721	1065.6	987.3	1144.0	0.0%
	"Covington County, AL"	"01039"	986	86800	1135.9	1065.0	1206.8	0.0%
	"Crenshaw County, AL"	"01041"	740	61667	1200.0	1113.5	1286.5	0.0%
	"Cullman County, AL"	"01043"	128	19116	669.6	553.6	785.6	0.0%
	"Dale County, AL"	"01045"	1442	185346	778.0	737.8	818.2	0.0%
	"Dallas County, AL"	"01047"	5705	535731	1064.9	1037.3	1092.5	0.1%
	"DeKalb County, AL"	"01049"	186	25444	731.0	626.0	836.1	0.0%
	"Elmore County, AL"	"01051"	1926	285625	674.3	644.2	704.4	0.0%
	"Escambia County, AL"	"01053"	2050	218180	939.6	898.9	980.3	0.0%
	"Etowah County, AL"	"01055"	3002	287398	1044.5	1007.2	1081.9	0.1%
	"Fayette County, AL"	"01057"	472	38217	1235.1	1123.6	1346.5	0.0%
	"Franklin County, AL"	"01059"	257	25350	1013.8	889.9	1137.8	0.0%
	"Geneva County, AL"	"01061"	530	49050	1080.5	988.5	1172.5	0.0%
	"Greene County, AL"	"01063"	1495	135211	1105.7	1049.6	1161.7	0.0%
	"Hale County, AL"	"01065"	1791	172729	1036.9	988.9	1084.9	0.0%
	"Henry County, AL"	"01067"	1093	92113	1186.6	1116.2	1256.9	0.0%
	"Houston County, AL"	"01069"	3756	458877	818.5	792.3	844.7	0.1%
	"Jackson County, AL"	"01071"	386	37096	1040.5	936.7	1144.3	0.0%
	"Jefferson County, AL"	"01073"	47949	4959561	966.8	958.1	975.5	0.9%
	"Lamar County, AL"	"01075"	375	31723	1182.1	1062.5	1301.8	0.0%
	"Lauderdale County, AL"	"01077"	1587	168323	942.8	896.4	989.2	0.0%
	"Lawrence County, AL"	"01079"	786	76469	1027.9	956.0	1099.7	0.0%
	"Lee County, AL"	"01081"	4401	567547	775.4	752.5	798.4	0.1%
	"Limestone County, AL"	"01083"	1233	189485	650.7	614.4	687.0	0.0%
	"Lowndes County, AL"	"01085"	1783	157875	1129.4	1077.0	1181.8	0.0%
	"Macon County, AL"	"01087"	3887	327544	1186.7	1149.4	1224.0	0.1%
	"Madison County, AL"	"01089"	8396	1404970	597.6	584.8	610.4	0.2%
	"Marengo County, AL"	"01091"	2280	199035	1145.5	1098.5	1192.5	0.0%
	"Marion County, AL"	"01093"	211	22737	928.0	802.8	1053.2	0.0%
	"Marshall County, AL"	"01095"	267	36603	729.4	642.0	816.9	0.0%
	"Mobile County, AL"	"01097"	23796	2559110	929.9	918.0	941.7	0.4%
	"Monroe County, AL"	"01099"	1747	173216	1008.6	961.3	1055.9	0.0%
	"Montgomery County, AL"	"01101"	16544	2191678	754.9	743.4	766.4	0.3%
	"Morgan County, AL"	"01103"	1934	257017	752.5	718.9	786.0	0.0%
	"Perry County, AL"	"01105"	1600	133303	1200.3	1141.5	1259.1	0.0%
	"Pickens County, AL"	"01107"	1762	153693	1146.4	1092.9	1200.0	0.0%
	"Pike County, AL"	"01109"	1990	213599	931.7	890.7	972.6	0.0%
	"Randolph County, AL"	"01111"	921	86179	1068.7	999.7	1137.7	0.0%
	"Russell County, AL"	"01113"	3648	409939	889.9	861.0	918.8	0.1%
	"St. Clair County, AL"	"01115"	903	124179	727.2	679.7	774.6	0.0%
	"Shelby County, AL"	"01117"	1629	339015	480.5	457.2	503.8	0.0%
	"Sumter County, AL"	"01119"	2032	185963	1092.7	1045.2	1140.2	0.0%
	"Talladega County, AL"	"01121"	4221	473335	891.8	864.9	918.7	0.1%
	"Tallapoosa County, AL"	"01123"	2134	200176	1066.1	1020.8	1111.3	0.0%
	"Tuscaloosa County, AL"	"01125"	7686	1008384	762.2	745.2	779.3	0.1%
	"Walker County, AL"	"01127"	871	77542	1123.3	1048.7	1197.9	0.0%
	"Washington County, AL"	"01129"	809	80860	1000.5	931.6	1069.4	0.0%
	"Wilcox County, AL"	"01131"	1806	156565	1153.5	1100.3	1206.7	0.0%
	"Winston County, AL"	"01133"	32	3402	940.6	643.4	1327.9	0.0%
	"Anchorage Borough, AK"	"02020"	1352	379180	356.6	337.6	375.6	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	279	107797	258.8	228.4	289.2	0.0%
	"Juneau Borough, AK"	"02110"	30	9168	327.2	220.8	467.1	0.0%
	"Kenai Peninsula Borough, AK"	"02122"	19	8597	Unreliable	133.1	345.1	0.0%
	"Ketchikan Gateway Borough, AK"	"02130"	10	2589	Unreliable	185.2	710.3	0.0%
	"Kodiak Island Borough, AK"	"02150"	11	3245	Unreliable	169.2	606.5	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	70	23139	302.5	235.8	382.2	0.0%
	"Apache County, AZ"	"04001"	22	8901	247.2	154.9	374.2	0.0%
	"Cochise County, AZ"	"04003"	450	119718	375.9	341.2	410.6	0.0%
	"Coconino County, AZ"	"04005"	178	39579	449.7	383.7	515.8	0.0%
	"Gila County, AZ"	"04007"	14	7030	Unreliable	108.9	334.1	0.0%
	"Graham County, AZ"	"04009"	54	15068	358.4	269.2	467.6	0.0%
	"La Paz County, AZ"	"04012"	29	4688	618.6	414.3	888.4	0.0%
	"Maricopa County, AZ"	"04013"	17749	3651864	486.0	478.9	493.2	0.3%
	"Mohave County, AZ"	"04015"	232	43125	538.0	468.7	607.2	0.0%
	"Navajo County, AZ"	"04017"	143	25127	569.1	475.8	662.4	0.0%
	"Pima County, AZ"	"04019"	4041	722683	559.2	541.9	576.4	0.1%
	"Pinal County, AZ"	"04021"	1094	263225	415.6	391.0	440.2	0.0%
	"Santa Cruz County, AZ"	"04023"	15	5786	Unreliable	145.1	427.6	0.0%
