"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Autauga County, AL"	"01001"	7893	920175	857.8	838.8	876.7	0.0%
	"Baldwin County, AL"	"01003"	30292	3104213	975.8	964.8	986.8	0.1%
	"Barbour County, AL"	"01005"	5197	499605	1040.2	1011.9	1068.5	0.0%
	"Bibb County, AL"	"01007"	4089	397480	1028.7	997.2	1060.3	0.0%
	"Blount County, AL"	"01009"	9912	997776	993.4	973.9	1013.0	0.0%
	"Bullock County, AL"	"01011"	2305	197584	1166.6	1119.0	1214.2	0.0%
	"Butler County, AL"	"01013"	4986	373621	1334.5	1297.5	1371.5	0.0%
	"Calhoun County, AL"	"01015"	24273	2074478	1170.1	1155.4	1184.8	0.1%
	"Chambers County, AL"	"01017"	8333	628932	1324.9	1296.5	1353.4	0.0%
	"Cherokee County, AL"	"01019"	5479	455087	1203.9	1172.1	1235.8	0.0%
	"Chilton County, AL"	"01021"	8150	762939	1068.2	1045.0	1091.4	0.0%
	"Choctaw County, AL"	"01023"	3077	258321	1191.2	1149.1	1233.2	0.0%
	"Clarke County, AL"	"01025"	5172	472909	1093.7	1063.9	1123.5	0.0%
	"Clay County, AL"	"01027"	3271	251003	1303.2	1258.5	1347.8	0.0%
	"Cleburne County, AL"	"01029"	3077	263729	1166.7	1125.5	1208.0	0.0%
	"Coffee County, AL"	"01031"	8583	857552	1000.9	979.7	1022.0	0.0%
	"Colbert County, AL"	"01033"	11854	980863	1208.5	1186.8	1230.3	0.0%
	"Conecuh County, AL"	"01035"	3087	240060	1285.9	1240.6	1331.3	0.0%
	"Coosa County, AL"	"01037"	2435	204784	1189.1	1141.8	1236.3	0.0%
	"Covington County, AL"	"01039"	9114	675450	1349.3	1321.6	1377.0	0.0%
	"Crenshaw County, AL"	"01041"	3237	249207	1298.9	1254.2	1343.7	0.0%
	"Cullman County, AL"	"01043"	16582	1431088	1158.7	1141.1	1176.3	0.0%
	"Dale County, AL"	"01045"	8382	891572	940.1	920.0	960.3	0.0%
	"Dallas County, AL"	"01047"	9825	790398	1243.0	1218.5	1267.6	0.0%
	"DeKalb County, AL"	"01049"	13014	1237877	1051.3	1033.3	1069.4	0.0%
	"Elmore County, AL"	"01051"	11839	1354531	874.0	858.3	889.8	0.0%
	"Escambia County, AL"	"01053"	7993	683449	1169.5	1143.9	1195.1	0.0%
	"Etowah County, AL"	"01055"	24449	1864778	1311.1	1294.7	1327.5	0.1%
	"Fayette County, AL"	"01057"	4186	316518	1322.5	1282.5	1362.6	0.0%
	"Franklin County, AL"	"01059"	6976	564069	1236.7	1207.7	1265.8	0.0%
	"Geneva County, AL"	"01061"	5925	473180	1252.2	1220.3	1284.1	0.0%
	"Greene County, AL"	"01063"	1965	167230	1175.0	1123.1	1227.0	0.0%
	"Hale County, AL"	"01065"	3404	292223	1164.9	1125.7	1204.0	0.0%
	"Henry County, AL"	"01067"	3814	304556	1252.3	1212.6	1292.1	0.0%
	"Houston County, AL"	"01069"	17236	1750954	984.4	969.7	999.1	0.0%
	"Jackson County, AL"	"01071"	11466	959194	1195.4	1173.5	1217.3	0.0%
	"Jefferson County, AL"	"01073"	127705	11854635	1077.3	1071.3	1083.2	0.3%
	"Lamar County, AL"	"01075"	3504	266678	1313.9	1270.4	1357.5	0.0%
	"Lauderdale County, AL"	"01077"	18083	1632135	1107.9	1091.8	1124.1	0.0%
	"Lawrence County, AL"	"01079"	6746	614698	1097.4	1071.3	1123.6	0.0%
	"Lee County, AL"	"01081"	15667	2418094	647.9	637.8	658.1	0.0%
	"Limestone County, AL"	"01083"	11558	1404371	823.0	808.0	838.0	0.0%
	"Lowndes County, AL"	"01085"	2473	214208	1154.5	1109.0	1200.0	0.0%
	"Macon County, AL"	"01087"	4671	391167	1194.1	1159.9	1228.4	0.0%
	"Madison County, AL"	"01089"	45413	5712479	795.0	787.7	802.3	0.1%
	"Marengo County, AL"	"01091"	4575	382442	1196.3	1161.6	1230.9	0.0%
	"Marion County, AL"	"01093"	7157	551156	1298.5	1268.5	1328.6	0.0%
	"Marshall County, AL"	"01095"	18288	1608450	1137.0	1120.5	1153.5	0.0%
	"Mobile County, AL"	"01097"	73428	7321586	1002.9	995.6	1010.2	0.2%
	"Monroe County, AL"	"01099"	4634	417677	1109.5	1077.5	1141.4	0.0%
	"Montgomery County, AL"	"01101"	37097	4070088	911.5	902.2	920.7	0.1%
	"Morgan County, AL"	"01103"	20815	2091395	995.3	981.7	1008.8	0.0%
	"Perry County, AL"	"01105"	2583	193471	1335.1	1283.6	1386.6	0.0%
	"Pickens County, AL"	"01107"	4592	364128	1261.1	1224.6	1297.6	0.0%
	"Pike County, AL"	"01109"	5675	569863	995.9	969.9	1021.8	0.0%
	"Randolph County, AL"	"01111"	5072	407079	1245.9	1211.7	1280.2	0.0%
	"Russell County, AL"	"01113"	10247	954636	1073.4	1052.6	1094.2	0.0%
	"St. Clair County, AL"	"01115"	13660	1394254	979.7	963.3	996.2	0.0%
	"Shelby County, AL"	"01117"	20354	3251987	625.9	617.3	634.5	0.0%
	"Sumter County, AL"	"01119"	2822	250527	1126.4	1084.9	1168.0	0.0%
	"Talladega County, AL"	"01121"	16671	1464637	1138.2	1121.0	1155.5	0.0%
	"Tallapoosa County, AL"	"01123"	9425	742735	1269.0	1243.3	1294.6	0.0%
	"Tuscaloosa County, AL"	"01125"	28418	3331999	852.9	843.0	862.8	0.1%
	"Walker County, AL"	"01127"	17241	1220606	1412.5	1391.4	1433.6	0.0%
	"Washington County, AL"	"01129"	3321	314819	1054.9	1019.0	1090.8	0.0%
	"Wilcox County, AL"	"01131"	2646	216970	1219.5	1173.1	1266.0	0.0%
	"Winston County, AL"	"01133"	5416	440476	1229.6	1196.8	1262.3	0.0%
	"Aleutians East Borough, AK"	"02013"	125	53450	233.9	192.9	274.9	0.0%
	"Aleutians West Census Area, AK"	"02016"	249	100530	247.7	216.9	278.5	0.0%
	"Anchorage Borough, AK"	"02020"	24459	5086641	480.8	474.8	486.9	0.1%
	"Bethel Census Area, AK"	"02050"	1742	305095	571.0	544.2	597.8	0.0%
	"Bristol Bay Borough, AK"	"02060"	123	19316	636.8	524.2	749.3	0.0%
	"Denali Borough, AK"	"02068"	95	26012	365.2	295.5	446.5	0.0%
	"Dillingham Census Area, AK"	"02070"	542	88068	615.4	563.6	667.2	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	7090	1674452	423.4	413.6	433.3	0.0%
	"Haines Borough, AK"	"02100"	315	43674	721.3	641.6	800.9	0.0%
