"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Autauga County, AL"	"01001"	146	168140	86.8	72.7	100.9	0.0%
	"Baldwin County, AL"	"01003"	206	309171	66.6	57.5	75.7	0.0%
	"Barbour County, AL"	"01005"	169	237272	71.2	60.5	82.0	0.0%
	"Bibb County, AL"	"01007"	79	88602	89.2	70.6	111.1	0.0%
	"Blount County, AL"	"01009"	13	17167	Unreliable	40.3	129.5	0.0%
	"Bullock County, AL"	"01011"	154	141812	108.6	91.4	125.7	0.0%
	"Butler County, AL"	"01013"	162	160492	100.9	85.4	116.5	0.0%
	"Calhoun County, AL"	"01015"	331	425685	77.8	69.4	86.1	0.1%
	"Chambers County, AL"	"01017"	206	247205	83.3	72.0	94.7	0.0%
	"Cherokee County, AL"	"01019"	29	23780	122.0	81.7	175.1	0.0%
	"Chilton County, AL"	"01021"	79	80596	98.0	77.6	122.2	0.0%
	"Choctaw County, AL"	"01023"	132	112950	116.9	96.9	136.8	0.0%
	"Clarke County, AL"	"01025"	193	208215	92.7	79.6	105.8	0.0%
	"Clay County, AL"	"01027"	24	39098	61.4	39.3	91.3	0.0%
	"Coffee County, AL"	"01031"	91	156278	58.2	46.9	71.5	0.0%
	"Colbert County, AL"	"01033"	133	163704	81.2	67.4	95.1	0.0%
	"Conecuh County, AL"	"01035"	114	110439	103.2	84.3	122.2	0.0%
	"Coosa County, AL"	"01037"	71	66721	106.4	83.1	134.2	0.0%
	"Covington County, AL"	"01039"	66	86800	76.0	58.8	96.7	0.0%
	"Crenshaw County, AL"	"01041"	70	61667	113.5	88.5	143.4	0.0%
	"Cullman County, AL"	"01043"	11	19116	Unreliable	28.7	103.0	0.0%
	"Dale County, AL"	"01045"	108	185346	58.3	47.3	69.3	0.0%
	"Dallas County, AL"	"01047"	528	535731	98.6	90.2	107.0	0.1%
	"Elmore County, AL"	"01051"	193	285625	67.6	58.0	77.1	0.0%
