GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - Management, business, science, and arts occupations"
HD02_VD03,"Margin of Error; Total: - Management, business, science, and arts occupations"
HD01_VD04,Estimate; Total: - Service occupations
HD02_VD04,Margin of Error; Total: - Service occupations
HD01_VD05,Estimate; Total: - Sales and office occupations
HD02_VD05,Margin of Error; Total: - Sales and office occupations
HD01_VD06,"Estimate; Total: - Natural resources, construction, and maintenance occupations"
HD02_VD06,"Margin of Error; Total: - Natural resources, construction, and maintenance occupations"
HD01_VD07,"Estimate; Total: - Production, transportation, and material moving occupations"
HD02_VD07,"Margin of Error; Total: - Production, transportation, and material moving occupations"
HD01_VD08,Estimate; Total: - Employee of private company workers:
HD02_VD08,Margin of Error; Total: - Employee of private company workers:
HD01_VD09,"Estimate; Total: - Employee of private company workers: - Management, business, science, and arts occupations"
HD02_VD09,"Margin of Error; Total: - Employee of private company workers: - Management, business, science, and arts occupations"
HD01_VD10,Estimate; Total: - Employee of private company workers: - Service occupations
HD02_VD10,Margin of Error; Total: - Employee of private company workers: - Service occupations
HD01_VD11,Estimate; Total: - Employee of private company workers: - Sales and office occupations
HD02_VD11,Margin of Error; Total: - Employee of private company workers: - Sales and office occupations
HD01_VD12,"Estimate; Total: - Employee of private company workers: - Natural resources, construction, and maintenance occupations"
HD02_VD12,"Margin of Error; Total: - Employee of private company workers: - Natural resources, construction, and maintenance occupations"
HD01_VD13,"Estimate; Total: - Employee of private company workers: - Production, transportation, and material moving occupations"
HD02_VD13,"Margin of Error; Total: - Employee of private company workers: - Production, transportation, and material moving occupations"
HD01_VD14,Estimate; Total: - Self-employed in own incorporated business workers:
HD02_VD14,Margin of Error; Total: - Self-employed in own incorporated business workers:
HD01_VD15,"Estimate; Total: - Self-employed in own incorporated business workers: - Management, business, science, and arts occupations"
HD02_VD15,"Margin of Error; Total: - Self-employed in own incorporated business workers: - Management, business, science, and arts occupations"
HD01_VD16,Estimate; Total: - Self-employed in own incorporated business workers: - Service occupations
HD02_VD16,Margin of Error; Total: - Self-employed in own incorporated business workers: - Service occupations
HD01_VD17,Estimate; Total: - Self-employed in own incorporated business workers: - Sales and office occupations
HD02_VD17,Margin of Error; Total: - Self-employed in own incorporated business workers: - Sales and office occupations
HD01_VD18,"Estimate; Total: - Self-employed in own incorporated business workers: - Natural resources, construction, and maintenance occupations"
HD02_VD18,"Margin of Error; Total: - Self-employed in own incorporated business workers: - Natural resources, construction, and maintenance occupations"
HD01_VD19,"Estimate; Total: - Self-employed in own incorporated business workers: - Production, transportation, and material moving occupations"
HD02_VD19,"Margin of Error; Total: - Self-employed in own incorporated business workers: - Production, transportation, and material moving occupations"
HD01_VD20,Estimate; Total: - Private not-for-profit wage and salary workers:
HD02_VD20,Margin of Error; Total: - Private not-for-profit wage and salary workers:
HD01_VD21,"Estimate; Total: - Private not-for-profit wage and salary workers: - Management, business, science, and arts occupations"
HD02_VD21,"Margin of Error; Total: - Private not-for-profit wage and salary workers: - Management, business, science, and arts occupations"
HD01_VD22,Estimate; Total: - Private not-for-profit wage and salary workers: - Service occupations
HD02_VD22,Margin of Error; Total: - Private not-for-profit wage and salary workers: - Service occupations
HD01_VD23,Estimate; Total: - Private not-for-profit wage and salary workers: - Sales and office occupations
HD02_VD23,Margin of Error; Total: - Private not-for-profit wage and salary workers: - Sales and office occupations
HD01_VD24,"Estimate; Total: - Private not-for-profit wage and salary workers: - Natural resources, construction, and maintenance occupations"
HD02_VD24,"Margin of Error; Total: - Private not-for-profit wage and salary workers: - Natural resources, construction, and maintenance occupations"
HD01_VD25,"Estimate; Total: - Private not-for-profit wage and salary workers: - Production, transportation, and material moving occupations"
HD02_VD25,"Margin of Error; Total: - Private not-for-profit wage and salary workers: - Production, transportation, and material moving occupations"
HD01_VD26,"Estimate; Total: - Local, state, and federal government workers:"
HD02_VD26,"Margin of Error; Total: - Local, state, and federal government workers:"
HD01_VD27,"Estimate; Total: - Local, state, and federal government workers: - Management, business, science, and arts occupations"
HD02_VD27,"Margin of Error; Total: - Local, state, and federal government workers: - Management, business, science, and arts occupations"
HD01_VD28,"Estimate; Total: - Local, state, and federal government workers: - Service occupations"
HD02_VD28,"Margin of Error; Total: - Local, state, and federal government workers: - Service occupations"
HD01_VD29,"Estimate; Total: - Local, state, and federal government workers: - Sales and office occupations"
HD02_VD29,"Margin of Error; Total: - Local, state, and federal government workers: - Sales and office occupations"
HD01_VD30,"Estimate; Total: - Local, state, and federal government workers: - Natural resources, construction, and maintenance occupations"
HD02_VD30,"Margin of Error; Total: - Local, state, and federal government workers: - Natural resources, construction, and maintenance occupations"
HD01_VD31,"Estimate; Total: - Local, state, and federal government workers: - Production, transportation, and material moving occupations"
HD02_VD31,"Margin of Error; Total: - Local, state, and federal government workers: - Production, transportation, and material moving occupations"
HD01_VD32,Estimate; Total: - Self-employed in own not incorporated business workers and unpaid family workers:
HD02_VD32,Margin of Error; Total: - Self-employed in own not incorporated business workers and unpaid family workers:
HD01_VD33,"Estimate; Total: - Self-employed in own not incorporated business workers and unpaid family workers: - Management, business, science, and arts occupations"
