County,State,FIPS County Code,2016 Prescribing Rate
"Aleutians East, AK",AK,2013,
"Aleutians West, AK",AK,2016,
"Anchorage, AK",AK,2020,66.3
"Bethel, AK",AK,2050,
"Bristol Bay, AK",AK,2060,
"Denali, AK",AK,2068,
"Dillingham, AK",AK,2070,
"Fairbanks North Star, AK",AK,2090,48.4
"Haines, AK",AK,2100,
"Hoonah-Angoon, AK",AK,2105,
"Juneau, AK",AK,2110,79.8
"Kenai Peninsula, AK",AK,2122,97.9
"Ketchikan Gateway, AK",AK,2130,91.5
"Kodiak Island, AK",AK,2150,33.6
"Lake and Peninsula, AK",AK,2164,
"Matanuska-Susitna, AK",AK,2170,76.4
"Nome, AK",AK,2180,
"North Slope, AK",AK,2185,
"Northwest Arctic, AK",AK,2188,
"Petersburg, AK",AK,2195,71
"Prince of Wales-Hyder, AK",AK,2198,56.4
"Sitka, AK",AK,2220,9.5
"Skagway, AK",AK,2230,
"Southeast Fairbanks, AK",AK,2240,
"Valdez-Cordova, AK",AK,2261,45
"Wade Hampton, AK",AK,2270,
"Wrangell, AK",AK,2275,0.6
"Yakutat, AK",AK,2282,
"Yukon-Koyukuk, AK",AK,2290,
"Autauga, AL",AL,1001,129.6
"Baldwin, AL",AL,1003,123.8
"Barbour, AL",AL,1005,92.7
"Bibb, AL",AL,1007,97.2
"Blount, AL",AL,1009,56.9
"Bullock, AL",AL,1011,19.8
"Butler, AL",AL,1013,135.4
"Calhoun, AL",AL,1015,161
"Chambers, AL",AL,1017,140.6
"Cherokee, AL",AL,1019,157.7
"Chilton, AL",AL,1021,120.4
"Choctaw, AL",AL,1023,97.8
"Clarke, AL",AL,1025,164.7
"Clay, AL",AL,1027,133.7
"Cleburne, AL",AL,1029,44.2
"Coffee, AL",AL,1031,129.5
"Colbert, AL",AL,1033,208.1
"Conecuh, AL",AL,1035,93.9
"Coosa, AL",AL,1037,25.4
"Covington, AL",AL,1039,170.9
"Crenshaw, AL",AL,1041,90.9
"Cullman, AL",AL,1043,166.2
"Dale, AL",AL,1045,78.7
"Dallas, AL",AL,1047,117.8
"DeKalb, AL",AL,1049,114.4
"Elmore, AL",AL,1051,117.3
"Escambia, AL",AL,1053,173.9
"Etowah, AL",AL,1055,156.8
"Fayette, AL",AL,1057,133.3
"Franklin, AL",AL,1059,223.3
"Geneva, AL",AL,1061,50.2
"Greene, AL",AL,1063,79.8
"Hale, AL",AL,1065,97.7
"Henry, AL",AL,1067,30.7
"Houston, AL",AL,1069,142.8
"Jackson, AL",AL,1071,144.6
"Jefferson, AL",AL,1073,116.7
"Lamar, AL",AL,1075,104.7
"Lauderdale, AL",AL,1077,127.5
"Lawrence, AL",AL,1079,114.1
"Lee, AL",AL,1081,64.5
"Limestone, AL",AL,1083,76.5
"Lowndes, AL",AL,1085,0.7
"Macon, AL",AL,1087,60.1
"Madison, AL",AL,1089,113.7
"Marengo, AL",AL,1091,131.7
"Marion, AL",AL,1093,182.1
"Marshall, AL",AL,1095,191.1
"Mobile, AL",AL,1097,133.5
"Monroe, AL",AL,1099,135.7
"Montgomery, AL",AL,1101,88
"Morgan, AL",AL,1103,135.4
"Perry, AL",AL,1105,3.6
"Pickens, AL",AL,1107,81.5
"Pike, AL",AL,1109,105.5
"Randolph, AL",AL,1111,108.8
"Russell, AL",AL,1113,110.6
"St. Clair, AL",AL,1115,114.4
"Shelby, AL",AL,1117,100.7
"Sumter, AL",AL,1119,40.5
"Talladega, AL",AL,1121,138.9
"Tallapoosa, AL",AL,1123,108
"Tuscaloosa, AL",AL,1125,111.2
"Walker, AL",AL,1127,235.4
"Washington, AL",AL,1129,44.3
"Wilcox, AL",AL,1131,66.4
"Winston, AL",AL,1133,172.5
"Arkansas, AR",AR,5001,129.1
"Ashley, AR",AR,5003,115.8
