GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,All families  - Total; Estimate; Families
HC01_MOE_VC01,All families  - Total; Margin of Error; Families
HC02_EST_VC01,All families  - Percent below poverty level; Estimate; Families
HC02_MOE_VC01,All families  - Percent below poverty level; Margin of Error; Families
HC03_EST_VC01,Married-couple families  - Total; Estimate; Families
HC03_MOE_VC01,Married-couple families  - Total; Margin of Error; Families
HC04_EST_VC01,Married-couple families  - Percent below poverty level; Estimate; Families
HC04_MOE_VC01,Married-couple families  - Percent below poverty level; Margin of Error; Families
HC05_EST_VC01,"Female householder, no husband present  - Total; Estimate; Families"
HC05_MOE_VC01,"Female householder, no husband present  - Total; Margin of Error; Families"
HC06_EST_VC01,"Female householder, no husband present  - Percent below poverty level; Estimate; Families"
HC06_MOE_VC01,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Families"
HC01_EST_VC02,All families  - Total; Estimate; With related children of householder under 18 years
HC01_MOE_VC02,All families  - Total; Margin of Error; With related children of householder under 18 years
HC02_EST_VC02,All families  - Percent below poverty level; Estimate; With related children of householder under 18 years
HC02_MOE_VC02,All families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years
HC03_EST_VC02,Married-couple families  - Total; Estimate; With related children of householder under 18 years
HC03_MOE_VC02,Married-couple families  - Total; Margin of Error; With related children of householder under 18 years
HC04_EST_VC02,Married-couple families  - Percent below poverty level; Estimate; With related children of householder under 18 years
HC04_MOE_VC02,Married-couple families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years
HC05_EST_VC02,"Female householder, no husband present  - Total; Estimate; With related children of householder under 18 years"
HC05_MOE_VC02,"Female householder, no husband present  - Total; Margin of Error; With related children of householder under 18 years"
HC06_EST_VC02,"Female householder, no husband present  - Percent below poverty level; Estimate; With related children of householder under 18 years"
HC06_MOE_VC02,"Female householder, no husband present  - Percent below poverty level; Margin of Error; With related children of householder under 18 years"
HC01_EST_VC03,All families  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years
HC01_MOE_VC03,All families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years
HC02_EST_VC03,All families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years
