GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Total living in area 1 year ago: - Below 100 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Below 100 percent of the poverty level,Estimate; Total living in area 1 year ago: - 100 to 149 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - 100 to 149 percent of the poverty level,Estimate; Total living in area 1 year ago: - At or above 150 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - At or above 150 percent of the poverty level,Estimate; Total living in area 1 year ago: - Same house:,Margin of Error; Total living in area 1 year ago: - Same house:,Estimate; Total living in area 1 year ago: - Same house: - Below 100 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Same house: - Below 100 percent of the poverty level,Estimate; Total living in area 1 year ago: - Same house: - 100 to 149 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Same house: - 100 to 149 percent of the poverty level,Estimate; Total living in area 1 year ago: - Same house: - At or above 150 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Same house: - At or above 150 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved within same county:,Margin of Error; Total living in area 1 year ago: - Moved within same county:,Estimate; Total living in area 1 year ago: - Moved within same county: - Below 100 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved within same county: - Below 100 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved within same county: - 100 to 149 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved within same county: - 100 to 149 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved within same county: - At or above 150 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved within same county: - At or above 150 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different county within same state:,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state:,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - Below 100 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - Below 100 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - 100 to 149 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - 100 to 149 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different county within same state: - At or above 150 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state: - At or above 150 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different state:,Margin of Error; Total living in area 1 year ago: - Moved to different state:,Estimate; Total living in area 1 year ago: - Moved to different state: - Below 100 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different state: - Below 100 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different state: - 100 to 149 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different state: - 100 to 149 percent of the poverty level,Estimate; Total living in area 1 year ago: - Moved to different state: - At or above 150 percent of the poverty level,Margin of Error; Total living in area 1 year ago: - Moved to different state: - At or above 150 percent of the poverty level
0500000US01001,01001,"Autauga County, Alabama",54776,1305,7637,1091,5736,1039,41403,1459,45642,1157,5118,905,3982,762,36542,1316,3634,925,977,433,1044,630,1613,420,4222,845,1345,450,588,295,2289,661,1278,357,197,126,122,96,959,328
0500000US01003,01003,"Baldwin County, Alabama",190882,1685,24201,1863,17616,1750,149065,2584,169602,2008,19713,1629,15170,1620,134719,2701,13857,1600,3026,716,1811,587,9020,1284,2595,446,888,321,293,176,1414,288,4828,968,574,212,342,169,3912,857
0500000US01005,01005,"Barbour County, Alabama",24101,434,6417,687,3319,639,14365,619,21076,430,5050,611,3003,594,13023,603,1842,306,804,280,238,129,800,237,768,237,429,162,78,55,261,130,415,154,134,105,0,21,281,153
0500000US01007,01007,"Bibb County, Alabama",20285,589,3094,769,2011,502,15180,1002,18154,663,2457,697,1779,495,13918,984,1011,374,355,221,31,34,625,241,953,314,217,141,165,126,571,257,167,91,65,51,36,55,66,51
0500000US01009,01009,"Blount County, Alabama",57868,1003,10121,1122,7350,1044,40397,1214,53252,687,8728,1000,6880,1031,37644,1217,1257,307,290,129,140,83,827,254,2813,611,915,424,330,163,1568,414,546,236,188,143,0,27,358,197
0500000US01011,01011,"Bullock County, Alabama",10450,317,2870,488,1340,423,6240,552,9295,390,2319,475,1207,410,5769,551,575,301,309,209,112,125,154,146,369,185,213,131,21,25,135,120,211,158,29,38,0,18,182,156
0500000US01013,01013,"Butler County, Alabama",20238,386,5243,606,2898,499,12097,742,18430,334,4578,590,2598,457,11254,716,869,264,320,133,205,94,344,191,612,234,256,139,95,100,261,119,327,219,89,78,0,21,238,181
0500000US01015,01015,"Calhoun County, Alabama",110533,1249,20741,1495,13144,1325,76648,2098,94030,1540,15718,1435,9908,1071,68404,1848,11099,1180,4000,763,2244,720,4855,899,2981,534,669,242,418,218,1894,497,2423,654,354,216,574,389,1495,464
0500000US01017,01017,"Chambers County, Alabama",33240,658,6534,892,4952,713,21754,1130,29397,659,5561,825,4122,626,19714,968,2218,576,720,272,559,318,939,267,710,297,156,113,168,152,386,194,915,437,97,165,103,120,715,410
